particle_id,component_cell_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm,overlap_parent_count,step,elapsed_physical_time_s,experimental_age_h,temperature_K,checkpoint,unexpected_merge
1,3391,3041.901027277246,8.988464139144304,16.500000000000004,48.5,32.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
2,3391,3041.901027277246,8.988464139144304,16.500000000000004,112.5,32.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
3,1341,1147.0523712643057,6.493789589334196,16.5,16.5,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
4,1309,1116.2801914372453,6.435192404184825,16.5,48.5,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
5,1341,1147.0523712643057,6.493789589334196,16.5,80.49999999999999,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
6,1309,1116.2801914372453,6.435192404184825,16.5,112.5,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
7,3391,3041.901027277246,8.988464139144304,48.5,48.5,32.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
8,3391,3041.901027277246,8.988464139144304,48.5,112.5,32.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
9,1341,1147.0523712643057,6.493789589334196,48.5,16.5,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
10,1309,1116.2801914372453,6.435192404184825,48.5,48.5,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
11,1341,1147.0523712643057,6.493789589334196,48.5,80.49999999999999,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
12,1309,1116.2801914372453,6.435192404184825,48.5,112.5,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
13,3391,3041.901027277246,8.988464139144304,80.5,48.5,32.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
14,3391,3041.901027277246,8.988464139144304,80.5,112.5,32.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
15,1341,1147.0523712643057,6.493789589334196,80.5,16.5,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
16,1309,1116.2801914372453,6.435192404184825,80.5,48.5,96.5,0,3633,3600.034504381788,7.000009584550496,653.15,step_3633.chk,0
