matrix_mode,descriptor_model,kappa_MAPE_percent,kappa_RMS_relative_percent,kappa_max_relative_percent,delta_kappa_signal_NRMSE_percent,delta_kappa_max_abs_error_W_mK,ABC_delta_order_exact_fraction,comparison_cells
fixed_6h_matrix,Nv_plus_mean_R,0.28719438259969032,0.32341697451404139,0.71016372278091444,349.71235707350104,0.013893726703720244,0.3125,357
fixed_6h_matrix,Nv_plus_mean_R_plus_CV_lognormal,0.032738921855020323,0.043028316026662829,0.12402772050761854,57.422464706839257,0.0028035157667591903,0.5,357
fixed_6h_matrix,Sv_geometric_limit,7.133676882381776,7.1755850178142913,8.8500379483591267,889.84606637156048,0.035366872719785558,0.3125,357
fixed_6h_matrix,Sv_plus_M6,0.08845745139813431,0.094808900477996561,0.17627271697848979,82.542616981169161,0.002892219631711157,0.4375,357
fixed_6h_matrix,full_PSD,0,0,0,0,0,1,357
pf_time_varying_matrix,Nv_plus_mean_R,0.28895171409845311,0.32547614869830604,0.71587520524029291,30.172035818005504,0.013819331013507519,0.4732142857142857,357
pf_time_varying_matrix,Nv_plus_mean_R_plus_CV_lognormal,0.033046631761364867,0.043445459772707778,0.12578031189989092,4.9773415002750063,0.0028035652041564774,0.625,357
pf_time_varying_matrix,Sv_geometric_limit,7.1950247810860501,7.2384910582503199,8.9147121985841871,77.37999189584653,0.035426863084152327,0.5625,357
pf_time_varying_matrix,Sv_plus_M6,0.089009537755177212,0.095431299639656547,0.17772886527965209,7.1141476950444513,0.0028743861055020581,1,357
pf_time_varying_matrix,full_PSD,0,0,0,0,0,1,357
