replicate,step,age_h,elapsed_physical_time_s,particle_count,Nv_m-3,mean_radius_nm,std_radius_nm,CV,Sv_nm-1,M6_nm3,matrix_xAg,matrix_xB,full_psd_sha256
A,0,6,0,96,6.4486070202760325e+21,9.4582763241804031,0.80255800825006574,0.084852459448483131,0.0073015567081069054,5.1275489055522527,0.0067879561475944188,0.0068110728566174285,9e2847d1f3b1a66ec0aa9deb8a8b9c2fa4b2b90884405e2fa1be758b450088d6
A,256,6.0704658556688482,253.67708040785513,96,6.4486070202760325e+21,9.3394361510351391,0.869105848002657,0.09305763580880945,0.0071295442702620096,4.8481878825888209,0.0075536566596551549,0.0075822991432299997,5d428d561d143adad89d4b13055480dcebe2145fba480c3ba46b3542a5d14b42
A,512,6.1409317113376973,507.35416081571026,96,6.4486070202760325e+21,9.3138461164565545,0.93245617917170487,0.1001150510232455,0.0071001114496451736,4.8551702529789154,0.0076637728276694357,0.0076932550728916636,969132eede7aed929cc85a3b1c2d3dcc99ad5271d48073b0e6bfe6b33bec8617
A,1024,6.2818634226753947,1014.7083216314205,96,6.4486070202760325e+21,9.2812031027077815,1.0814975993884626,0.11652558266642574,0.0070752468214660144,4.9680987488116237,0.0076736337414216203,0.0077031922283242408,18218ef1fd176a51d4a6492ce338e11d10ecd33cc86c02700d4046c73c54f34a
A,1536,6.422795134013092,1522.0624824471308,96,6.4486070202760325e+21,9.2322802434374935,1.2801880586897021,0.13866434130394684,0.0070398757499930981,5.1234227715771725,0.0076828034759114441,0.0077124335242624922,cfb8bfba5a5a397eb7301166d9c96fa4971a8cfa03810fcb7b8fa6e28897493b
A,2048,6.5637268453507893,2029.416643262841,95,6.3814340304814903e+21,9.2135270329701964,1.4642109586812013,0.1589197007228163,0.0069793033085210465,5.3405210077523924,0.0076899196805157383,0.0077196059252130052,aa193a0ecd8524c5c18117ec52e522f26dcf67db0e7e0090c8cc8926bd33f76b
A,2560,6.7046585566884866,2536.7708040785515,94,6.3142610406869492e+21,9.1575106893057647,1.7561587053726366,0.19177249854848619,0.0068987830824900212,5.6164952855302968,0.0076989043751468375,0.0077286629522147965,202ff296b1e1197206d992b44fcce8924bf4b03eed85bdd7a7f9559a74e38961
A,3072,6.845590268026184,3044.1249648942617,91,6.1127420713033227e+21,9.1687567452672329,2.0353044335790771,0.22198259700036965,0.0067757393157711846,5.9690840451047071,0.0077109586402950639,0.0077408138685316208,dbcc02f7a3f602f62d8f6f12336a447d50f792919a410ec1b088afc74b2c4522
A,3584,6.9865219793638813,3551.4791257099719,88,5.9112231019196963e+21,9.2304494167436797,2.1507431066974023,0.23300524271288861,0.0066725769353346938,6.3541029234836,0.0076790849280318702,0.0077086951328907121,5e1ad58a0664b261cbb56894cc766a4e9fbd5f39de55101e476e75330ac2384f
A,4096,7.1274536907015786,4058.8332865256821,80,5.3738391835633611e+21,9.5816512015652737,2.1153206774203865,0.22076786484096023,0.0065019321810137433,6.8132750864990603,0.0076474406515129661,0.0076768111115492954,36242baea16ab9090d98d9ac175eed0a9cf4ac5cd8f5aab29def6b513a17592d
A,4608,7.268385402039276,4566.1874473413927,74,4.9708012447961081e+21,9.9004834314897678,2.0349272896463568,0.20553817434550797,0.0063814486301691144,7.2334312130046872,0.0075692438870264443,0.007598011493561309,5d99c9534c8dd524067edb9a6b046295b81eed30186680f090fd4cf51ce3cb8b
A,5120,7.4093171133769733,5073.5416081571029,72,4.8364552652070249e+21,9.98782178370735,2.0735234253102734,0.20760516859569039,0.0063241842515912097,7.5800657553518551,0.0074942849311913189,0.0075224791216753316,b89949490a900c42840a152066fb9c3dcea0f13c6616b04095f3d1740a30973c
A,5632,7.5502488247146706,5580.8957689728131,69,4.6349362958233984e+21,10.06287668915135,2.3489479820503427,0.23342708597261372,0.0062192735772326349,7.9493080756692009,0.0074941564779233069,0.0075223554698969873,ee39aa3a040c15c2982ea50b918a50c9c3173d80a38b338f424ce2056d638325
A,6144,7.691180536052368,6088.2499297885233,67,4.5005903162343146e+21,10.207442975280982,2.1950130601647526,0.21504044308455519,0.0061651774773958815,8.3078432317812343,0.0074525465920127765,0.0074804265736837057,a0a735fd350c40dbb79b59e3c66447300b2a999208c8545fa99737ac415358a4
A,6656,7.8321122473900644,6595.6040906042335,63,4.2318983570561465e+21,10.379628144061911,2.4045502524401177,0.23166053918952179,0.0060368710318392362,8.7446509787050157,0.0074739156548069702,0.0075019633826215078,e54e92fccd37e9ff7bcb93e943c72a7e1a1a70641804efd2f1e711d0e1c42d12
A,7168,7.9730439587277626,7102.9582514199437,60,4.0303793876725206e+21,10.649568695378226,2.1444406562324128,0.20136408502281147,0.0059769791338090779,9.1433715938272861,0.0073948882887020246,0.0074223380103417089,441484d40f190a72827a94554c2b88be03c0f213e5c72c1337fd94922bd40ec0
A,7266,8.0000191691009928,7200.0690087635758,60,4.0303793876725206e+21,10.625441941727884,2.2184185459028507,0.20878364947727501,0.0059673287161167059,9.2129133544993689,0.0073883713263659173,0.0074157727625116252,84171a73ee15b5b388c2cb990614cf08978ce60b21d8bab1ddf6f8068562f102
B,0,6,0,96,6.4486070202760325e+21,9.4582776048530182,0.80255940470287146,0.084852595602721612,0.0073015588529068177,5.1275545065759029,0.0067882559189366325,0.0068113746691621938,99453f2cef134f45fd057c3511ed9963bcd347a33489b33cc23e9626eed0738e
B,256,6.0704658556688482,253.67708040785513,96,6.4486070202760325e+21,9.337237197524674,0.87012245059846416,0.093188427389328393,0.0071263594880787099,4.8442854698189013,0.0075705549553635541,0.0075993249063574918,56fb295853e8b09dd92e369e83554e4796b83b38cbe562988882ded4059db55d
B,512,6.1409317113376973,507.35416081571026,96,6.4486070202760325e+21,9.3120271540684403,0.93373472960125958,0.10027190794791759,0.0070975593356735868,4.8548417622651687,0.0076739614586323491,0.0077035219087855525,e27547fee6f4047b290467401ab09abe66a70939cc8caec3c492fa59d9fd09a0
B,1024,6.2818634226753947,1014.7083216314205,96,6.4486070202760325e+21,9.27994500099941,1.0789180913145355,0.11626341440583331,0.0070729028977909499,4.9716241176066784,0.0076843029286453122,0.0077139436253392058,0e244ad70629e710c17bac9285d82d0b43d7c454415c1bd818db33ee3f8f5510
B,1536,6.422795134013092,1522.0624824471308,96,6.4486070202760325e+21,9.2343081244363585,1.2619352084769548,0.13665725590610833,0.0070391502423197026,5.1301551334495308,0.0076931601654619741,0.0077228701004761974,9e313676692f1aa1d5ee0907216afff00cefe9df94f376253b86b7f0f23c8908
B,2048,6.5637268453507893,2029.416643262841,96,6.4486070202760325e+21,9.1604715320669516,1.5198815756886657,0.16591739523104249,0.0069872349309672063,5.3464994420403826,0.0077080915014901448,0.007737918425845685,be74f2e348ea4e296e6e99d3df514dc61ce8ef10d7049789468b178eb9607e68
B,2560,6.7046585566884866,2536.7708040785515,94,6.3142610406869492e+21,9.1687898594141721,1.7015343117063446,0.18557894092853186,0.0069001979310821396,5.6460266680396511,0.0077103360783266238,0.0077401821313021419,0b0d064a9e8a7b93aa661ec87d96fe22267801306d6dbafadc09eecb3a4334f7
B,3072,6.845590268026184,3044.1249648942617,92,6.1799150610978649e+21,9.1510981613191529,1.9438588446593115,0.21241809566373393,0.006796816704443787,6.0107532915577702,0.0077145632415207476,0.007744442747211428,33208182208e536b5f79b383edb588653999228cfc004c3200b47540e7d64473
B,3584,6.9865219793638813,3551.4791257099719,87,5.8440501121251551e+21,9.2741116779722521,2.1155812445029207,0.22811686099573519,0.0066450702556726726,6.4684261309466278,0.0077096738942631316,0.0077395220815485097,a7332b19c4cc26b3ea18d7c2dcbcfcf81a4855c3fc879ce3411f0c0a9e4e1ac5
B,4096,7.1274536907015786,4058.8332865256821,79,5.3066661937688189e+21,9.6665747619918392,1.9610300021932763,0.20286710137533739,0.0064877226689231283,6.9569918470049465,0.0076628934358666193,0.0076923871408888121,4ee0f26d93ecd4f86252f1519436a4b82e789fb22dd876f9636115bac5d0b053
B,4608,7.268385402039276,4566.1874473413927,77,5.1723202141797346e+21,9.6686029731754353,2.2149036675449802,0.22908207873360892,0.0063949329508161713,7.4236583491966437,0.0075950457793320901,0.0076240073885896044,5d0839a087a686bd968d695f5e2b9f4824b6356a9c5b79f37f0ab0c026f404b3
B,5120,7.4093171133769733,5073.5416081571029,73,4.903628255001567e+21,9.7335066567509774,2.5587911983806917,0.26288482544016778,0.0062414833725803849,7.9554884722707939,0.0075907515310164623,0.0076196879743463727,d4d5141b73716f8c87738be47e24ba40f1e78984ac092eefc2039b3f9d15f97b
B,5632,7.5502488247146706,5580.8957689728131,67,4.5005903162343146e+21,10.099972228858398,2.4623317128765585,0.24379588944225011,0.0061121585256185846,8.5119944994550369,0.007502407498238715,0.0075306659590394934,b357bf955ba0baf2b8ccebe2f4ccdb8e9f2338b15dc653970a215b0b84a07c3b
B,6144,7.691180536052368,6088.2499297885233,61,4.0975523774670627e+21,10.518916531283478,2.3342123943258928,0.22190616185458797,0.005977948990143811,9.0250518182109598,0.0074634579798055064,0.0074914254819339297,4c227628fcfdbbee2346e40e39181b3aed3903e4113fc001ffbb173ef3dcd1e4
B,6656,7.8321122473900644,6595.6040906042335,59,3.9632063978779784e+21,10.62771943121588,2.4099610430887282,0.22676182399115263,0.005914435929655959,9.4690239859004528,0.0073749818589161197,0.0074022859412153147,63dfee01f1b0d452568e00b0c43909722388f98c78643d84d0e76b0cbb2cc305
B,7168,7.9730439587277626,7102.9582514199437,55,3.6945144386998103e+21,10.964552958085884,2.2917812669813986,0.20901730109218078,0.0058253212161245571,9.8806171198072654,0.0073365551925060569,0.0073635761872145435,1b29c3208ce8522a556cf272ce97f577dfec99fd92042eb6e6dfcb0ffb1300b7
B,7266,8.0000191691009928,7200.0690087635758,54,3.6273414489052687e+21,11.131044839384181,1.9502145713640002,0.17520498744769181,0.0058210467804646919,9.9518679373181556,0.0073145279992544504,0.0073413813899002112,1e524a8355368d4be5e4b44d50d20cdf66af88bc6dba3b0778732c24b23a4173
C,0,6,0,96,6.4486070202760325e+21,9.4582759333024296,0.80255816978640049,0.084852480033978148,0.0073015561299359082,5.1275478812665538,0.0067878543552547382,0.0068109703680014387,0f4bcca499b8a3968faa7b21a418255601555025005a63a01dc986a91fa9b912
