step,time_code,age_h,mean_elastic_energy_hat,max_elastic_energy_hat,stress_hydro_min,stress_hydro_max,mean_elastic_energy_J_m^-3,max_elastic_energy_J_m^-3
256,5.12,6.070465855668848,0.0011269276633,0.041830743211,-3.0371256173,2.6512566209,567971.5423032,21082694.578344
512,10.24,6.140931711337697,0.0010998305251,0.040972344448,-3.0503612757,2.7549825907,554314.5846504,20650061.601792
768,15.36,6.2113975670065456,0.0010874835662,0.040043430295,-3.0514109135,2.8314325511,548091.7173648,20181888.86868
1024,20.48,6.281863422675395,0.0010796220651,0.039922586285,-3.0390660763,2.8710175753,544129.5208104,20120983.48764
1280,25.6,6.352329278344243,0.0010742872891,0.040253737746,-3.0212411284,2.8881994784,541440.7937064,20287883.823984
1536,30.72,6.422795134013092,0.0010705110806,0.040214192799,-3.0189560652,2.8912134171,539537.5846224,20267953.170696
1792,35.84,6.49326098968194,0.001067634587,0.040544939007,-3.0238435268,2.8963606656,538087.8318480001,20434649.259528
2048,40.96,6.563726845350789,0.0010652501584,0.039909453031,-3.0296259522,2.929369539,536886.0798336,20114364.327624
2304,46.08,6.6341927010196375,0.0010629758178,0.038105488525,-3.0328276753,2.9500470459,535739.8121712,19205166.2166
2560,51.2,6.704658556688487,0.0010619791395,0.03829152158,-3.0457763076,2.9580697119,535237.486308,19298926.87632
2816,56.32,6.775124412357335,0.0010600686665,0.038325092534,-3.0680713058,2.9610469341,534274.6079160001,19315846.637136
3072,61.44,6.845590268026184,0.0010592305374,0.038526799656,-3.0890209675,2.9868718386,533852.1908496,19417507.026623998
3328,66.56,6.916056123695032,0.0010594325241,0.038215001157,-3.1029809117,3.0199356675,533953.9921464,19260360.583128
3584,71.68,6.986521979363881,0.0010614508384,0.036701645493,-3.1112833023,3.0396917164,534971.2225536,18497629.328472
3840,76.8,7.0569878350327295,0.0010626176953,0.036812860683,-3.1125397682,3.0503154397,535559.3184312,18553681.784231998
4096,81.92,7.127453690701579,0.0010646611682,0.036901572881,-3.1099721193,3.0550957322,536589.2287728001,18598392.732024003
4352,87.04,7.197919546370427,0.0010644616119,0.036966279497,-3.1144644618,3.0868153572,536488.6523976,18631004.866488002
4608,92.16,7.268385402039276,0.0010660446565,0.037196767693,-3.127050221,3.1020665467,537286.506876,18747170.917272
4864,97.28,7.338851257708124,0.001066597971,0.036993134315,-3.12856251,3.1020373702,537565.377384,18644539.694760002
5120,102.4,7.409317113376973,0.001067404606,0.03733246281,-3.1285833716,3.0972196162,537971.9214240001,18815561.25624
5376,107.52,7.4797829690458215,0.0010679276179,0.037149683031,-3.1265568733,3.0900582969,538235.5194216,18723440.247624
5632,112.64,7.550248824714671,0.0010682174118,0.037068337043,-3.1362227201,3.0737422705,538381.5755471999,18682441.869672
5888,117.76,7.620714680383519,0.0010678647358,0.037513010714,-3.1464080215,3.0733270943,538203.8268432,18906557.399855997
6144,122.88,7.691180536052368,0.0010676394441,0.037354063454,-3.1453655362,3.1293742657,538090.2798264,18826447.980816
6400,128.0,7.761646391721216,0.0010680591401,0.037372177815,-3.1418684125,3.1734822094,538301.8066104001,18835577.618759997
6656,133.12,7.832112247390064,0.0010684946256,0.03802028405,-3.1487728357,3.2000981271,538521.2913024001,19162223.161199998
6912,138.24,7.9025781030589135,0.0010686314623,0.036778477458,-3.1616687179,3.2108713686,538590.2569992,18536352.638832003
7168,143.36,7.973043958727763,0.0010709631035,0.036984560081,-3.1756264567,3.2081128657,539765.4041640001,18640218.280824
