case,PF_steps,physical_time_s,PF_dt_code,PF_initial_count,PF_final_count,oracle_final_count,PF_final_radii_nm,oracle_final_radii_nm,max_radius_error_rel,phase_amount_error_rel,PF_mass_error_rel_max,oracle_mass_error_rel_max,extinction_order_match,status
two_particle,200,1.6066244306466706,0.0001953125,2,2,2,6.137558971853137;10.091069535312531,6.136930924401735;10.085264698644965,0.0005755760350391824,0.0014643356953587372,1.8189894035458565e-12,0.0,True,PASS
three_particle_extinction,1200,9.639746583880024,0.0001953125,3,3,3,2.2673515202901897;6.167524318185781;10.132083407804448,2.0915798151300287;6.176764805951144;10.118150999795008,0.0840377708221638,0.004458184628564817,1.8189894035458565e-12,0.0,False,FAIL
