case,delta_time_code,time_mismatch_vs_variable_rel,Ctot_increment_L2_error,Ctot_increment_Linf_error,phi_increment_L2_error,phi_increment_Linf_error,h_volume_increment_error,matrix_profile_L2_error,matrix_profile_increment_L2_error,raw_xB_alpha_L2_diagnostic_only,interface_position_error_dx,transfer_error,far_field_error,h_volume_increment,far_field_xB
variable_G9,0.14879650832111824,0.0,0.00020424911099389592,0.00020739163245616247,0.0014256049555050178,0.0023896223586037666,0.00020455578745518456,2.4675172057229898e-06,0.00019960005121395745,0.09800314759452396,1.4393721869510046e-05,0.00020455578745518456,1.3351124023405558e-06,0.1467311355235239,0.04656269889345854
fixed_G9_dt4,0.14843749999999156,0.0024127469466682493,0.0026418894737484148,0.0025693814805735787,0.00300895482899243,0.0025247693937336937,0.002666920288172373,3.2492271863283045e-05,0.0026283339029722656,0.000608871938593374,0.00018639832711642157,0.002666920288172373,1.7233625731966302e-05,0.14636975606200053,0.04656343917015921
strict_G12_dt32,0.14882812499986464,0.00021248266577715953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14676115636743248,0.04656263672710476
