case,time_code,cumulative_transfer_error,beta_amount_error,interface_position_error_dx,capacity_weighted_matrix_profile_error,far_field_error,growth_direction_same,h_volume,transfer
variable,2.0996622016076465,0.0011794016945834266,2.9648630338349745e-05,0.00040433829235553276,0.00012271466800515917,4.462372898944073e-05,True,34.679462117135564,0.8707943594392233
fixed,2.0996093750000795,8.635705590794096e-05,2.17090448443614e-06,4.157647117608576e-05,5.698499732924421e-06,3.4831306169611806e-06,True,34.680415058141776,0.8717473004454348
strict,2.099707031249174,0.0,0.0,0.0,0.0,0.0,True,34.68049034617379,0.8718225884774498
