step,elapsed_physical_time_s,experimental_age_h,mean_C_B_tot,target_C_B_tot,mass_error_mean,beta_volume_fraction,matrix_xB_alpha,matrix_xAg_alpha,interfacial_area_density_nm_inv,resolved_particle_count,unexpected_merge
0,0.0,6.0,0.03,0.03,-3.469446951953614e-17,0.023929544766326843,0.006219279767278563,0.0062,0.014923095703125,32,0
3633,3600.034504381788,7.000009584550496,0.02999999999999997,0.029999999999999978,-2.7755575615628914e-17,0.023563949238288508,0.006591457523684912,0.006569805227636487,0.01297760009765625,24,0
7266,7200.069008763576,8.000019169100993,0.029999999999999978,0.029999999999999978,-2.0816681711721685e-17,0.023253516482318104,0.006913614627055004,0.006889797923205341,0.0105438232421875,16,0
10899,10800.103513145363,9.00002875365149,0.029999999999999978,0.029999999999999978,-2.0816681711721685e-17,0.024244423738435883,0.005898622010384136,0.005881276297475416,0.00948333740234375,8,0
14532,14400.138017527152,10.000038338201986,0.029999999999999978,0.029999999999999978,-2.0816681711721685e-17,0.024247517496641953,0.00589543925499532,0.005878112228207598,0.00963592529296875,8,0
18165,18000.17252190894,11.000047922752483,0.029999999999988345,0.029999999999999978,-1.165387231161219e-14,0.024248099442005788,0.005894840553515805,0.005877517040613312,0.00963592529296875,8,0
21798,21600.207026290725,12.00005750730298,0.02999999999999998,0.029999999999999978,-1.734723475976807e-17,0.024248211574226092,0.005894725224223641,0.005877402388168416,0.00963592529296875,8,0
25431,25200.241530672516,13.000067091853477,0.029999999999999975,0.029999999999999978,-2.42861286636753e-17,0.024248233326288865,0.005894702853248927,0.00587738014848348,0.00963592529296875,8,0
29064,28800.276035054303,14.000076676403973,0.029999999999985722,0.029999999999999978,-1.4276774207289122e-14,0.024248237557082556,0.0058946985021245055,0.005877375822894685,0.00963592529296875,8,0
32697,32400.31053943609,15.00008626095447,0.029999999999971397,0.029999999999999978,-2.8602120671905595e-14,0.02424823838131884,0.005894697654438294,0.005877374980183324,0.00963592529296875,8,0
36330,36000.34504381788,16.000095845504966,0.029999999999985386,0.029999999999999978,-1.4613310561628623e-14,0.024248238542100467,0.005894697489100261,0.005877374815815616,0.00963592529296875,8,0
39963,39600.379548199664,17.000105430055463,0.029999999999998972,0.029999999999999978,-1.0269562977782698e-15,0.02424823857351359,0.00589469745680829,0.005877374783713158,0.00963592529296875,8,0
43596,43200.41405258145,18.00011501460596,0.0300000000000247,0.029999999999999978,2.4702462297909733e-14,0.024248238579649053,0.0058946974505249975,0.005877374777466741,0.00963592529296875,8,0
47229,46800.448556963245,19.000124599156457,0.029999999999995034,0.029999999999999978,-4.964778588245622e-15,0.024248238580838515,0.005894697449271021,0.005877374776220125,0.00963592529296875,8,0
50862,50400.48306134503,20.000134183706955,0.029999999999979217,0.029999999999999978,-2.078198724220215e-14,0.024248238581072473,0.005894697449014058,0.005877374775964668,0.00963592529296875,8,0
54495,54000.51756572682,21.000143768257452,0.030000000000005557,0.029999999999999978,5.55805401702969e-15,0.024248238581127055,0.005894697448985169,0.0058773747759359495,0.00963592529296875,8,0
58128,57600.552070108606,22.000153352807946,0.030000000000016635,0.029999999999999978,1.663599813461758e-14,0.02424823858113556,0.005894697448987888,0.005877374775938651,0.00963592529296875,8,0
61761,61200.58657449039,23.000162937358443,0.02999999999999998,0.029999999999999978,-1.734723475976807e-17,0.0242482385811289,0.005894697448977397,0.005877374775928223,0.00963592529296875,8,0
65394,64800.62107887218,24.00017252190894,0.029999999999981625,0.029999999999999978,-1.837419105754634e-14,0.02424823858113013,0.005894697448957261,0.005877374775908205,0.00963592529296875,8,0
69027,68400.65558325397,25.000182106459437,0.030000000000005543,0.029999999999999978,5.5441762292218755e-15,0.0242482385811382,0.005894697448973693,0.005877374775924541,0.00963592529296875,8,0
72660,72000.69008763575,26.00019169100993,0.03000000000001973,0.029999999999999978,1.9730744815760204e-14,0.024248238581138996,0.005894697448987557,0.0058773747759383235,0.00963592529296875,8,0
76293,75600.72459201755,27.00020127556043,0.02999999999999814,0.029999999999999978,-1.8596235662471372e-15,0.02424823858113643,0.005894697448967922,0.0058773747759188035,0.00963592529296875,8,0
79926,79200.75909639933,28.000210860110926,0.029999999999979376,0.029999999999999978,-2.0622392682412283e-14,0.024248238581129546,0.005894697448955528,0.005877374775906483,0.00963592529296875,8,0
