step,elapsed_physical_time_s,experimental_age_h,resolved_particle_count,beta_volume_fraction,interfacial_area_density_nm_inv
0,0.0,6.0,32,0.023929544766326843,0.014923095703125
3633,3600.034504381788,7.000009584550496,24,0.023563949238288508,0.01297760009765625
7266,7200.069008763576,8.000019169100993,16,0.023253516482318104,0.0105438232421875
10899,10800.103513145363,9.00002875365149,8,0.024244423738435883,0.00948333740234375
14532,14400.138017527152,10.000038338201986,8,0.024247517496641953,0.00963592529296875
18165,18000.17252190894,11.000047922752483,8,0.024248099442005788,0.00963592529296875
21798,21600.207026290725,12.00005750730298,8,0.024248211574226092,0.00963592529296875
25431,25200.241530672516,13.000067091853477,8,0.024248233326288865,0.00963592529296875
29064,28800.276035054303,14.000076676403973,8,0.024248237557082556,0.00963592529296875
32697,32400.31053943609,15.00008626095447,8,0.02424823838131884,0.00963592529296875
36330,36000.34504381788,16.000095845504966,8,0.024248238542100467,0.00963592529296875
39963,39600.379548199664,17.000105430055463,8,0.02424823857351359,0.00963592529296875
43596,43200.41405258145,18.00011501460596,8,0.024248238579649053,0.00963592529296875
47229,46800.448556963245,19.000124599156457,8,0.024248238580838515,0.00963592529296875
50862,50400.48306134503,20.000134183706955,8,0.024248238581072473,0.00963592529296875
54495,54000.51756572682,21.000143768257452,8,0.024248238581127055,0.00963592529296875
58128,57600.552070108606,22.000153352807946,8,0.02424823858113556,0.00963592529296875
61761,61200.58657449039,23.000162937358443,8,0.0242482385811289,0.00963592529296875
65394,64800.62107887218,24.00017252190894,8,0.02424823858113013,0.00963592529296875
69027,68400.65558325397,25.000182106459437,8,0.0242482385811382,0.00963592529296875
72660,72000.69008763575,26.00019169100993,8,0.024248238581138996,0.00963592529296875
76293,75600.72459201755,27.00020127556043,8,0.02424823858113643,0.00963592529296875
79926,79200.75909639933,28.000210860110926,8,0.024248238581129546,0.00963592529296875
83559,82800.79360078112,29.000220444661423,8,0.024248238581132488,0.00963592529296875
87192,86400.8281051629,30.000230029211917,8,0.02424823858113859,0.00963592529296875
90825,90000.8626095447,31.000239613762414,8,0.024248238581133973,0.00963592529296875
94458,93600.89711392649,32.000249198312915,8,0.024248238581130198,0.00963592529296875
98091,97200.93161830827,33.00025878286341,8,0.024248238581136873,0.00963592529296875
101724,100800.96612269006,34.00026836741391,8,0.02424823858113862,0.00963592529296875
105357,104401.00062707184,35.0002779519644,8,0.024248238581132796,0.00963592529296875
108990,108001.03513145364,36.000287536514904,8,0.02424823858112876,0.00963592529296875
112623,111601.06963583542,37.000297121065394,8,0.024248238581136262,0.00963592529296875
116256,115201.10414021721,38.00030670561589,8,0.024248238581139548,0.00963592529296875
119889,118801.13864459899,39.00031629016639,8,0.02424823858113033,0.00963592529296875
123522,122401.17314898079,40.000325874716886,8,0.0242482385811296,0.00963592529296875
127155,126001.20765336258,41.00033545926738,8,0.024248238581135347,0.00963592529296875
130788,129601.24215774436,42.00034504381788,8,0.02424823858114052,0.00963592529296875
134421,133201.27666212615,43.00035462836838,8,0.02424823858113339,0.00963592529296875
138054,136801.31116650795,44.000364212918875,8,0.02424823858112741,0.00963592529296875
141687,140401.3456708897,45.000373797469365,8,0.024248238581133317,0.00963592529296875
145320,144001.3801752715,46.00038338201986,8,0.02424823858114022,0.00963592529296875
148953,147601.4146796533,47.00039296657036,8,0.02424823858113491,0.00963592529296875
152586,151201.4491840351,48.00040255112086,8,0.02424823858112765,0.00963592529296875
