branch,age_h,temperature_K,kappa_upper_W_mK,experiment_W_mK,gap_W_mK,dynamic_scattering,status
BRANCH_A_FROZEN_V2_BACKGROUND,6,573.15,0.8733452621717084,0.85,0.023345262171708403,V2_M0_CONTRACT,REFERENCE
BRANCH_A_FROZEN_V2_BACKGROUND,48,573.15,0.8716818275173842,1.03,-0.15831817248261582,V2_M0_CONTRACT,NO_GO_V3_IF_V2_BACKGROUND_INHERITED
BRANCH_A_FROZEN_V2_BACKGROUND,6_to_48_max_from_experimental_6h,573.15,0.021681827517384233,0.18,-0.15831817248261576,maximum_recovery,NO_GO_V3_IF_V2_BACKGROUND_INHERITED
