member_id,host_id,host_family,host_status,background_model,AQ_case_id,age_h,temperature_K,ensemble_mean_kappa_upper_W_mK,replicate_min_W_mK,replicate_max_W_mK,experiment_W_mK,endpoint_gate_pass
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B2_omega2,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,1.1606337387521846,1.159625459980338,1.1614396496790087,1.03,True
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,1.4207026128243756,1.4207013259657693,1.42070355735952,0.85,True
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,1.4198651099926416,1.4189131341206258,1.4206259131043613,1.03,True
H-P2_PBTE_303K_110__lower_1sigma__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__zero_particle_scattering_limit,6.0,573.15,0.8578872664726144,0.8578869722652195,0.8578874824163751,0.85,True
H-P2_PBTE_303K_110__lower_1sigma__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__zero_particle_scattering_limit,48.0,573.15,0.8576955660286302,0.8574775469132492,0.8578697299422577,1.03,False
H-P2_PBTE_303K_110__lower_1sigma__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__all_small_at_reported_max,6.0,573.15,0.8583882880993147,0.8583879934654964,0.8583885043560637,0.85,True
H-P2_PBTE_303K_110__lower_1sigma__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__all_small_at_reported_max,48.0,573.15,0.8581963099276145,0.8579779750177836,0.8583707261521599,1.03,False
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR10,6.0,573.15,0.8611031092696874,0.8611028123188271,0.8611033272271104,0.85,True
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR10,48.0,573.15,0.8609096220208577,0.8606895711938478,0.8610854092161147,1.03,False
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR5,6.0,573.15,0.8784684054738497,0.878468093443232,0.878468634499588,0.85,True
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR5,48.0,573.15,0.878265096978231,0.8780338788268014,0.8784498065975568,1.03,False
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR2,6.0,573.15,1.0066122089856844,1.0066117710809057,1.0066125304011662,0.85,True
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR2,48.0,573.15,1.0063269270006463,1.0060025036882507,1.0065861074643987,1.03,False
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B1_constant,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,0.9194382627659309,0.9194365484944278,0.9194395210162454,0.85,True
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B1_constant,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,0.9183235300260716,0.9170569113794254,0.919336092776663,1.03,False
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,1.1792230302766542,1.1792223764592396,1.179223510168778,0.85,True
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,1.178797160342867,1.178312897387868,1.1791840595317868,1.03,True
H-P2_PBTE_303K_110__central__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__zero_particle_scattering_limit,6.0,573.15,0.8578872664726144,0.8578869722652195,0.8578874824163751,0.85,True
H-P2_PBTE_303K_110__central__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__zero_particle_scattering_limit,48.0,573.15,0.8576955660286302,0.8574775469132492,0.8578697299422577,1.03,False
H-P2_PBTE_303K_110__central__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__all_small_at_reported_max,6.0,573.15,0.8587488863282013,0.8587485913872465,0.8587491028103842,0.85,True
H-P2_PBTE_303K_110__central__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__all_small_at_reported_max,48.0,573.15,0.8585567081196827,0.8583381457550521,0.858731306074275,1.03,False
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_prolate_AR10,6.0,573.15,0.8634195912756116,0.8634192923390741,0.863419810690492,0.85,True
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_prolate_AR10,48.0,573.15,0.8632248107696195,0.8630032894285629,0.8634017728665029,1.03,False
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_prolate_AR5,6.0,573.15,0.8928769052331264,0.892876580346626,0.892877143694889,0.85,True
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_prolate_AR5,48.0,573.15,0.8926652240269307,0.892424485700173,0.8928575400880232,1.03,False
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR2__B1_constant,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,central__single_APT_37to6_prolate_AR2,6.0,573.15,0.9119370067798824,0.9119353124307501,0.9119382504074618,0.85,True
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR2__B1_constant,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,central__single_APT_37to6_prolate_AR2,48.0,573.15,0.9108352182593867,0.9095833020740016,0.911836024105596,1.03,False
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_prolate_AR2,6.0,573.15,1.0754451123174489,1.0754445952485465,1.0754454918382108,0.85,True
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_prolate_AR2,48.0,573.15,1.0751082809719985,1.0747252477711209,1.075414292295665,1.03,True
H-P2_PBTE_303K_110__central__single_APT_37to6_large_Lover2_sphere_bound__B1_constant,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,central__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,0.9391969244142926,0.9391951575387416,0.9391982212752256,0.85,True
H-P2_PBTE_303K_110__central__single_APT_37to6_large_Lover2_sphere_bound__B1_constant,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,central__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,0.9380480138518235,0.9367425753214305,0.9390916193814585,1.03,False
H-P2_PBTE_303K_110__upper_1sigma__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__zero_particle_scattering_limit,6.0,573.15,0.8578872664726144,0.8578869722652195,0.8578874824163751,0.85,True
H-P2_PBTE_303K_110__upper_1sigma__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__zero_particle_scattering_limit,48.0,573.15,0.8576955660286302,0.8574775469132492,0.8578697299422577,1.03,False
H-P2_PBTE_303K_110__upper_1sigma__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__all_small_at_reported_max,6.0,573.15,0.8591097692715376,0.8591094740230116,0.8591099859794731,0.85,True
H-P2_PBTE_303K_110__upper_1sigma__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__all_small_at_reported_max,48.0,573.15,0.8589173907433502,0.8586986006023458,0.859092170684946,1.03,False
H-P2_PBTE_303K_110__upper_1sigma__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR10,6.0,573.15,0.8657394939242765,0.8657391929911653,0.8657397148046118,0.85,True
H-P2_PBTE_303K_110__upper_1sigma__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR10,48.0,573.15,0.865543413068037,0.8653204131495255,0.8657215565101741,1.03,False
H-P2_PBTE_303K_110__upper_1sigma__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR5,6.0,573.15,0.906964960622734,0.9069646228600599,0.9069652085354147,0.85,True
H-P2_PBTE_303K_110__upper_1sigma__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR5,48.0,573.15,0.9067448936260059,0.9064946203206945,0.9069448280000225,1.03,False
H-P2_PBTE_303K_110__upper_1sigma__single_APT_37to6_prolate_AR2__B1_constant,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,upper_1sigma__single_APT_37to6_prolate_AR2,6.0,573.15,0.9198846750652169,0.9198829596072116,0.9198859341864071,0.85,True
H-P2_PBTE_303K_110__upper_1sigma__single_APT_37to6_prolate_AR2__B1_constant,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,upper_1sigma__single_APT_37to6_prolate_AR2,48.0,573.15,0.9187691714208608,0.9175016771586474,0.9197824343639107,1.03,False
H-P2_PBTE_303K_110__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B1_constant,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,0.9600506937317062,0.960048871164573,0.9600520314694642,0.85,True
H-P2_PBTE_303K_110__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B1_constant,H-P2_PBTE_303K_110,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,0.958865600464898,0.9575190654520899,0.9599420696530807,1.03,False
H-P2_PBTE_303K_111__lower_1sigma__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__zero_particle_scattering_limit,6.0,573.15,0.8606099185035548,0.8606097082359767,0.8606100728367245,0.85,True
H-P2_PBTE_303K_111__lower_1sigma__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__zero_particle_scattering_limit,48.0,573.15,0.8604728257571482,0.8603168673380496,0.8605973848764159,1.03,False
H-P2_PBTE_303K_111__lower_1sigma__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__all_small_at_reported_max,6.0,573.15,0.8611440194251679,0.8611438087697489,0.8611441740430066,0.85,True
H-P2_PBTE_303K_111__lower_1sigma__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__all_small_at_reported_max,48.0,573.15,0.8610066738864354,0.860850427926975,0.8611314626799897,1.03,False
H-P2_PBTE_303K_111__lower_1sigma__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR10,6.0,573.15,0.8638901160071728,0.8638899033498328,0.863890272094391,0.85,True
H-P2_PBTE_303K_111__lower_1sigma__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR10,48.0,573.15,0.8637514656319788,0.8635937354793108,0.8638774399334356,1.03,False
H-P2_PBTE_303K_111__lower_1sigma__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR5,6.0,573.15,0.880173351266946,0.8801731264674004,0.8801735162663576,0.85,True
H-P2_PBTE_303K_111__lower_1sigma__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR5,48.0,573.15,0.8800267868332575,0.8798600548623056,0.8801599514330929,1.03,False
H-P2_PBTE_303K_111__lower_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR2,6.0,573.15,0.9967433762216795,0.9967430500615644,0.9967436156182048,0.85,True
H-P2_PBTE_303K_111__lower_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR2,48.0,573.15,0.9965307556056185,0.9962888927265195,0.9967239346330863,1.03,False
H-P2_PBTE_303K_111__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B1_constant,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,0.9196783681137505,0.9196766350050526,0.9196796401902881,0.85,True
H-P2_PBTE_303K_111__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B1_constant,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,0.9185513791873977,0.9172708308543058,0.919575075399593,1.03,False
H-P2_PBTE_303K_111__central__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__zero_particle_scattering_limit,6.0,573.15,0.8606099185035548,0.8606097082359767,0.8606100728367245,0.85,True
H-P2_PBTE_303K_111__central__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__zero_particle_scattering_limit,48.0,573.15,0.8604728257571482,0.8603168673380496,0.8605973848764159,1.03,False
H-P2_PBTE_303K_111__central__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__all_small_at_reported_max,6.0,573.15,0.861528421789723,0.8615282108548614,0.8615285766126684,0.85,True
H-P2_PBTE_303K_111__central__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__all_small_at_reported_max,48.0,573.15,0.8613908941120912,0.8612344409775694,0.8615158483877993,1.03,False
H-P2_PBTE_303K_111__central__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_prolate_AR10,6.0,573.15,0.8662507400747047,0.8662505256859554,0.8662508974327511,0.85,True
H-P2_PBTE_303K_111__central__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_prolate_AR10,48.0,573.15,0.8661109611855512,0.8659519474012894,0.8662379607968262,1.03,False
H-P2_PBTE_303K_111__central__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_prolate_AR5,6.0,573.15,0.8938393221772101,0.8938390868229302,0.8938394949236357,0.85,True
H-P2_PBTE_303K_111__central__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,central__single_APT_37to6_prolate_AR5,48.0,573.15,0.8936858785564455,0.8935113219744741,0.8938252932085018,1.03,False
H-P2_PBTE_303K_111__central__single_APT_37to6_prolate_AR2__B1_constant,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,central__single_APT_37to6_prolate_AR2,6.0,573.15,0.9141236395033651,0.9141219215646279,0.9141249004453682,0.85,True
H-P2_PBTE_303K_111__central__single_APT_37to6_prolate_AR2__B1_constant,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,central__single_APT_37to6_prolate_AR2,48.0,573.15,0.9130065059216159,0.9117371510537584,0.9140212508692176,1.03,False
H-P2_PBTE_303K_111__central__single_APT_37to6_large_Lover2_sphere_bound__B1_constant,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,central__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,0.9343605948487785,0.9343588216121845,0.9343618963786192,0.85,True
H-P2_PBTE_303K_111__central__single_APT_37to6_large_Lover2_sphere_bound__B1_constant,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,central__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,0.9332075367093987,0.9318973797656471,0.9342549106450282,1.03,False
H-P2_PBTE_303K_111__upper_1sigma__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__zero_particle_scattering_limit,6.0,573.15,0.8606099185035548,0.8606097082359767,0.8606100728367245,0.85,True
H-P2_PBTE_303K_111__upper_1sigma__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__zero_particle_scattering_limit,48.0,573.15,0.8604728257571482,0.8603168673380496,0.8605973848764159,1.03,False
H-P2_PBTE_303K_111__upper_1sigma__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__all_small_at_reported_max,6.0,573.15,0.861913124255754,0.8619129130409746,0.8619132792841546,0.85,True
H-P2_PBTE_303K_111__upper_1sigma__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__all_small_at_reported_max,48.0,573.15,0.8617754141296947,0.8616187534681004,0.8619005341687672,1.03,False
H-P2_PBTE_303K_111__upper_1sigma__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR10,6.0,573.15,0.8686130495120338,0.8686128333808874,0.8686132081489726,0.85,True
H-P2_PBTE_303K_111__upper_1sigma__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR10,48.0,573.15,0.8684721349521305,0.8683118293982299,0.8686001663750988,1.03,False
H-P2_PBTE_303K_111__upper_1sigma__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR5,6.0,573.15,0.9071809398053348,0.9071806938198688,0.9071811203548885,0.85,True
H-P2_PBTE_303K_111__upper_1sigma__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR5,48.0,573.15,0.9070205673432717,0.90683812976128,0.9071662771455666,1.03,False
H-P2_PBTE_303K_111__upper_1sigma__single_APT_37to6_prolate_AR2__B1_constant,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,upper_1sigma__single_APT_37to6_prolate_AR2,6.0,573.15,0.9201246034382574,0.9201228691105878,0.9201258764095027,0.85,True
H-P2_PBTE_303K_111__upper_1sigma__single_APT_37to6_prolate_AR2__B1_constant,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,upper_1sigma__single_APT_37to6_prolate_AR2,48.0,573.15,0.9189968225958053,0.9177153748249437,0.9200212380774011,1.03,False
H-P2_PBTE_303K_111__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B1_constant,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,0.9496156444981821,0.949613829531874,0.9496169766570374,0.85,True
H-P2_PBTE_303K_111__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B1_constant,H-P2_PBTE_303K_111,H-P2,PROVISIONAL_HOST_ENVELOPE,B1_constant,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,0.9484354770388164,0.9470945304290252,0.9495074733443158,1.03,False
H-P2_PBTE_303K_ANGULAR_MEAN__lower_1sigma__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__zero_particle_scattering_limit,6.0,573.15,0.8555239723329066,0.8555236619263944,0.8555242001665591,0.85,True
H-P2_PBTE_303K_ANGULAR_MEAN__lower_1sigma__zero_particle_scattering_limit__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__zero_particle_scattering_limit,48.0,573.15,0.8553216859431015,0.8550916117073166,0.8555054700885328,1.03,False
H-P2_PBTE_303K_ANGULAR_MEAN__lower_1sigma__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__all_small_at_reported_max,6.0,573.15,0.8560403801796007,0.8560400692732859,0.8560406083801005,0.85,True
H-P2_PBTE_303K_ANGULAR_MEAN__lower_1sigma__all_small_at_reported_max__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__all_small_at_reported_max,48.0,573.15,0.8558377682536058,0.8556073238534805,0.8560218481445967,1.03,False
H-P2_PBTE_303K_ANGULAR_MEAN__lower_1sigma__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR10,6.0,573.15,0.8584778181377448,0.8584775048658282,0.8584780480745611,0.85,True
H-P2_PBTE_303K_ANGULAR_MEAN__lower_1sigma__single_APT_37to6_prolate_AR10__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR10,48.0,573.15,0.8582736654308665,0.8580414690252358,0.8584591451015429,1.03,False
H-P2_PBTE_303K_ANGULAR_MEAN__lower_1sigma__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR5,6.0,573.15,0.8738365876375719,0.873836259210441,0.8738368286980873,0.85,True
H-P2_PBTE_303K_ANGULAR_MEAN__lower_1sigma__single_APT_37to6_prolate_AR5__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR5,48.0,573.15,0.8736225641461893,0.8733791438888219,0.8738170112791462,1.03,False
H-P2_PBTE_303K_ANGULAR_MEAN__lower_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,H-P2,PROVISIONAL_HOST_ENVELOPE,B4_omega4,lower_1sigma__single_APT_37to6_prolate_AR2,6.0,573.15,0.9907493388845184,0.990748880677493,0.9907496752015288,0.85,True
