member_id,host_id,host_family,host_status,background_model,AQ_case_id,age_h,temperature_K,ensemble_mean_kappa_upper_W_mK,replicate_min_W_mK,replicate_max_W_mK,experiment_W_mK,endpoint_gate_pass
H-P0_YU_SCALAR__central__single_APT_37to6_prolate_AR2__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,central__single_APT_37to6_prolate_AR2,48.0,573.15,0.899381535970817,0.8985171358182014,0.9000724279997848,1.03,False
H-P0_YU_SCALAR__central__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,central__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,0.9568131512029246,0.9568118347687866,0.9568141174462574,0.85,True
H-P0_YU_SCALAR__central__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,central__single_APT_37to6_large_Lover2_sphere_bound,48.0,573.15,0.9559567992389475,0.9549836027209389,0.9567346906371745,1.03,False
H-P0_YU_SCALAR__upper_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,upper_1sigma__zero_particle_scattering_limit,6.0,573.15,0.8634625277612434,0.8634614497532689,0.8634633190031908,0.85,True
H-P0_YU_SCALAR__upper_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,upper_1sigma__zero_particle_scattering_limit,48.0,573.15,0.8627611010127779,0.8619638796363679,0.8633982767547435,1.03,False
H-P0_YU_SCALAR__upper_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,upper_1sigma__all_small_at_reported_max,6.0,573.15,0.8646292196569322,0.8646281388080006,0.8646300129841011,0.85,True
H-P0_YU_SCALAR__upper_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,upper_1sigma__all_small_at_reported_max,48.0,573.15,0.8639259465705756,0.8631266278206823,0.8645647993354149,1.03,False
H-P0_YU_SCALAR__upper_1sigma__single_APT_37to6_prolate_AR10__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,upper_1sigma__single_APT_37to6_prolate_AR10,6.0,573.15,0.8665718233331258,0.8665707377460063,0.8665726201380566,0.85,True
H-P0_YU_SCALAR__upper_1sigma__single_APT_37to6_prolate_AR10__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,upper_1sigma__single_APT_37to6_prolate_AR10,48.0,573.15,0.8658654709169814,0.8650626541686456,0.8665071206257272,1.03,False
H-P0_YU_SCALAR__upper_1sigma__single_APT_37to6_prolate_AR5__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,upper_1sigma__single_APT_37to6_prolate_AR5,6.0,573.15,0.8734058717606664,0.8734047694268292,0.873406680857447,0.85,True
