run_dir,continuous_nucleus_id,rc_nm,shape_type,candidate_template_count_within_threshold,selected_template_id,is_mapping_unique,nearest_template_id,nearest_template_loss_proxy,all_candidate_template_ids
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,1.8444082445269532,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.01282723525,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,1.816630689627574,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.04007729015,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,1.9749396984232506,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.1349091782,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005,2.013164766756344,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.1735862465,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0075,2.0539774559255624,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.2166369357,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_eyy_sm0p01,2.0975862622147763,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.261876742,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_s000,1.939113647041533,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.09357562682,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_s0p0025,1.8728219312664496,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.02698091105,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_s0p005,1.805785684111958,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.05049179567,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
Results/orchestrator/T400_xB0p050,cntcon_T400_xB0p050_strictref_exx_s0p0075,1.7386240676375029,spherical,1,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,true,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825,0.1178509526,generated_cntcon_T400_xB0p050_strictref_eyy_sm0p01_rc1p825
