case,event_step,reference,Ctot_Linf_abs,Ctot_endpoint_relative,Ctot_increment_relative,phi_Linf_abs,phi_endpoint_relative,phi_increment_relative,hvolume_increment_relative,interface_error_dx,matrix_profile_capacity_L1_endpoint_relative,matrix_profile_capacity_L1_increment_relative,direction_unchanged,Ctot_evolution_gate_2pct,phi_evolution_gate_2pct,hvolume_gate_2pct,interface_gate_0p25dx,profile_increment_gate_3pct
dt8,1,eight_Lie_BE_eighth_steps_same_macro_time,2.5299177308646392e-06,2.529917730864636e-06,0.03186716984034507,3.076792831624431e-08,3.076792831624431e-08,0.0006562618018146787,0.00042023748362153194,7.963740245031659e-08,6.778521860264416e-07,0.0370656689997347,1,0,1,1,1,0
dt16,115,eight_Lie_BE_eighth_steps_same_macro_time,6.635541616381579e-07,6.635541616381571e-07,0.01720083679647358,9.350391461104834e-09,9.350391461104834e-09,0.0003857596507423536,0.00024628914028229724,2.4268143050676372e-08,1.7240714098253084e-07,0.019583086302722683,1,1,1,1,1,1
