case,dt_code,steps,accepted,BDF2_steps,event_subcycled_macros,history_BE_macros,preflight_event_count,event_fallback_fraction,maximum_subcycle_depth,transport_solves,phase_solves,extra_transport_solves,extra_phase_solves,internal_reject_retries,hard_rejects,max_transport_residual,max_phase_KKT,max_mass_error,bdf2_energy_rows,bdf2_energy_all_finite_pass,accepted_state_nonfinite,clipping,physical_projection,wall_seconds,accepted_physical_time_s,physical_s_per_GPU_hour,event_wall_overhead_fraction
dt8,0.000390625,502,502,6,257,239,240,0.5119521912350598,2,776,759,274,257,17,0,1.007060363991834e-12,1.0002165762301729e-10,9.947598300641403e-13,6,True,0,0,0,277.604664625,8.06525463703125,104.59088190226947,8.892860748927369
dt16,0.0001953125,502,502,438,32,32,32,0.06374501992031872,2,534,534,32,32,0,0,1.0014266811235143e-12,9.879352891317694e-11,9.379164112033322e-13,438,True,0,0,0,65.421039584,4.032627318515625,221.90809621751686,0.5647822719070086
