initial_id,initial_radius_m,weight_m3,initial_growth_sign,dissolution_time_h,radius_before_event_m,returned_inventory_mol_m3,active_at_48h,post_event_ledger_relative_residual
MP001,1.049993948124773e-08,1.1302806712962962e+21,GROWTH,,,0.0,True,
MP002,1.0499939315689504e-08,1.1302806712962962e+21,GROWTH,,,0.0,True,
MP003,9.49995816215454e-09,1.1302806712962962e+21,GROWTH,5.154938322532052,4.724027182871602e-10,0.0121711858737013,False,0.0
MP004,9.499958271209501e-09,1.1302806712962962e+21,GROWTH,5.154939440592809,4.724027182871602e-10,0.0121711858737013,False,0.0
MP005,7.99993108603241e-09,1.1302806712962962e+21,DISSOLUTION,1.2901643362125637,4.724027182871602e-10,0.0121711858737013,False,0.0
MP006,7.999932118399894e-09,1.1302806712962962e+21,DISSOLUTION,1.2901656485389443,4.724027182871602e-10,0.0121711858737013,False,0.0
