particle_id,component_cell_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm,overlap_parent_count,step,age_h,registered_age_h,elapsed_physical_time_s,temperature_K,source_phi,source_xB,unexpected_merge
12,7603,2560.6628671921076,8.487007737854597,21.30620592240741,169.22212556659787,69.59242404256966,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
13,7841,2676.8844493698316,8.613513495498145,22.048669386558128,10.672005677988546,74.60249236633848,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
14,10722,4129.003369922714,9.952194980676753,24.152655671896763,170.9934683491084,208.5780713788858,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
15,7338,2449.270688161513,8.362113511625997,27.58489247344363,77.46554003610858,30.290434916478382,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
16,10679,4092.570442273538,9.92283686235321,31.70953227000777,241.4971761943605,25.559629722919375,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
17,9967,3745.8986849970074,9.634351177035146,32.97683523474916,51.319641128906774,223.89257684707397,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
18,9486,3490.207350815946,9.40995485462893,33.326342977132384,241.125862127304,174.29567033107196,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
19,7799,2653.2429152795744,8.588081054163968,35.941797670619586,205.90691798440605,2.689746531801716,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
20,7390,2471.1730092149746,8.386965325696714,37.56603425987927,232.47374251590435,111.30449033085317,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
21,11294,4432.873082673113,10.190579841793355,41.29791983573907,125.08041622122717,93.69386751879482,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
22,9310,3398.9276507346613,9.327196013560068,45.18251450781823,161.94263132531918,166.33248101153544,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
23,11898,4760.205535927986,10.435478442574592,53.20236566824038,181.03270136985807,122.24260920323887,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
24,10782,4165.772321114371,9.981649295935014,55.722179824206215,67.44662348357402,147.13075255873855,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
25,8347,2924.800461713989,8.871612097066548,54.57934518277761,119.11112514195784,168.94451390878083,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
26,8964,3223.472743743958,9.163860394106065,54.57557375076022,124.2193559294166,54.11109837767484,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
27,11841,4717.935407545852,10.404497906328787,56.00223128176985,171.46167193052344,26.772603721724053,0,0,6.0,6.0,0.0,653.15,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0
