step,registered_age_h,age_h,radius_bin_left_nm,radius_bin_right_nm,radius_bin_center_nm,count,number_fraction,n_of_R_nm^-4,M6_bin_contribution_nm^3
10899,9.0,9.0,30.0,32.0,31.0,0,0.0,0.0,0.0
14532,10.0,10.0,0.0,2.0,1.0,0,0.0,0.0,0.0
14532,10.0,10.0,2.0,4.0,3.0,1,0.027777777777777776,3.3586494897271006e-08,8.102302367117063e-05
14532,10.0,10.0,4.0,6.0,5.0,0,0.0,0.0,0.0
14532,10.0,10.0,6.0,8.0,7.0,2,0.05555555555555555,6.717298979454201e-08,0.025633847949347265
14532,10.0,10.0,8.0,10.0,9.0,4,0.1111111111111111,1.3434597958908403e-07,0.1811155044639604
14532,10.0,10.0,10.0,12.0,11.0,3,0.08333333333333333,1.0075948469181301e-07,0.32260610247924315
14532,10.0,10.0,12.0,14.0,13.0,13,0.3611111111111111,4.3662443366452306e-07,4.787835831272898
14532,10.0,10.0,14.0,16.0,15.0,13,0.3611111111111111,4.3662443366452306e-07,10.02442650016641
14532,10.0,10.0,16.0,18.0,17.0,0,0.0,0.0,0.0
14532,10.0,10.0,18.0,20.0,19.0,0,0.0,0.0,0.0
14532,10.0,10.0,20.0,22.0,21.0,0,0.0,0.0,0.0
14532,10.0,10.0,22.0,24.0,23.0,0,0.0,0.0,0.0
14532,10.0,10.0,24.0,26.0,25.0,0,0.0,0.0,0.0
14532,10.0,10.0,26.0,28.0,27.0,0,0.0,0.0,0.0
14532,10.0,10.0,28.0,30.0,29.0,0,0.0,0.0,0.0
14532,10.0,10.0,30.0,32.0,31.0,0,0.0,0.0,0.0
18165,11.0,11.0,0.0,2.0,1.0,0,0.0,0.0,0.0
18165,11.0,11.0,2.0,4.0,3.0,0,0.0,0.0,0.0
18165,11.0,11.0,4.0,6.0,5.0,1,0.03333333333333333,3.3586494897271006e-08,0.0026937985446821916
18165,11.0,11.0,6.0,8.0,7.0,1,0.03333333333333333,3.3586494897271006e-08,0.005617191580247497
18165,11.0,11.0,8.0,10.0,9.0,2,0.06666666666666667,6.717298979454201e-08,0.11079397332563266
18165,11.0,11.0,10.0,12.0,11.0,0,0.0,0.0,0.0
18165,11.0,11.0,12.0,14.0,13.0,11,0.36666666666666664,3.6945144386998104e-07,3.9225190869000213
18165,11.0,11.0,14.0,16.0,15.0,12,0.4,4.0303793876725205e-07,9.712150027789447
18165,11.0,11.0,16.0,18.0,17.0,3,0.1,1.0075948469181301e-07,4.0515551626923525
18165,11.0,11.0,18.0,20.0,19.0,0,0.0,0.0,0.0
18165,11.0,11.0,20.0,22.0,21.0,0,0.0,0.0,0.0
18165,11.0,11.0,22.0,24.0,23.0,0,0.0,0.0,0.0
18165,11.0,11.0,24.0,26.0,25.0,0,0.0,0.0,0.0
18165,11.0,11.0,26.0,28.0,27.0,0,0.0,0.0,0.0
18165,11.0,11.0,28.0,30.0,29.0,0,0.0,0.0,0.0
18165,11.0,11.0,30.0,32.0,31.0,0,0.0,0.0,0.0
21798,12.0,12.0,0.0,2.0,1.0,0,0.0,0.0,0.0
21798,12.0,12.0,2.0,4.0,3.0,0,0.0,0.0,0.0
21798,12.0,12.0,4.0,6.0,5.0,1,0.037037037037037035,3.3586494897271006e-08,0.0010808420715677776
21798,12.0,12.0,6.0,8.0,7.0,0,0.0,0.0,0.0
21798,12.0,12.0,8.0,10.0,9.0,0,0.0,0.0,0.0
21798,12.0,12.0,10.0,12.0,11.0,3,0.1111111111111111,1.0075948469181301e-07,0.4395286245151455
21798,12.0,12.0,12.0,14.0,13.0,7,0.25925925925925924,2.35105464280897e-07,2.548070890063208
21798,12.0,12.0,14.0,16.0,15.0,10,0.37037037037037035,3.3586494897271e-07,8.0861339905341
21798,12.0,12.0,16.0,18.0,17.0,6,0.2222222222222222,2.0151896938362603e-07,8.513028091857635
21798,12.0,12.0,18.0,20.0,19.0,0,0.0,0.0,0.0
21798,12.0,12.0,20.0,22.0,21.0,0,0.0,0.0,0.0
21798,12.0,12.0,22.0,24.0,23.0,0,0.0,0.0,0.0
21798,12.0,12.0,24.0,26.0,25.0,0,0.0,0.0,0.0
21798,12.0,12.0,26.0,28.0,27.0,0,0.0,0.0,0.0
21798,12.0,12.0,28.0,30.0,29.0,0,0.0,0.0,0.0
21798,12.0,12.0,30.0,32.0,31.0,0,0.0,0.0,0.0
25431,13.0,13.0,0.0,2.0,1.0,0,0.0,0.0,0.0
25431,13.0,13.0,2.0,4.0,3.0,0,0.0,0.0,0.0
25431,13.0,13.0,4.0,6.0,5.0,0,0.0,0.0,0.0
25431,13.0,13.0,6.0,8.0,7.0,0,0.0,0.0,0.0
25431,13.0,13.0,8.0,10.0,9.0,2,0.07692307692307693,6.717298979454201e-08,0.07468378004080449
25431,13.0,13.0,10.0,12.0,11.0,3,0.11538461538461539,1.0075948469181301e-07,0.39261129306336867
25431,13.0,13.0,12.0,14.0,13.0,6,0.23076923076923078,2.0151896938362603e-07,2.2877045881019673
25431,13.0,13.0,14.0,16.0,15.0,7,0.2692307692307692,2.35105464280897e-07,5.793346305572039
25431,13.0,13.0,16.0,18.0,17.0,8,0.3076923076923077,2.6869195917816805e-07,12.55383923938468
25431,13.0,13.0,18.0,20.0,19.0,0,0.0,0.0,0.0
25431,13.0,13.0,20.0,22.0,21.0,0,0.0,0.0,0.0
25431,13.0,13.0,22.0,24.0,23.0,0,0.0,0.0,0.0
25431,13.0,13.0,24.0,26.0,25.0,0,0.0,0.0,0.0
25431,13.0,13.0,26.0,28.0,27.0,0,0.0,0.0,0.0
25431,13.0,13.0,28.0,30.0,29.0,0,0.0,0.0,0.0
25431,13.0,13.0,30.0,32.0,31.0,0,0.0,0.0,0.0
29064,14.0,14.0,0.0,2.0,1.0,0,0.0,0.0,0.0
29064,14.0,14.0,2.0,4.0,3.0,0,0.0,0.0,0.0
29064,14.0,14.0,4.0,6.0,5.0,0,0.0,0.0,0.0
29064,14.0,14.0,6.0,8.0,7.0,1,0.041666666666666664,3.3586494897271006e-08,0.013612935489099661
29064,14.0,14.0,8.0,10.0,9.0,1,0.041666666666666664,3.3586494897271006e-08,0.04108590304458175
29064,14.0,14.0,10.0,12.0,11.0,2,0.08333333333333333,6.717298979454201e-08,0.18622850191378348
29064,14.0,14.0,12.0,14.0,13.0,5,0.20833333333333334,1.67932474486355e-07,1.8595727095987746
29064,14.0,14.0,14.0,16.0,15.0,5,0.20833333333333334,1.67932474486355e-07,3.7194577900970107
