step,age_h,registered_age_h,elapsed_physical_time_s,source_phi,source_xB,beta_volume_fraction,beta_volume_fraction_from_particles,matrix_xB_h_lt_0p005,matrix_xAg_h_lt_0p005,mean_C_B_tot,target_C_B_tot,resolved_particle_count,unexpected_merge
39963,17.0,17.0,39600.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_39963.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_39963.vtk,0.02340504425478264,0.023404820490597722,0.006753430238583063,0.0067307025734398744,0.03000000275044247,0.03,18,0
43596,18.0,18.0,43200.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_43596.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_43596.vtk,0.023440124884222934,0.02343990883726789,0.0067176656868342295,0.006695177704069287,0.02999999245739275,0.03,17,0
47229,19.0,19.0,46800.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_47229.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_47229.vtk,0.02342274989039219,0.023422540441664762,0.00673557751322904,0.006712969649519892,0.029999998450448966,0.03,17,0
50862,20.0,20.0,50400.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_50862.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_50862.vtk,0.0234742572460755,0.023474061344041543,0.006683319833187653,0.0066610608331993575,0.03000000282175143,0.03,14,0
54495,21.0,21.0,54000.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_54495.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_54495.vtk,0.023567542357059743,0.023567353473672413,0.0065879425317355135,0.006566313284453837,0.030000002367352358,0.03,12,0
58128,22.0,22.0,57600.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_58128.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_58128.vtk,0.023564227755102335,0.023564041617234036,0.006591373914622789,0.006569722166963967,0.030000004893332897,0.03,12,0
61761,23.0,23.0,61200.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_61761.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_61761.vtk,0.023586580322459524,0.023586400397481583,0.006568667331942994,0.006547164259947403,0.030000002593231313,0.03,11,0
65394,24.0,24.0,64800.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_65394.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_65394.vtk,0.023600226852405093,0.023600050926275876,0.006554894006316638,0.006533480869022269,0.02999998150202948,0.03,10,0
69027,25.0,25.0,68400.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_69027.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_69027.vtk,0.023635244952692126,0.023635069959761962,0.006518976203825941,0.006497796712752075,0.030000007040069214,0.03,10,0
72660,26.0,26.0,72000.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_72660.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_72660.vtk,0.023633295289223633,0.023633121176682814,0.006520987412772876,0.006499794872498293,0.029999997665313523,0.03,10,0
