step,registered_age_h,age_h,particle_id,equivalent_radius_nm,h_volume_nm3
0,6.0,6.0,1,10.88098216120029,5396.260468732218
0,6.0,6.0,2,8.97683937632613,3030.114030858083
0,6.0,6.0,3,10.751392296975556,5205.743138660241
0,6.0,6.0,4,10.100441992033028,4316.281349160069
0,6.0,6.0,5,10.373620083844285,4676.055156652021
0,6.0,6.0,6,9.299771365531827,3369.0342339689714
0,6.0,6.0,7,8.793452131478801,2848.175987432935
0,6.0,6.0,8,9.606000699347215,3712.9273456977553
0,6.0,6.0,9,9.806340782808764,3950.1133102131944
0,6.0,6.0,10,10.783612812686279,5252.686333399206
0,6.0,6.0,11,10.815948947937764,5300.080859955393
0,6.0,6.0,12,8.487007737854597,2560.6628671921076
0,6.0,6.0,13,8.613513495498145,2676.8844493698316
0,6.0,6.0,14,9.952194980676753,4129.003369922714
0,6.0,6.0,15,8.362113511625997,2449.270688161513
0,6.0,6.0,16,9.92283686235321,4092.570442273538
0,6.0,6.0,17,9.634351177035146,3745.8986849970074
0,6.0,6.0,18,9.40995485462893,3490.207350815946
0,6.0,6.0,19,8.588081054163968,2653.2429152795744
0,6.0,6.0,20,8.386965325696714,2471.1730092149746
0,6.0,6.0,21,10.190579841793355,4432.873082673113
0,6.0,6.0,22,9.327196013560068,3398.9276507346613
0,6.0,6.0,23,10.435478442574592,4760.205535927986
0,6.0,6.0,24,9.981649295935014,4165.772321114371
0,6.0,6.0,25,8.871612097066548,2924.800461713989
0,6.0,6.0,26,9.163860394106065,3223.472743743958
0,6.0,6.0,27,10.404497906328787,4717.935407545852
0,6.0,6.0,28,10.31218957637436,4593.474125613755
0,6.0,6.0,29,10.070596959593932,4278.132733667554
0,6.0,6.0,30,9.864400719484784,4020.691278817401
0,6.0,6.0,31,10.220827778136016,4472.463661604685
0,6.0,6.0,32,8.562714693669427,2629.8018740225157
0,6.0,6.0,33,8.66458313825507,2724.7811672620737
0,6.0,6.0,34,9.521468009886949,3615.766253739476
0,6.0,6.0,35,10.281632251857475,4552.760533640138
0,6.0,6.0,36,9.437709904988342,3521.1820646808833
0,6.0,6.0,37,10.68730260508826,5113.201744553663
0,6.0,6.0,38,10.251177628786715,4512.423849745942
0,6.0,6.0,39,9.245170347943994,3310.0409178103487
0,6.0,6.0,40,8.436859847952327,2515.5393394926996
0,6.0,6.0,41,8.639014134562284,2700.7299649184015
0,6.0,6.0,42,8.897810256256653,2950.7881461272063
0,6.0,6.0,43,10.160433152724158,4393.648179948657
0,6.0,6.0,44,9.083249391723143,3139.1518522328547
0,6.0,6.0,45,9.57773757558266,3680.2507482023266
0,6.0,6.0,46,10.946497475417136,5494.32256854892
0,6.0,6.0,47,9.217984752600808,3280.9269853128276
0,6.0,6.0,48,10.913679342257234,5445.05383343305
