S_isotropic_finite_box,case_id,diagnostic_only_not_in_transport_rate,nearest_neighbor_mean_nm,nearest_surface_gap_mean_nm,particle_count,q_nm-1,time_h
23.50995740212931,001,True,42.05266043072545,24.289592117336042,512,0.02,6
3.477332829129641,001,True,42.05266043072545,24.289592117336042,512,0.022058866235832263,6
-11.89933107773769,001,True,42.05266043072545,24.289592117336042,512,0.02432967898051702,6
-20.943223157772273,001,True,42.05266043072545,24.289592117336042,512,0.026834256709598235,6
-22.67723020998779,001,True,42.05266043072545,24.289592117336042,512,0.029596663964750594,6
-17.482741106635906,001,True,42.05266043072545,24.289592117336042,512,0.03264344257126551,6
-7.6273466973762325,001,True,42.05266043072545,24.289592117336042,512,0.036003866657830896,6
2.801853088417527,001,True,42.05266043072545,24.289592117336042,512,0.03971022392889164,6
9.08917832189703,001,True,42.05266043072545,24.289592117336042,512,0.04379812589211831,6
8.31340523649839,001,True,42.05266043072545,24.289592117336042,512,0.04830685002171894,6
1.9136536219325193,001,True,42.05266043072545,24.289592117336042,512,0.05327971714517544,6
-4.180948522691336,001,True,42.05266043072545,24.289592117336042,512,0.05876450767942019,6
-4.124093388528451,001,True,42.05266043072545,24.289592117336042,512,0.06481392071574335,6
1.0449406341383318,001,True,42.05266043072545,24.289592117336042,512,0.07148608036442104,6
3.4354648710683824,001,True,42.05266043072545,24.289592117336042,512,0.07884509422413591,6
-0.12693004349112358,001,True,42.05266043072545,24.289592117336042,512,0.08696166934209024,6
-1.6203347993439938,001,True,42.05266043072545,24.289592117336042,512,0.09591379158309218,6
1.8344005362849496,001,True,42.05266043072545,24.289592117336042,512,0.10578747493514619,6
1.1293137697035356,001,True,42.05266043072545,24.289592117336042,512,0.1166775879510424,6
0.08958331806628395,001,True,42.05266043072545,24.289592117336042,512,0.12868876526657988,6
2.185314199488606,001,True,42.05266043072545,24.289592117336042,512,0.1419364129534951,6
0.5097626780638074,001,True,42.05266043072545,24.289592117336042,512,0.15654781736674986,6
1.830206570123456,001,True,42.05266043072545,24.289592117336042,512,0.1726633681402317,6
0.6129646049391793,001,True,42.05266043072545,24.289592117336042,512,0.1904379070816816,6
1.08340154547789,001,True,42.05266043072545,24.289592117336042,512,0.21004221592733333,6
1.2161644822642532,001,True,42.05266043072545,24.289592117336042,512,0.2316646572509421,6
0.6770948494992035,001,True,42.05266043072545,24.289592117336042,512,0.255512984293423,6
0.7359332966583898,001,True,42.05266043072545,24.289592117336042,512,0.2818163371023462,6
0.8736087580619393,001,True,42.05266043072545,24.289592117336042,512,0.3108274441606434,6
0.9113804339662793,001,True,42.05266043072545,24.289592117336042,512,0.3428250506582627,6
0.8111711394734458,001,True,42.05266043072545,24.289592117336042,512,0.3781165967381518,6
0.9465552614031159,001,True,42.05266043072545,24.289592117336042,512,0.4170411714497508,6
1.0775930413352972,001,True,42.05266043072545,24.289592117336042,512,0.459972770792242,6
0.9683331147499036,001,True,42.05266043072545,24.289592117336042,512,0.50732389115156,6
0.9546939044866053,001,True,42.05266043072545,24.289592117336042,512,0.559549492657709,6
1.0526090145815237,001,True,42.05266043072545,24.289592117336042,512,0.6171513705432105,6
1.0345673957240924,001,True,42.05266043072545,24.289592117336042,512,0.6806829765036615,6
0.977810760216788,001,True,42.05266043072545,24.289592117336042,512,0.7507547363851212,6
1.017139508601372,001,True,42.05266043072545,24.289592117336042,512,0.8280399152918446,6
0.968912438773482,001,True,42.05266043072545,24.289592117336042,512,0.9132810864676338,6
0.9821293410161772,001,True,42.05266043072545,24.289592117336042,512,1.0072972661052546,6
1.0147803488989258,001,True,42.05266043072545,24.289592117336042,512,1.1109917826367666,6
0.9814738727675533,001,True,42.05266043072545,24.289592117336042,512,1.2253609561146632,6
0.9878932388936685,001,True,42.05266043072545,24.289592117336042,512,1.3515036710772441,6
1.0101573930459649,001,True,42.05266043072545,24.289592117336042,512,1.4906319348764585,6
1.007770335608402,001,True,42.05266043072545,24.289592117336042,512,1.6440825229149805,6
0.999846746758044,001,True,42.05266043072545,24.289592117336042,512,1.8133298226825592,6
1.004681531782972,001,True,42.05266043072545,24.289592117336042,512,2.0,6
5.899181954539326,001,True,56.521594894881076,29.608454733860704,121,0.02,12
1.188538280426,001,True,56.521594894881076,29.608454733860704,121,0.022058866235832263,12
-2.438843841769434,001,True,56.521594894881076,29.608454733860704,121,0.02432967898051702,12
-4.587098480549912,001,True,56.521594894881076,29.608454733860704,121,0.026834256709598235,12
-5.020584041580844,001,True,56.521594894881076,29.608454733860704,121,0.029596663964750594,12
-3.8178054946899485,001,True,56.521594894881076,29.608454733860704,121,0.03264344257126551,12
-1.4964424573574466,001,True,56.521594894881076,29.608454733860704,121,0.036003866657830896,12
0.997903682270292,001,True,56.521594894881076,29.608454733860704,121,0.03971022392889164,12
2.563454066460576,001,True,56.521594894881076,29.608454733860704,121,0.04379812589211831,12
2.5030683700156287,001,True,56.521594894881076,29.608454733860704,121,0.04830685002171894,12
1.1262802743751206,001,True,56.521594894881076,29.608454733860704,121,0.05327971714517544,12
-0.20523869656608396,001,True,56.521594894881076,29.608454733860704,121,0.05876450767942019,12
-0.1274880702208505,001,True,56.521594894881076,29.608454733860704,121,0.06481392071574335,12
1.1303550805755107,001,True,56.521594894881076,29.608454733860704,121,0.07148608036442104,12
1.712247787195738,001,True,56.521594894881076,29.608454733860704,121,0.07884509422413591,12
0.8326130608944519,001,True,56.521594894881076,29.608454733860704,121,0.08696166934209024,12
0.4024580520104485,001,True,56.521594894881076,29.608454733860704,121,0.09591379158309218,12
1.239486475925967,001,True,56.521594894881076,29.608454733860704,121,0.10578747493514619,12
1.149931640435605,001,True,56.521594894881076,29.608454733860704,121,0.1166775879510424,12
0.7864830875560289,001,True,56.521594894881076,29.608454733860704,121,0.12868876526657988,12
1.2068384827054008,001,True,56.521594894881076,29.608454733860704,121,0.1419364129534951,12
0.880521569535338,001,True,56.521594894881076,29.608454733860704,121,0.15654781736674986,12
1.143499068494204,001,True,56.521594894881076,29.608454733860704,121,0.1726633681402317,12
0.8899622864838351,001,True,56.521594894881076,29.608454733860704,121,0.1904379070816816,12
1.0580909603924904,001,True,56.521594894881076,29.608454733860704,121,0.21004221592733333,12
1.0323593052247042,001,True,56.521594894881076,29.608454733860704,121,0.2316646572509421,12
0.9583553635628557,001,True,56.521594894881076,29.608454733860704,121,0.255512984293423,12
0.9298016929455292,001,True,56.521594894881076,29.608454733860704,121,0.2818163371023462,12
0.9632691382468795,001,True,56.521594894881076,29.608454733860704,121,0.3108274441606434,12
0.9992602031763002,001,True,56.521594894881076,29.608454733860704,121,0.3428250506582627,12
0.9500972881054355,001,True,56.521594894881076,29.608454733860704,121,0.3781165967381518,12
0.9906262035421578,001,True,56.521594894881076,29.608454733860704,121,0.4170411714497508,12
1.011899087177046,001,True,56.521594894881076,29.608454733860704,121,0.459972770792242,12
0.973957614492286,001,True,56.521594894881076,29.608454733860704,121,0.50732389115156,12
1.0002104466293156,001,True,56.521594894881076,29.608454733860704,121,0.559549492657709,12
1.0039039638916976,001,True,56.521594894881076,29.608454733860704,121,0.6171513705432105,12
1.0029857038403016,001,True,56.521594894881076,29.608454733860704,121,0.6806829765036615,12
0.9834141329894694,001,True,56.521594894881076,29.608454733860704,121,0.7507547363851212,12
1.0018193861160907,001,True,56.521594894881076,29.608454733860704,121,0.8280399152918446,12
1.0072795333233393,001,True,56.521594894881076,29.608454733860704,121,0.9132810864676338,12
0.9882172562825934,001,True,56.521594894881076,29.608454733860704,121,1.0072972661052546,12
0.9955134776270236,001,True,56.521594894881076,29.608454733860704,121,1.1109917826367666,12
1.0029789330139434,001,True,56.521594894881076,29.608454733860704,121,1.2253609561146632,12
0.9999406276290799,001,True,56.521594894881076,29.608454733860704,121,1.3515036710772441,12
1.0016274448637452,001,True,56.521594894881076,29.608454733860704,121,1.4906319348764585,12
1.003089637353584,001,True,56.521594894881076,29.608454733860704,121,1.6440825229149805,12
0.9970417599956507,001,True,56.521594894881076,29.608454733860704,121,1.8133298226825592,12
1.0012184790229313,001,True,56.521594894881076,29.608454733860704,121,2.0,12
2.4121457143538763,001,True,78.56708504434238,41.8173839690639,47,0.02,24
0.5736094990455174,001,True,78.56708504434238,41.8173839690639,47,0.022058866235832263,24
-0.8255658390443921,001,True,78.56708504434238,41.8173839690639,47,0.02432967898051702,24
-1.6286201931601423,001,True,78.56708504434238,41.8173839690639,47,0.026834256709598235,24
-1.7439928597710144,001,True,78.56708504434238,41.8173839690639,47,0.029596663964750594,24
-1.2064488656895325,001,True,78.56708504434238,41.8173839690639,47,0.03264344257126551,24
-0.2257844583680262,001,True,78.56708504434238,41.8173839690639,47,0.036003866657830896,24
0.8198186116262942,001,True,78.56708504434238,41.8173839690639,47,0.03971022392889164,24
1.4943842711184565,001,True,78.56708504434238,41.8173839690639,47,0.04379812589211831,24
1.5273795148976939,001,True,78.56708504434238,41.8173839690639,47,0.04830685002171894,24
1.0471986099227768,001,True,78.56708504434238,41.8173839690639,47,0.05327971714517544,24
0.5869947830577065,001,True,78.56708504434238,41.8173839690639,47,0.05876450767942019,24
0.6603751882218185,001,True,78.56708504434238,41.8173839690639,47,0.06481392071574335,24
1.1474228614629869,001,True,78.56708504434238,41.8173839690639,47,0.07148608036442104,24
1.3267453369460473,001,True,78.56708504434238,41.8173839690639,47,0.07884509422413591,24
0.949320158791924,001,True,78.56708504434238,41.8173839690639,47,0.08696166934209024,24
0.7884607595654535,001,True,78.56708504434238,41.8173839690639,47,0.09591379158309218,24
1.1034546630672968,001,True,78.56708504434238,41.8173839690639,47,0.10578747493514619,24
1.056600204815699,001,True,78.56708504434238,41.8173839690639,47,0.1166775879510424,24
0.9677735922086728,001,True,78.56708504434238,41.8173839690639,47,0.12868876526657988,24
1.0980834812374274,001,True,78.56708504434238,41.8173839690639,47,0.1419364129534951,24
0.9051363165783675,001,True,78.56708504434238,41.8173839690639,47,0.15654781736674986,24
1.0014298955729704,001,True,78.56708504434238,41.8173839690639,47,0.1726633681402317,24
0.9792809618188018,001,True,78.56708504434238,41.8173839690639,47,0.1904379070816816,24
1.0346252711144643,001,True,78.56708504434238,41.8173839690639,47,0.21004221592733333,24
1.0272021743867645,001,True,78.56708504434238,41.8173839690639,47,0.2316646572509421,24
0.9742776943616093,001,True,78.56708504434238,41.8173839690639,47,0.255512984293423,24
0.9747239379765095,001,True,78.56708504434238,41.8173839690639,47,0.2818163371023462,24
0.9808074479475583,001,True,78.56708504434238,41.8173839690639,47,0.3108274441606434,24
0.9866139969999576,001,True,78.56708504434238,41.8173839690639,47,0.3428250506582627,24
