Sv_true_nm-1,absent_object_count,aggregate_area_nm2,authority,canonical,case_id,level_set_phi,time_h
0.008323607678318646,0,532710.8914123933,CONDITIONAL,False,001,0.45,6
0.007918281537230903,0,506770.01838277775,CONDITIONAL,True,001,0.5,6
0.0075217653872245265,0,481392.9847823697,CONDITIONAL,False,001,0.55,6
0.0049618752348426385,0,317560.0150299289,CONDITIONAL,False,001,0.45,12
0.004812345105907414,0,307990.0867780745,CONDITIONAL,True,001,0.5,12
0.004665314166075483,0,298580.1066288309,CONDITIONAL,False,001,0.55,12
0.003729351149045543,0,238678.47353891475,CONDITIONAL,False,001,0.45,24
0.003647703129556698,0,233453.00029162865,CONDITIONAL,True,001,0.5,24
0.003567171397009009,0,228298.96940857658,CONDITIONAL,False,001,0.55,24
0.0029118924994568285,0,186361.119965237,CONDITIONAL,False,001,0.45,48
0.0028633323753657924,0,183253.2720234107,CONDITIONAL,True,001,0.5,48
0.0028153388464588853,0,180181.68617336865,CONDITIONAL,False,001,0.55,48
0.008323606741973598,0,532710.8314863102,CONDITIONAL,False,002,0.45,6
0.00791828071020645,0,506769.9654532128,CONDITIONAL,True,002,0.5,6
0.007521764664680153,0,481392.9385395298,CONDITIONAL,False,002,0.55,6
0.004936886468356468,0,315960.73397481395,CONDITIONAL,False,002,0.45,12
0.004789910406994878,0,306554.2660476722,CONDITIONAL,True,002,0.5,12
0.0046453408143134305,0,297301.81211605953,CONDITIONAL,False,002,0.55,12
0.0037612499669630022,0,240719.99788563215,CONDITIONAL,False,002,0.45,24
0.003677906411575819,0,235386.0103408524,CONDITIONAL,True,002,0.5,24
0.0035957065486957123,0,230125.21911652558,CONDITIONAL,False,002,0.55,24
0.002836790519250972,0,181554.5932320622,CONDITIONAL,False,002,0.45,48
0.002791018127625164,0,178625.1601680105,CONDITIONAL,True,002,0.5,48
0.002745768040171199,0,175729.1545709567,CONDITIONAL,False,002,0.55,48
0.008323608479763461,0,532710.9427048615,CONDITIONAL,False,003,0.45,6
0.007918282261023583,0,506770.06470550934,CONDITIONAL,True,003,0.5,6
0.007521766070816962,0,481393.02853228553,CONDITIONAL,False,003,0.55,6
0.005050181248516446,1,323211.5999050526,CONDITIONAL,False,003,0.45,12
0.004893744176665485,1,313199.6273065911,CONDITIONAL,True,003,0.5,12
0.004739971549477297,1,303358.179166547,CONDITIONAL,False,003,0.55,12
0.0037514065696954303,0,240090.02046050754,CONDITIONAL,False,003,0.45,24
0.003668421974918682,0,234779.00639479567,CONDITIONAL,True,003,0.5,24
0.003586576289185424,0,229540.88250786715,CONDITIONAL,False,003,0.55,24
0.0029839611795580137,0,190973.51549171287,CONDITIONAL,False,003,0.45,48
0.002934036544036922,0,187778.338818363,CONDITIONAL,True,003,0.5,48
0.0028846834811408818,0,184619.74279301643,CONDITIONAL,False,003,0.55,48
0.008377973485283964,0,536190.3030581737,CONDITIONAL,False,004,0.45,6
0.007970255743529442,0,510096.36758588423,CONDITIONAL,True,004,0.5,6
0.007571079386598644,0,484549.08074231324,CONDITIONAL,False,004,0.55,6
0.005421763487552778,0,346992.8632033778,CONDITIONAL,False,004,0.45,12
0.005240341202433687,0,335381.83695575595,CONDITIONAL,True,004,0.5,12
0.0050621554561818115,0,323977.9491956359,CONDITIONAL,False,004,0.55,12
0.0037614770597402362,0,240734.53182337512,CONDITIONAL,False,004,0.45,24
0.003677784603241557,0,235378.21460745964,CONDITIONAL,True,004,0.5,24
0.0035952555105431302,0,230096.35267476033,CONDITIONAL,False,004,0.55,24
0.0028989730048689165,0,185534.27231161066,CONDITIONAL,False,004,0.45,48
0.002850904945683726,0,182457.91652375844,CONDITIONAL,True,004,0.5,48
0.0028033798090398125,0,179416.307778548,CONDITIONAL,False,004,0.55,48
0.009291484683238583,0,594655.0197272693,CONDITIONAL,False,019,0.45,6
0.008786368326442522,0,562327.5728923214,CONDITIONAL,True,019,0.5,6
0.008292869319492727,0,530743.6364475345,CONDITIONAL,False,019,0.55,6
0.005012409834330134,0,320794.22939712857,CONDITIONAL,False,019,0.45,12
0.004858863305010281,0,310967.25152065797,CONDITIONAL,True,019,0.5,12
0.004707903249578244,0,301305.8079730076,CONDITIONAL,False,019,0.55,12
0.003636994178237697,0,232767.6274072126,CONDITIONAL,False,019,0.45,24
0.0035599442863583825,0,227836.4343269365,CONDITIONAL,True,019,0.5,24
0.0034839178997584466,0,222970.7455845406,CONDITIONAL,False,019,0.55,24
0.002775447257069946,0,177628.62445247654,CONDITIONAL,False,019,0.45,48
0.0027323673869513888,0,174871.51276488887,CONDITIONAL,True,019,0.5,48
0.002689763431078746,0,172144.85958903976,CONDITIONAL,False,019,0.55,48
0.009291486654349807,0,594655.1458783876,CONDITIONAL,False,020,0.45,6
0.008786370051712207,0,562327.6833095812,CONDITIONAL,True,020,0.5,6
0.00829287083246389,0,530743.733277689,CONDITIONAL,False,020,0.55,6
0.004898899124098522,0,313529.54394230543,CONDITIONAL,False,020,0.45,12
0.004752122008084496,0,304135.80851740774,CONDITIONAL,True,020,0.5,12
0.004607798198909118,0,294899.08473018353,CONDITIONAL,False,020,0.55,12
0.0035860597949245896,0,229507.82687517375,CONDITIONAL,False,020,0.45,24
0.0035116174436308455,0,224743.51639237412,CONDITIONAL,True,020,0.5,24
0.0034381501275477693,0,220041.60816305724,CONDITIONAL,False,020,0.55,24
0.002934154015341549,0,187785.85698185913,CONDITIONAL,False,020,0.45,48
0.002885055043456619,0,184643.5227812236,CONDITIONAL,True,020,0.5,48
0.0028365276615165027,0,181537.77033705616,CONDITIONAL,False,020,0.55,48
0.009291488788246198,0,594655.2824477566,CONDITIONAL,False,021,0.45,6
0.008786371977304343,0,562327.806547478,CONDITIONAL,True,021,0.5,6
0.008292872553126454,0,530743.843400093,CONDITIONAL,False,021,0.55,6
0.0049604585443523645,0,317469.34683855134,CONDITIONAL,False,021,0.45,12
0.004809631490609091,0,307816.41539898183,CONDITIONAL,True,021,0.5,12
0.00466133863953673,0,298325.6729303507,CONDITIONAL,False,021,0.55,12
0.0036258016638213496,0,232051.30648456636,CONDITIONAL,False,021,0.45,24
0.0035482828304037157,0,227090.1011458378,CONDITIONAL,True,021,0.5,24
0.0034718064670949808,0,222195.61389407876,CONDITIONAL,False,021,0.55,24
0.0027396409591782514,0,175337.02138740808,CONDITIONAL,False,021,0.45,48
0.0026964167269140295,0,172570.67052249788,CONDITIONAL,True,021,0.5,48
0.002653689766011167,0,169836.1450247147,CONDITIONAL,False,021,0.55,48
