MAE_W_mK,RMSE_W_mK,compressed_model,group_dimension,group_value,maximum_absolute_error_W_mK,maximum_relative_error_percent,mean_relative_error_percent,mean_signed_error_W_mK,n,reference_model
0.0022207107167358025,0.0026311260357397984,A_Nv_Rmean,family,NARROW_N512,0.004156735491354757,0.3406043216798114,0.20974910696987786,0.0022207107167358025,56,E_direct_discrete_PSD
0.002114750895284254,0.0025483525331081417,A_Nv_Rmean,family,NARROW_N704,0.004825372564209562,0.39522327042173055,0.1997294467065315,0.002114750895284254,168,E_direct_discrete_PSD
0.002148398399058054,0.0024586927851575602,A_Nv_Rmean,family,REF_BROAD_N512,0.004814309928399485,0.3959241405193597,0.20287115259152835,0.002148398399058054,168,E_direct_discrete_PSD
0.0021451106893749074,0.0025235023983203315,A_Nv_Rmean,matrix_mode,fixed_6h_matrix,0.004825372564209562,0.3950138171420813,0.20225768530682595,0.0021451106893749074,196,E_direct_discrete_PSD
0.0021435060534144433,0.0025214741442345506,A_Nv_Rmean,matrix_mode,pf_time_varying_matrix,0.004824917131998063,0.3959241405193597,0.2027568589400476,0.0021435060534144433,196,E_direct_discrete_PSD
0.002144308371394675,0.0025224884751344086,A_Nv_Rmean,overall,all,0.004825372564209562,0.3959241405193597,0.20250727212343675,0.002144308371394675,392,E_direct_discrete_PSD
0.0028824951752200456,0.0033035290282411897,A_Nv_Rmean,temperature_K,303.15,0.004825372564209562,0.3959241405193597,0.23635458149861138,0.0028824951752200456,56,E_direct_discrete_PSD
0.0027194302358138594,0.0031166736046070683,A_Nv_Rmean,temperature_K,323.15,0.004562415677526355,0.38468111782391556,0.22953339343126672,0.0027194302358138594,56,E_direct_discrete_PSD
0.0023677352155475734,0.002713686616062041,A_Nv_Rmean,temperature_K,373.15,0.003992303261622476,0.36074897702649894,0.21415523273006645,0.0023677352155475734,56,E_direct_discrete_PSD
0.0020803143974290617,0.0023843617395137525,A_Nv_Rmean,temperature_K,423.15,0.003523156533810079,0.3397222655586934,0.200768189325355,0.0020803143974290617,56,E_direct_discrete_PSD
0.0018423743682926005,0.002111736564633161,A_Nv_Rmean,temperature_K,473.15,0.0031323977259472002,0.32107199593791774,0.1889919740219058,0.0018423743682926005,56,E_direct_discrete_PSD
0.0016431505387101777,0.0018834715044698852,A_Nv_Rmean,temperature_K,523.15,0.002803437282038246,0.3044008700271676,0.17854324057438326,0.0016431505387101777,56,E_direct_discrete_PSD
0.0014746586687494087,0.0016904159756121516,A_Nv_Rmean,temperature_K,573.15,0.0025238627335713026,0.2894006515970808,0.1692042932824688,0.0014746586687494087,56,E_direct_discrete_PSD
0.0029429010999511927,0.0030450326037133285,A_Nv_Rmean,time_h,12,0.004814309928399485,0.3959241405193597,0.27801574193974454,0.0029429010999511927,98,E_direct_discrete_PSD
0.0027045025618582636,0.002819468144050112,A_Nv_Rmean,time_h,24,0.004177964316841809,0.34290865895557265,0.2554164254430597,0.0027045025618582636,98,E_direct_discrete_PSD
0.0027389691755043324,0.0028542014770091026,A_Nv_Rmean,time_h,48,0.004825372564209562,0.39522327042173055,0.25864474620081346,0.0027389691755043324,98,E_direct_discrete_PSD
0.00019086064826491245,0.0002893132979870721,A_Nv_Rmean,time_h,6,0.0005847220424015642,0.047794898909495766,0.017952174910129272,0.00019086064826491245,98,E_direct_discrete_PSD
0.04512695198537272,0.048801054038641295,B_Sv_sph,family,NARROW_N512,0.0874852456116828,7.150905962352419,4.292961264998652,-0.04512695198537272,56,E_direct_discrete_PSD
0.04498465080715789,0.049607205759724174,B_Sv_sph,family,NARROW_N704,0.09485251469312095,7.74885336942034,4.277524480749258,-0.04498465080715789,168,E_direct_discrete_PSD
0.044001220444345276,0.04759586879446284,B_Sv_sph,family,REF_BROAD_N512,0.08704147964113251,7.114728795259038,4.185564431645608,-0.044001220444345276,168,E_direct_discrete_PSD
0.044584455657099335,0.04863990848938399,B_Sv_sph,matrix_mode,fixed_6h_matrix,0.09485251469312095,7.74885336942034,4.235722242921591,-0.044584455657099335,196,E_direct_discrete_PSD
0.04458256312572415,0.04863809559696895,B_Sv_sph,matrix_mode,pf_time_varying_matrix,0.09485251469312095,7.74885336942034,4.244914329130767,-0.04458256312572415,196,E_direct_discrete_PSD
0.044583509391411744,0.04863900205162283,B_Sv_sph,overall,all,0.09485251469312095,7.74885336942034,4.240318286026179,-0.044583509391411744,392,E_direct_discrete_PSD
0.055118228814375496,0.05955503894451443,B_Sv_sph,temperature_K,303.15,0.09485251469312095,7.74885336942034,4.513980362825938,-0.055118228814375496,56,E_direct_discrete_PSD
0.052927096028550516,0.05713871510451746,B_Sv_sph,temperature_K,323.15,0.09084615358394266,7.640321177650838,4.462003702935004,-0.052927096028550516,56,E_direct_discrete_PSD
0.04805610672043803,0.05177903582749519,B_Sv_sph,temperature_K,373.15,0.08199431423041648,7.391213305101753,4.341718937234098,-0.04805610672043803,56,E_direct_discrete_PSD
0.04390571953624894,0.047225574433736185,B_Sv_sph,temperature_K,423.15,0.07451336060375091,7.168418648618573,4.232860434855574,-0.04390571953624894,56,E_direct_discrete_PSD
0.04033313553385952,0.04331616333818188,B_Sv_sph,temperature_K,473.15,0.06812099318493403,6.967011021103286,4.133331958135766,-0.04033313553385952,56,E_direct_discrete_PSD
0.03723028818433714,0.039928614272126066,B_Sv_sph,temperature_K,523.15,0.06260587059387213,6.783434133919867,4.041646551871929,-0.03723028818433714,56,E_direct_discrete_PSD
0.03451399092207257,0.0369692377621297,B_Sv_sph,temperature_K,573.15,0.05780690081822493,6.614994908209693,3.9566860543249445,-0.03451399092207257,56,E_direct_discrete_PSD
0.04632084650501262,0.04695705160795662,B_Sv_sph,time_h,12,0.0618101443056267,5.095648855907414,4.41462493007672,-0.04632084650501262,98,E_direct_discrete_PSD
0.03407648016773059,0.03449037192249417,B_Sv_sph,time_h,24,0.04290042797361848,3.5241614053662826,3.2472492242300883,-0.03407648016773059,98,E_direct_discrete_PSD
0.025564065185711943,0.02585321762397493,B_Sv_sph,time_h,48,0.03224268748135928,2.6422657208059253,2.4360941097407953,-0.025564065185711943,98,E_direct_discrete_PSD
0.07237264570719182,0.07348517380896771,B_Sv_sph,time_h,6,0.09485251469312095,7.74885336942034,6.863304880057111,-0.07237264570719182,98,E_direct_discrete_PSD
0.679142418863556,0.71312776485944,C_M6,family,NARROW_N512,1.0615323718479925,86.90444665316348,64.81870620606539,-0.679142418863556,56,E_direct_discrete_PSD
0.6837323330263076,0.7249872211576482,C_M6,family,NARROW_N704,1.0731231050573227,87.84781866091907,65.25709718692421,-0.6837323330263076,168,E_direct_discrete_PSD
0.6956859124606807,0.7275460149933263,C_M6,family,REF_BROAD_N512,1.0723709213677048,87.78996180920309,66.3990700646769,-0.6956859124606807,168,E_direct_discrete_PSD
0.6894198948097913,0.7256751905747095,C_M6,matrix_mode,fixed_6h_matrix,1.0731231050573227,87.84781866091907,65.7165656732178,-0.6894198948097913,196,E_direct_discrete_PSD
0.6869792924257865,0.7231329744506296,C_M6,matrix_mode,pf_time_varying_matrix,1.072361590528602,87.84031793471492,65.65120802988756,-0.6869792924257865,196,E_direct_discrete_PSD
0.6881995936177888,0.7244051977151515,C_M6,overall,all,1.0731231050573227,87.84781866091907,65.68388685155267,-0.6881995936177888,392,E_direct_discrete_PSD
0.824723687847728,0.8568755025157719,C_M6,temperature_K,303.15,1.0731231050573227,87.84781866091907,67.58858191411386,-0.824723687847728,56,E_direct_discrete_PSD
0.7972390835309231,0.8289471996597194,C_M6,temperature_K,323.15,1.0402389863010506,87.6627544306454,67.25649242768979,-0.7972390835309231,56,E_direct_discrete_PSD
0.7350594427284715,0.765720108007473,C_M6,temperature_K,373.15,0.9656047026854734,87.21096122720617,66.45292869896089,-0.7350594427284715,56,E_direct_discrete_PSD
0.6809251869039876,0.7106177190311516,C_M6,temperature_K,423.15,0.9003234680702958,86.77472818303063,65.68667327567357,-0.6809251869039876,56,E_direct_discrete_PSD
0.6334697166600156,0.6622635883998337,C_M6,temperature_K,473.15,0.8428309263478588,86.35345637669373,64.9556634918152,-0.6334697166600156,56,E_direct_discrete_PSD
0.591588171958907,0.6195445552613876,C_M6,temperature_K,523.15,0.7918597041338411,85.94625627074618,64.25741761398385,-0.591588171958907,56,E_direct_discrete_PSD
0.5543918656944885,0.5815649609626428,C_M6,temperature_K,573.15,0.7463880581505953,85.55217843576385,63.58945053863152,-0.5543918656944885,56,E_direct_discrete_PSD
0.6745862963375757,0.6816404189254706,C_M6,time_h,12,0.8379758313758376,68.56536326559188,64.44941107938321,-0.6745862963375757,98,E_direct_discrete_PSD
