between_family_difference,calibration_uncertainty,case_004_single_seed_causal_claim,dominant_source,levelset_uncertainty,matrix_mode,quantity,sphere_true_difference,temperature_K,time_h,within_seed_spread
0.000399111332419988,0.11074478881851817,False,levelset_uncertainty,0.11585101713008032,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0018150763647316445,303.15,12,0.0002086574444331024
4.509978587940999e-05,0.13719085540570766,False,levelset_uncertainty,0.14005793684930493,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.002688916380083522,303.15,24,7.616262900289605e-05
4.126307156382403e-05,0.1558047647629885,False,levelset_uncertainty,0.15757979155186058,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.00329296505648908,303.15,48,0.00014776911599145848
0.0006930820520745229,0.06103766558416849,False,levelset_uncertainty,0.07776317394346807,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0009536021623147547,303.15,6,1.1749787184989202e-05
0.0003772194010762675,0.10404892702063862,False,levelset_uncertainty,0.10888352725653985,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0017227251618397524,323.15,12,0.0001972854523764056
4.524728537624867e-05,0.128967082141299,False,levelset_uncertainty,0.13167811895730291,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0025498118563000677,323.15,24,7.166344534059732e-05
3.587788132608516e-05,0.1464747143928907,False,levelset_uncertainty,0.14815142132189166,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.003120396772374872,323.15,48,0.00013218067870757189
0.0006492400106752338,0.05756660707376767,False,levelset_uncertainty,0.07345901210196175,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0009070597397335638,323.15,6,1.1101184833162137e-05
0.0003299061528707625,0.08965722436835824,False,levelset_uncertainty,0.09390302608457321,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0015211488853961491,373.15,12,0.00017266496203705017
4.4765568353311025e-05,0.11130239034979723,False,levelset_uncertainty,0.11367630394403395,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.002246888928911371,373.15,24,6.201518123827299e-05
2.5166206610194308e-05,0.12644958852173224,False,levelset_uncertainty,0.12791444969621407,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0027453246973133194,373.15,48,0.00010068600238244407
0.0005564444963646054,0.05005568000663211,False,levelset_uncertainty,0.06412653731619565,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0008049267232934643,373.15,6,9.69260626804136e-06
0.0002910704292051758,0.0779726779413119,False,levelset_uncertainty,0.08173398037958361,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0013537948727152843,423.15,12,0.0001524196128748212
4.3489575650923484e-05,0.09696631688638806,False,levelset_uncertainty,0.09906400844244355,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0019961387077734394,423.15,24,5.418915562893645e-05
1.7397430416954407e-05,0.11021107414375299,False,levelset_uncertainty,0.11150295086607945,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0024356119608618864,423.15,48,7.726944539787617e-05
0.0004823636770827644,0.04390090051500536,False,levelset_uncertainty,0.05645605798133672,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0007195447914968765,423.15,6,8.533162112689396e-06
0.00025875975759748204,0.06837224942541294,False,levelset_uncertainty,0.07172985088202775,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0012132776504715068,473.15,12,0.0001355554520566793
4.177729121579432e-05,0.08518671737710763,False,levelset_uncertainty,0.08705509344774333,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0017861347986463264,473.15,24,4.775345695140487e-05
1.1694680203122587e-05,0.09687494254300966,False,levelset_uncertainty,0.09802362809086822,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0021767680377857224,473.15,48,5.9603644127714794e-05
0.0004222279492606118,0.03880029739050258,False,levelset_uncertainty,0.05008018698453503,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0006474205446162586,473.15,6,7.568601362195615e-06
0.00023157116837724256,0.06039716874902068,False,levelset_uncertainty,0.06341462940450471,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0010940955995647167,523.15,12,0.00012135239503641149
3.985123258398726e-05,0.07539781988670549,False,levelset_uncertainty,0.07707359939959177,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0016084123381418433,523.15,24,4.2397261203031e-05
8.746814254667612e-06,0.085795611387764,False,levelset_uncertainty,0.08682433711269075,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0019581079851998767,523.15,48,4.61044921326037e-05
0.0003727181490382758,0.0345291702710721,False,levelset_uncertainty,0.044725305591565304,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0005859193610398312,523.15,6,6.75812304551382e-06
0.00020846727481238503,0.05370583732483731,False,levelset_uncertainty,0.056433859961076256,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.000992090153041168,573.15,12,0.00010927524326365123
3.784823659302994e-05,0.06717974870273391,False,levelset_uncertainty,0.06869209950822573,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0014566019311926645,573.15,24,3.789210084859107e-05
6.764169499851036e-06,0.07649519925993283,False,levelset_uncertainty,0.07742235696202415,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0017716228021106126,573.15,48,3.567285487449112e-05
0.00033145697069714153,0.0309186186293474,False,levelset_uncertainty,0.0401854429377024,fixed_6h_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0005330294679680396,573.15,6,6.070838155070035e-06
0.0012671371857368996,0.10832576407543569,False,levelset_uncertainty,0.11339292388994855,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0018034388779659366,303.15,12,0.000872657365445173
0.0006351607155752337,0.13600373265005186,False,levelset_uncertainty,0.1388613525639532,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.002681317086505018,303.15,24,0.00046849624424361025
0.0005059899621142616,0.15547772103758034,False,levelset_uncertainty,0.15725124507732144,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.003290593315905564,303.15,48,0.000712267343592865
0.0006930820520745229,0.06103766558416849,False,levelset_uncertainty,0.07776317394346807,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0009536021623147547,303.15,6,1.1749787184989202e-05
0.001198051966906144,0.10183137413469494,False,levelset_uncertainty,0.10663033108195138,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0017120513489449682,323.15,12,0.0008248198928355599
0.0005974709819009938,0.12788025165104547,False,levelset_uncertainty,0.1305826729024033,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0025428516631910624,323.15,24,0.00044287383662333646
0.00047623246715411405,0.14617554962385707,False,levelset_uncertainty,0.14785088988019363,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0031182265568615425,323.15,48,0.0006653346365970148
0.0006492400106752338,0.05756660707376767,False,levelset_uncertainty,0.07345901210196175,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0009070597397335638,323.15,6,1.1101184833162137e-05
0.001047484593752257,0.0878549890199521,False,levelset_uncertainty,0.09207213071707433,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0015124626782482117,373.15,12,0.0007207124957517852
0.0005164252282212622,0.11042169186381846,False,levelset_uncertainty,0.11278870734927364,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0022412426912808187,373.15,24,0.00038713075829943655
0.00041217486637501466,0.1262076153957163,False,levelset_uncertainty,0.12767138538783088,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.002743567911445017,373.15,48,0.0005658249702311657
0.0005564444963646054,0.05005568000663211,False,levelset_uncertainty,0.06412653731619565,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0008049267232934643,373.15,6,9.69260626804136e-06
0.0009231090864347813,0.07648869022286323,False,levelset_uncertainty,0.08022660865944599,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0013466333278541029,423.15,12,0.0006348429140308198
0.0004505951437685507,0.09624296803802981,False,levelset_uncertainty,0.09833505196205793,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.001991496220601352,423.15,24,0.0003411548753622373
0.0003600564982291221,0.11001265144753114,False,levelset_uncertainty,0.11130364324364607,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.002434170119674458,423.15,48,0.0004864864593425722
0.0004823636770827644,0.04390090051500536,False,levelset_uncertainty,0.05645605798133672,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.0007195447914968765,423.15,6,8.533162112689396e-06
0.0008193991492203567,0.06713599332873253,False,levelset_uncertainty,0.07047426863300663,pf_time_varying_matrix,kappa_conditional_lattice_no_dislocation_W_mK,0.00120730436420908,473.15,12,0.0005633132627329562
