step,elapsed_physical_time_s,experimental_age_h,particle_count,number_density_m3,mean_radius_nm,Sv_nm_inv,M6_nm3,beta_volume_fraction,far_field_matrix_xAg,far_field_matrix_xB
0,0,6,96,6.4486070202760325e+21,9.5416103775373191,0.0074261706209764163,5.3578305742470231,0.023929618199627172,0.0062032544917148096,0.0062225546123188796
21798,21600.207026290725,12.00005750730298,26,1.7464977346580922e+21,14.400873830734051,0.0046531335441326333,20.360254293691121,0.023261207225661194,0.0068773635843168068,0.0069010961270786729
43596,43200.414052581451,18.00011501460596,16,1.0747678367126722e+21,16.982304292176451,0.0039803988820483827,33.653927807985873,0.023457964561853069,0.0066777650452750697,0.0067001367263468834
65393,64799.630152776837,23.999897264660234,13,8.7324886732904609e+20,17.921446966173246,0.0036761200961275826,43.395881692890214,0.023532755387263796,0.0066027558767045424,0.0066246278508269888
108989,108000.0442053583,36.000012279266194,9,6.0455690815087811e+20,20.698668111447912,0.0033142431953391365,60.200735237460016,0.023665039522111804,0.0064686313132379433,0.0064896214891450726
152585,151200.45825793975,48.000127293872154,8,5.3738391835633608e+20,20.10153948446456,0.0030187911340435322,87.067374202557133,0.023661711537232476,0.0064742129751848279,0.0064952417817363611
