step,stable_particle_id,equivalent_radius_nm,lineage_member_ids,component_label
0,0,8.49993320634238,0,0
0,1,8.7499308583020969,1,1
0,2,9.2499450910207734,2,2
0,3,8.4999407872054427,3,3
0,4,10.499945961703405,4,4
0,5,10.249946208817512,5,5
0,6,8.7499308899273256,6,6
0,7,10.249950302248743,7,7
0,8,8.9999312216649869,8,8
0,9,9.7499368693209565,9,9
0,10,10.49995892328951,10,10
0,11,9.7499582780029037,11,11
0,12,10.749955451320865,12,12
0,13,9.9999470697205695,13,13
0,14,8.4999362423672391,14,14
0,15,10.999939330897826,15,15
0,16,9.4999384194022038,16,16
0,17,8.2499268883737749,17,17
0,18,9.2499678554654654,18,18
0,19,9.7499511353274553,19,19
0,20,9.9999556007054782,20,20
0,21,10.749952427137753,21,21
0,22,9.4999435574223092,22,22
0,23,8.499933929519198,23,23
0,24,10.249941470881865,24,24
0,25,8.7499311378172422,25,25
0,26,8.9999446270626002,26,26
0,27,8.9999315569230873,27,27
0,28,10.49993951169421,28,28
0,29,9.7499685709948327,29,29
0,30,9.2499332400558032,30,30
0,31,8.4999561104697996,31,31
0,32,10.999941838284762,32,32
0,33,9.499960462376146,33,33
0,34,8.4999339173785415,34,34
0,35,8.7499478315442065,35,35
0,36,8.7499402069801668,36,36
0,37,9.9999366784276607,37,37
0,38,8.999965506905097,38,38
0,39,10.749961684114872,39,39
0,40,9.4999488043880458,40,40
0,41,9.4999470457327462,41,41
0,42,9.7499521426517664,42,42
0,43,10.749948843193593,43,43
0,44,9.2499403202772221,44,44
0,45,9.9999590412778794,45,45
0,46,10.499944035577919,46,46
0,47,9.7499532458728595,47,47
0,48,8.9999355907356069,48,48
0,49,10.249953010047745,49,49
0,50,8.7499329532495089,50,50
0,51,10.74994742508062,51,51
0,52,8.2499508594999718,52,52
0,53,10.749939505771414,53,53
0,54,9.2499336368400105,54,54
0,55,9.2499433705126375,55,55
0,56,9.4999385311103577,56,56
0,57,8.749931193030827,57,57
0,58,10.249960487760443,58,58
0,59,9.9999470870985956,59,59
0,60,8.9999327600812276,60,60
0,61,10.49995266825006,61,61
0,62,9.9999462616656132,62,62
0,63,8.9999336939012782,63,63
0,64,8.4999333315194825,64,64
0,65,9.4999386526108509,65,65
0,66,8.7499412080358905,66,66
0,67,10.749941434212102,67,67
0,68,9.7499334698960141,68,68
0,69,10.24994930780313,69,69
0,70,9.4999372332136769,70,70
0,71,8.4999335976575843,71,71
0,72,9.2499347687973827,72,72
0,73,8.9999312070453232,73,73
0,74,9.4999405191050901,74,74
0,75,8.9999311842165373,75,75
0,76,10.499948434000427,76,76
0,77,9.999936192628363,77,77
0,78,9.2499440310518786,78,78
0,79,8.2499710257907246,79,79
0,80,8.9999585972639373,80,80
0,81,9.4999445991072964,81,81
0,82,10.499945309595352,82,82
0,83,9.9999461984694253,83,83
0,84,10.499939570553133,84,84
0,85,9.7499503562387595,85,85
0,86,10.249941076384252,86,86
0,87,10.749939350667024,87,87
0,88,8.7499428390987912,88,88
0,89,8.7499407114273868,89,89
0,90,9.9999557283743794,90,90
0,91,10.499941255820081,91,91
0,92,8.4999387910089563,92,92
0,93,8.2499270362385584,93,93
0,94,9.2499417704059379,94,94
0,95,8.49993408431998,95,95
21798,4,9.5805610366872482,4,0
21798,5,12.187384007151143,5,1
21798,7,12.654322717940962,7,2
21798,9,9.4484122533878327,9,3
21798,10,14.055956292718994,10,4
21798,12,15.441719395264393,12,5
21798,15,15.85387756439493,15,6
21798,21,16.408910846714729,21,7
21798,24,12.198193775163679,24,8
21798,28,15.458358373330137,28,9
21798,32,16.887952309591316,32,10
21798,39,16.867199233703083,39,11
21798,43,14.54508017428884,43,12
21798,45,14.495836716314814,45,14
21798,46,14.223337999329425,46,13
21798,51,17.153037346849626,51,15
21798,53,14.705095737034217,53,16
21798,61,17.356401247288389,61,17
21798,67,16.729863858557053,67,18
21798,76,16.051033504487663,76,19
21798,82,12.016730059933796,82,21
21798,83,11.89932188811278,83,22
21798,84,15.490520386661913,84,20
21798,87,13.369246001384807,87,23
21798,90,14.937748661636599,90,24
21798,91,14.40661821115698,91,25
43596,10,12.529312975542281,10,0
43596,12,16.29084608410006,12,1
43596,15,17.219562965354459,15,2
43596,21,18.616150657912208,21,3
43596,28,17.134393630701634,28,4
43596,32,17.937889588823232,32,5
43596,39,19.440247000258587,39,6
43596,43,14.623561123067184,43,7
43596,45,12.414340109957172,45,8
43596,51,18.630702538537601,51,9
43596,53,13.635372698500083,53,10
43596,61,19.323466693154771,61,11
43596,67,18.981002732728204,67,12
43596,76,19.585704325461322,76,13
43596,84,20.273361907977787,84+91,14
43596,90,15.080953642746588,90,15
65393,12,16.197695446831972,12,0
65393,15,17.470963459351989,15,1
65393,21,19.686669124052582,21,2
65393,28,18.304303240485943,28,3
65393,32,17.066636649773439,32,4
65393,39,21.578681371559554,39,5
65393,43,11.148187705456802,43,6
65393,51,19.566331041040517,51,7
65393,61,20.59920037822587,61,8
65393,67,20.272432347476492,67,9
65393,76,21.575077607494556,76,10
65393,84,20.432767340536273,84+91,11
65393,90,9.079864847966185,90,12
108989,12,19.578530079400455,12+28,2
108989,15,15.181712980294902,15,0
108989,21,18.448997656093969,21,1
108989,39,24.251761844161216,39,3
108989,51,19.206761394014904,51,4
108989,61,22.522165216156136,61,5
108989,67,21.352645017707246,67,6
108989,76,24.537748815610449,76,7
108989,84,21.207689999591917,84+91,8
152585,12,16.779130224424829,12+28,0
152585,21,6.8687397928843055,21,1
152585,39,27.280918440999603,39,2
152585,51,15.010530591537535,51,3
152585,61,24.749857291358591,61,4
152585,67,22.276671546516916,67,5
152585,76,27.424965983263935,76,6
152585,84,20.421502004730741,84+91,7
