step,time,dt,stage,actual_operator,legacy_mode,mass_C,mass_q_plus_hvB,min_C,max_C,min_q,max_q,min_q_minus_1_minus_h,max_q_minus_1_minus_h,min_active_x,max_active_x,min_mu,max_mu,min_mobility,max_mobility,flux_min,flux_max,flux_L1_mean,flux_L2_rms,net_boundary_flux,divergence_sum,phase_storage_signed,phase_storage_abs,stabilizer_increment_L2,projection_mass_increment,projection_increment_L2,nan_inf_count,first_bad_i,first_bad_j,first_bad_k,bad_phi,bad_h,bad_x,bad_q,bad_C,bad_Cmin,bad_Cmax,bad_Y
1,1.00000000000000005e-04,1.00000000000000005e-04,S0,accepted_state,q_transport_projection_split,4.51324649330590972e+01,4.51324649330590972e+01,2.99999999999999989e-02,9.99999999999999334e-01,-6.42146767611198198e-18,2.99999999999999989e-02,-9.69999999999999973e-01,-6.72555282451205885e-16,5.90794032643917905e-03,2.99999999999999989e-02,nan,nan,9.23144879211539597e-16,9.24025385829111201e+00,nan,nan,nan,nan,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S1,phase_input_context_actual_order,q_transport_projection_split,4.51324649330590972e+01,4.51324649330590972e+01,2.99999999999999989e-02,9.99999999999999334e-01,-6.42146767611198198e-18,2.99999999999999989e-02,-9.69999999999999973e-01,-6.72555282451205885e-16,5.90794032643917905e-03,2.99999999999999989e-02,nan,nan,9.23144879211539597e-16,9.24025385829111201e+00,nan,nan,nan,nan,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S5,phase_update_precedes_transport,q_transport_projection_split,4.35447684735750542e+01,4.35447684735750542e+01,2.99999661376219480e-02,1.00000000012107693e+00,-6.42146767611198198e-18,2.99999999999999989e-02,-9.70000033862378097e-01,1.21076844372316033e-10,5.90794032643917905e-03,2.99999999999999989e-02,nan,nan,0.00000000000000000e+00,9.24025385829118129e+00,nan,nan,nan,nan,0.00000000000000000e+00,0.00000000000000000e+00,-1.58769645948405280e+00,6.11583231114624404e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,3,4,4,1.00000099999999992e+00,1.00000000000000000e+00,5.90794082017985847e-03,1.21076844372316033e-10,1.00000000012107693e+00,1.00000000000000000e+00,1.00000000000000000e+00,-5.12553246951391106e+00
1,1.00000000000000005e-04,1.00000000000000005e-04,S2,mu_and_mobility,q_transport_projection_split,4.51324649330590972e+01,4.51324649330590972e+01,2.99999999999999989e-02,9.99999999999998224e-01,-1.08692155324837463e-15,2.99999999999999989e-02,-9.69999999999999973e-01,-1.75305536802346855e-15,5.90794032643917732e-03,3.00000000000000024e-02,-3.02154653860411404e-02,2.66197010997575312e-02,9.23144879211539597e-16,9.24025385829111201e+00,nan,nan,nan,nan,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S3,raw_flux_and_periodic_spectral_divergence,q_transport_projection_split,4.51324649330590972e+01,4.51324649330590972e+01,2.99999999999999989e-02,9.99999999999998224e-01,-1.08692155324837463e-15,2.99999999999999989e-02,-9.69999999999999973e-01,-1.75305536802346855e-15,5.90794032643917732e-03,3.00000000000000024e-02,-3.02154653860411404e-02,2.66197010997575312e-02,9.23144879211539597e-16,9.24025385829111201e+00,-2.25683666416964912e-01,2.25683666416964912e-01,1.58802906433419301e-02,4.04813891986535376e-02,0.00000000000000000e+00,-4.54063869836929257e-15,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S4,composition_transport_result,q_transport_projection_split,4.51324649330591754e+01,4.51324649330591754e+01,2.99744092211453594e-02,1.00000000000000000e+00,-1.08692155324837463e-15,3.00106925490049616e-02,-9.70025590778854641e-01,0.00000000000000000e+00,5.90794032643917732e-03,9.99999989999999950e-01,-3.02154653860411404e-02,2.66197010997575312e-02,9.23144879211539597e-16,9.24482827870102675e+00,-2.25683666416964912e-01,2.25683666416964912e-01,1.58802906433419301e-02,4.04813891986535376e-02,0.00000000000000000e+00,-4.54063869836929257e-15,0.00000000000000000e+00,0.00000000000000000e+00,1.04522644698535849e-04,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S6,local_storage_reconstruction,q_transport_projection_split,4.51324649330591754e+01,4.51324649330591754e+01,2.99744092211453594e-02,1.00000000000000000e+00,-1.08692155324837463e-15,3.00106925490049616e-02,-9.70025590778854641e-01,0.00000000000000000e+00,5.90794032643917732e-03,9.99999989999999950e-01,-3.02154653860411404e-02,2.66197010997575312e-02,9.23144879211539597e-16,9.24482827870102675e+00,-2.25683666416964912e-01,2.25683666416964912e-01,1.58802906433419301e-02,4.04813891986535376e-02,0.00000000000000000e+00,-4.54063869836929257e-15,0.00000000000000000e+00,0.00000000000000000e+00,1.04522644698535849e-04,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S7,spectral_stabilizer_result,q_transport_projection_split,4.51324649330591754e+01,4.51324649330591754e+01,2.99744092211453594e-02,1.00000000000000000e+00,-1.08692155324837463e-15,3.00106925490049616e-02,-9.70025590778854641e-01,0.00000000000000000e+00,5.90794032643917732e-03,9.99999989999999950e-01,-3.02154653860411404e-02,2.66197010997575312e-02,9.23144879211539597e-16,9.24482827870102675e+00,-2.25683666416964912e-01,2.25683666416964912e-01,1.58802906433419301e-02,4.04813891986535376e-02,0.00000000000000000e+00,-4.54063869836929257e-15,0.00000000000000000e+00,0.00000000000000000e+00,1.04522644698535849e-04,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S8,optional_global_projection,q_transport_projection_split,4.51324649330591825e+01,4.51324649330591825e+01,2.99744092211453594e-02,9.99999999999999778e-01,-6.42146767611197967e-18,3.00106925490049685e-02,-9.70025590778854641e-01,-1.86736244968250162e-16,5.90794032643917732e-03,9.99999989999999950e-01,-3.02154653860411404e-02,2.66197010997575312e-02,9.23144879211539597e-16,9.24482827870102675e+00,-2.25683666416964912e-01,2.25683666416964912e-01,1.58802906433419301e-02,4.04813891986535376e-02,0.00000000000000000e+00,-4.54063869836929257e-15,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S9,final_reconstruction_and_history_commit,q_transport_projection_split,4.51324649330591825e+01,4.51324649330591825e+01,2.99744092211453594e-02,9.99999999999999778e-01,-6.42146767611197967e-18,3.00106925490049685e-02,-9.70025590778854641e-01,-1.86736244968250162e-16,5.90794032643917732e-03,9.99999989999999950e-01,-3.02154653860411404e-02,2.66197010997575312e-02,9.23144879211539597e-16,9.24482827870102675e+00,-2.25683666416964912e-01,2.25683666416964912e-01,1.58802906433419301e-02,4.04813891986535376e-02,0.00000000000000000e+00,-4.54063869836929257e-15,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
