step,elapsed_physical_time_s,experimental_age_h,stable_particle_id,lineage_member_ids,lineage_group_size,component_label,threshold_voxel_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm
0,0,6,0,0,1,0,7649,2572.3801416748597,8.49993320634238,240.99999896840612,12.000000635882429,217.00000134609988
0,0,6,1,1,1,1,8103,2806.0956663886627,8.7499308583020969,2.0000015450819739,26.99999883114198,159.99999950688834
0,0,6,2,2,1,2,9176,3315.1720592097809,9.2499450910207734,4.9999993913387826,51.99999619401072,94.000033766593091
0,0,6,3,3,1,3,7651,2572.3870243921187,8.4999407872054427,244.00001654966974,105.00000231260667,122.00000704077662
0,0,6,4,4,1,4,12177,4848.9733942559669,10.499945961703405,241.99999016527232,121.00000503654603,188.00001095821028
0,0,6,5,5,1,5,11545,4510.7978839583257,10.249946208817512,7.9999840007124217,147.99999642102688,126.99999487760849
0,0,6,6,6,1,6,8104,2806.0956968152177,8.7499308899273256,2.9999990265821181,157.99999976644824,229.00000283607929
0,0,6,7,7,1,7,11545,4510.803288273999,10.249950302248743,0.99998862532747135,174.00002366515457,51.999999815573204
0,0,6,8,8,1,8,8631,3053.5580520063904,8.9999312216649869,236.00000022185296,204.00000045916369,111.00000160904827
0,0,6,9,9,1,9,10267,3882.3440563865738,9.7499368693209565,20.000001238961403,25.000002006902022,239.00000744890937
0,0,6,10,10,1,10,12177,4848.9913516237466,10.49995892328951,22.000004856642388,81.000013503100305,222.00004750828595
0,0,6,11,11,1,11,10267,3882.3696307218952,9.7499582780029037,28.000005702276543,130.00003158542046,21.99996889187338
0,0,6,12,12,1,12,12845,5203.6562880593538,10.749955451320865,31.000011708672265,230.00001442815937,94.999980279521267
0,0,6,13,13,1,13,10911,4188.7236909876465,9.9999470697205695,33.999991258362861,238.99997994013006,47.000022639956406
0,0,6,14,14,1,14,7649,2572.3828981010524,8.4999362423672391,32.999998167436189,213.00000952876019,136.9999990030885
0,0,6,15,15,1,15,13522,5575.1875138383193,10.999939330897826,37.000000443422792,82.000001036088733,119.00000186307724
0,0,6,16,16,1,16,9745,3591.2941628049807,9.4999384194022038,36.000001207610083,106.00000008868655,58.000003067994726
0,0,6,17,17,1,17,7143,2352.0086181171191,8.2499268883737749,35.000000446863382,148.00000019477341,167.00000176759687
0,0,6,18,18,1,18,9177,3315.1965355399548,9.2499678554654654,38.000031445888069,174.99998772041565,72.000049939762476
0,0,6,19,19,1,19,10267,3882.361098228178,9.7499511353274553,40.000029612176931,86.999999744288118,185.00002924946619
0,0,6,20,20,1,20,10912,4188.734411235112,9.9999556007054782,41.99998163140134,141.00000586973144,82.999964210786217
0,0,6,21,21,1,21,12845,5203.6518963746321,10.749952427137753,47.999979108546462,50.000003106649203,194.99998070484082
0,0,6,22,22,1,22,9745,3591.2999898379885,9.4999435574223092,46.999987949805224,183.99999136333969,30.000003386360561
0,0,6,23,23,1,23,7649,2572.3807982514923,8.499933929519198,46.000001903315798,232.9999998677298,228.00000215413581
0,0,6,24,24,1,24,11545,4510.7916287468979,10.249941470881865,48.999996102897512,131.99999837153763,200.99999593672283
0,0,6,25,25,1,25,8103,2806.0959353095072,8.7499311378172422,48.99999925639591,195.0000005862195,205.00000267178609
0,0,6,26,26,1,26,8633,3053.5716968509287,8.9999446270626002,50.999998397058377,24.000011714393921,10.999966265063936
0,0,6,27,27,1,27,8631,3053.55839325237,8.9999315569230873,51.999998969874127,21.000000929761605,145.00000351214896
0,0,6,28,28,1,28,12177,4848.964458237474,10.49993951169421,56.999999466626377,210.00000045494468,69.00000181925175
0,0,6,29,29,1,29,10267,3882.3819265411148,9.7499685709948327,58.000009287874434,83.999993421171581,231.99996402231289
0,0,6,30,30,1,30,9175,3315.159317100321,9.2499332400558032,64.000000238438219,33.000000233017566,87.000002018000998
0,0,6,31,31,1,31,7652,2572.4009365257839,8.4999561104697996,62.999995962911342,87.999990142822583,34.999969398902941
0,0,6,32,32,1,32,13523,5575.191326356311,10.999941838284762,69.999997718682309,101.9999972140465,84.999997241831252
0,0,6,33,33,1,33,9746,3591.3191618051324,9.499960462376146,68.999986809270638,132.9999756855112,17.00004524677983
0,0,6,34,34,1,34,7649,2572.3807872289158,8.4999339173785415,70.999999792272448,101.99999873571389,199.00000016489687
