step,time_code,dt,max_abs_dgbulk_idx,max_abs_dgbulk_i,max_abs_dgbulk_j,max_abs_dgbulk_k,max_abs_dgbulk_value,eta_before,phi_before,xB_before,Y_before,h_eta,hp_eta,mu_PbTe_raw,mu_Ag2Te_raw,gp_mu_reference_raw,drive_raw_formula_value,dgbulk_deta_raw_formula_value,energy_scale,mu_PbTe_dimless,mu_Ag2Te_dimless,gp_mu_reference_dimless,drive_dimless_formula_value,dgbulk_deta_dimless_formula_value,dgbulk_deta_kernel_used,eta_rhs_bulk,eta_rhs_double_well,eta_rhs_elastic,eta_rhs_total,dxB,deta,eta_rhs_bulk_absmax,eta_rhs_double_well_absmax,eta_rhs_elastic_absmax,eta_rhs_total_absmax,phi_rhs_chem_at_loc,phi_rhs_total_at_loc,phi_rhs_dw_at_loc,phi_rhs_elastic_at_loc,phi_chem_rhs_absmax,phi_double_well_absmax,phi_elastic_absmax,phi_rhs_total_absmax,eta_bulk_rhs_absmax_over_phi_chem_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax,gp_W_eta_kernel_used,gp_kappa_eta_kernel_used,gp_L_eta,S_eta_W,S_eta_grad,S_eta_total,W_phi,kappa_phi,L_phi,S_phi_W,S_phi_grad,S_phi_total,region_class,is_eta_interface,is_far_field_like,is_phi_nonzero,eta_peak_idx,eta_peak_i,eta_peak_j,eta_peak_k,eta_peak_value
11,1.1000000000e-03,1.0000000000e-04,520176,56,42,48,-1.7541636423e-01,4.8011507110e-01,4.9885909288e-01,2.2772292618e-02,-3.7591751319e+00,4.6275505319e-01,1.8690735345e+00,-1.5278080797e+05,-1.4756407311e+05,-1.5352923284e+05,2.5742820756e+03,-2.4160540262e+03,1.3779024000e+04,-1.1087926690e+01,-1.0709326953e+01,-1.1142242937e+01,1.8682615514e-01,-1.7534289992e-01,-1.7541636423e-01,-1.7541636423e-01,3.8948705315e-02,0.0000000000e+00,-1.3646765891e-01,3.0811741322e-04,-2.2514016740e-07,1.7541636423e-01,3.7754890437e-01,0.0000000000e+00,4.6059594614e-01,-1.0286013357e+00,-1.0274604345e+00,1.1409011781e-03,0.0000000000e+00,1.0826493856e+00,1.9245005925e-01,0.0000000000e+00,1.1661855915e+00,1.6202509008e-01,3.2120009355e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,437711,47,47,47,1.0000000000e+00
12,1.2000000000e-03,1.0000000000e-04,520176,56,42,48,-1.7674973327e-01,4.8011484596e-01,4.9874688689e-01,2.3080410031e-02,-3.7454201385e+00,4.6275463239e-01,1.8690734004e+00,-1.5278210479e+05,-1.4750880400e+05,-1.5352923284e+05,2.5927833276e+03,-2.4344374672e+03,1.3779024000e+04,-1.1088020806e+01,-1.0705315848e+01,-1.1142242937e+01,1.8816886650e-01,-1.7667706125e-01,-1.7674973327e-01,-1.7674973327e-01,3.8949144901e-02,0.0000000000e+00,-1.3780058837e-01,3.7961312561e-04,-1.8839344651e-07,1.7674973327e-01,3.7754890527e-01,0.0000000000e+00,4.6096003548e-01,-1.0361198523e+00,-1.0348667471e+00,1.2531052422e-03,0.0000000000e+00,1.0830785277e+00,1.9245007977e-01,0.0000000000e+00,1.1679559929e+00,1.6319198355e-01,3.2351335437e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,437711,47,47,47,1.0000000000e+00
13,1.3000000000e-03,1.0000000000e-04,520758,56,48,54,-1.7834416622e-01,4.8011465756e-01,4.9863668277e-01,2.3460023157e-02,-3.7287178581e+00,4.6275428027e-01,1.8690732882e+00,-1.5278369560e+05,-1.4744203067e+05,-1.5352923284e+05,2.6151199714e+03,-2.4564198014e+03,1.3779024000e+04,-1.1088136257e+01,-1.0700469835e+01,-1.1142242937e+01,1.8978992789e-01,-1.7827240894e-01,-1.7834416622e-01,-1.7834416622e-01,3.8949512739e-02,0.0000000000e+00,-1.3939465348e-01,4.4762183018e-04,-1.6457859026e-07,1.7834416622e-01,3.7754890610e-01,0.0000000000e+00,4.6147878377e-01,-1.0452036016e+00,-1.0438402945e+00,1.3633070976e-03,0.0000000000e+00,1.0840323845e+00,1.9245008910e-01,0.0000000000e+00,1.1698946115e+00,1.6451922357e-01,3.2614448772e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,437711,47,47,47,1.0000000000e+00
14,1.4000000000e-03,1.0000000000e-04,520758,56,48,54,-1.8016824904e-01,4.8011449298e-01,4.9852879501e-01,2.3907644987e-02,-3.7093589263e+00,4.6275397266e-01,1.8690731902e+00,-1.5278556155e+05,-1.4736510742e+05,-1.5352923284e+05,2.6408302354e+03,-2.4815681579e+03,1.3779024000e+04,-1.1088271677e+01,-1.0694887201e+01,-1.1142242937e+01,1.9165582667e-01,-1.8009752780e-01,-1.8016824904e-01,-1.8016824904e-01,3.8949834078e-02,0.0000000000e+00,-1.4121841496e-01,5.1064351504e-04,-1.4574316626e-07,1.8016824904e-01,3.7754890688e-01,0.0000000000e+00,4.6214681158e-01,-1.0556683020e+00,-1.0541971097e+00,1.4711922519e-03,0.0000000000e+00,1.0856331462e+00,1.9245008733e-01,0.0000000000e+00,1.1720955967e+00,1.6595684248e-01,3.2899443726e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,437711,47,47,47,1.0000000000e+00
15,1.5000000000e-03,1.0000000000e-04,447608,48,54,56,-1.8218432712e-01,4.8011434724e-01,4.9842349987e-01,2.4418288502e-02,-3.6877015400e+00,4.6275370025e-01,1.8690731034e+00,-1.5278767722e+05,-1.4727966056e+05,-1.5352923284e+05,2.6693614537e+03,-2.5093636087e+03,1.3779024000e+04,-1.1088425220e+01,-1.0688685974e+01,-1.1142242937e+01,1.9372645361e-01,-1.8211475709e-01,-1.8218432712e-01,-1.8218432712e-01,3.8950118642e-02,0.0000000000e+00,-1.4323420848e-01,5.6718225007e-04,-1.2880094452e-07,1.8218432712e-01,3.7754890762e-01,0.0000000000e+00,4.6295390178e-01,-1.0672926622e+00,-1.0657161778e+00,1.5764844608e-03,0.0000000000e+00,1.0879847488e+00,1.9245007435e-01,0.0000000000e+00,1.1746532240e+00,1.6745117735e-01,3.3195682105e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,437711,47,47,47,1.0000000000e+00
16,1.6000000000e-03,1.0000000000e-04,373872,40,54,48,-1.8435023121e-01,4.8011421844e-01,4.9832102557e-01,2.4985470752e-02,-3.6641578867e+00,4.6275345951e-01,1.8690730267e+00,-1.5279001089e+05,-1.4718751530e+05,-1.5352923284e+05,2.7000954091e+03,-2.5392249532e+03,1.3779024000e+04,-1.1088594584e+01,-1.0681998616e+01,-1.1142242937e+01,1.9595694217e-01,-1.8428191671e-01,-1.8435023121e-01,-1.8435023121e-01,3.8950370125e-02,0.0000000000e+00,-1.4539986109e-01,6.1577280416e-04,-1.1391669774e-07,1.8435023121e-01,3.7754890834e-01,0.0000000000e+00,4.6388560470e-01,-1.0798283269e+00,-1.0781493714e+00,1.6789554947e-03,0.0000000000e+00,1.0915225412e+00,1.9245006788e-01,0.0000000000e+00,1.1782063534e+00,1.6889273859e-01,3.3481458587e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,437711,47,47,47,1.0000000000e+00
17,1.7000000000e-03,1.0000000000e-04,520758,56,48,54,-1.8662107319e-01,4.8011410452e-01,4.9822154573e-01,2.5601243556e-02,-3.6391796940e+00,4.6275324660e-01,1.8690729588e+00,-1.5279252514e+05,-1.4709061962e+05,-1.5352923284e+05,2.7323746356e+03,-2.5705334651e+03,1.3779024000e+04,-1.1088777053e+01,-1.0674966501e+01,-1.1142242937e+01,1.9829957736e-01,-1.8655410318e-01,-1.8662107319e-01,-1.8662107319e-01,3.8950592547e-02,0.0000000000e+00,-1.4767048064e-01,6.5503788696e-04,-1.0106887799e-07,1.8662107319e-01,3.7754890903e-01,0.0000000000e+00,4.6492393528e-01,-1.0930102368e+00,-1.0912318050e+00,1.7784317694e-03,0.0000000000e+00,1.1018591199e+00,1.9245008441e-01,0.0000000000e+00,1.1827128683e+00,1.6936926855e-01,3.3575926345e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,437711,47,47,47,1.0000000000e+00
18,1.8000000000e-03,1.0000000000e-04,447014,48,48,38,-1.8895586625e-01,4.8065302935e-01,4.9812524957e-01,2.6248287393e-02,-3.6135556112e+00,4.6376062214e-01,1.8693896240e+00,-1.5279514536e+05,-1.4699216257e+05,-1.5352923284e+05,2.7651314599e+03,-2.6027240865e+03,1.3779024000e+04,-1.1088967213e+01,-1.0667821071e+01,-1.1142242937e+01,2.0067687377e-01,-1.8889030794e-01,-1.8895586625e-01,-1.8895586625e-01,3.7898208091e-02,0.0000000000e+00,-1.5105765816e-01,6.8611277552e-04,2.6086718008e-08,1.8895586625e-01,3.7754890971e-01,0.0000000000e+00,4.6604816013e-01,-1.1064044655e+00,-1.1045297414e+00,1.8747240754e-03,0.0000000000e+00,1.1140613209e+00,1.9245008973e-01,0.0000000000e+00,1.1875788338e+00,1.6960993323e-01,3.3623635940e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,437711,47,47,47,1.0000000000e+00
19,1.9000000000e-03,1.0000000000e-04,539184,58,48,48,-1.9130912514e-01,4.8065305544e-01,4.9803204394e-01,2.6934400168e-02,-3.5870472138e+00,4.6376067090e-01,1.8693896392e+00,-1.5279789950e+05,-1.4689133617e+05,-1.5352923284e+05,2.7986305080e+03,-2.6351698943e+03,1.3779024000e+04,-1.1089167092e+01,-1.0660503688e+01,-1.1142242937e+01,2.0310803639e-01,-1.9124503261e-01,-1.9130912514e-01,-1.9130912514e-01,3.7898157144e-02,0.0000000000e+00,-1.5341096800e-01,7.0367887440e-04,1.9609822544e-08,1.9130912514e-01,3.7754891037e-01,0.0000000000e+00,4.6723565967e-01,-1.1201209633e+00,-1.1181530377e+00,1.9679255728e-03,0.0000000000e+00,1.1262812290e+00,1.9245008373e-01,0.0000000000e+00,1.1928744159e+00,1.6985910821e-01,3.3673032628e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,437711,47,47,47,1.0000000000e+00
20,2.0000000000e-03,1.0000000000e-04,446064,48,38,48,-1.9363456988e-01,4.8065307505e-01,4.9794201269e-01,2.7638079043e-02,-3.5605335845e+00,4.6376070756e-01,1.8693896505e+00,-1.5280069818e+05,-1.4679155962e+05,-1.5352923284e+05,2.8317331588e+03,-2.6672327012e+03,1.3779024000e+04,-1.1089370204e+01,-1.0653262497e+01,-1.1142242937e+01,2.0551043084e-01,-1.9357196135e-01,-1.9363456988e-01,-1.9363456988e-01,3.7898118846e-02,0.0000000000e+00,-1.5573645103e-01,7.0901452149e-04,1.3392243925e-08,1.9363456988e-01,3.7754891103e-01,0.0000000000e+00,4.6846283784e-01,-1.1336944894e+00,-1.1316365369e+00,2.0579524449e-03,0.0000000000e+00,1.1383678918e+00,1.9245006626e-01,0.0000000000e+00,1.1986554926e+00,1.7009841130e-01,3.3720472303e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,437711,47,47,47,1.0000000000e+00
