threshold_name,h_threshold,step,member_particle_ids,member_count,child_count,maximum_anchor_delta_nm,assignment_margin_nm
medium,0.001,69027,P078+P087,2,2,3.0324049947686804,76.55720156445798
strong,0.005,65393,P078+P087,2,2,1.560212385017867,79.31274352651178
strong,0.005,65394,P078+P087,2,2,0.00017667365836618247,81.971051280625
strong,0.005,69027,P078+P087,2,2,0.5911325281877389,80.79434868430371
