replicate,particle_id,lineage_member_particle_ids,step,elapsed_physical_time_s,experimental_age_h,stable_particle_id,equivalent_radius_nm
replicate_A,P085,P085,0,0.0,6.0,85,10.04085004437817
replicate_A,P086,P086,0,0.0,6.0,86,9.549559528923423
replicate_A,P087,P087,0,0.0,6.0,87,10.71928958995022
replicate_A,P088,P088,0,0.0,6.0,88,10.56049955370407
replicate_A,P089,P089,0,0.0,6.0,89,10.62367472924663
replicate_A,P090,P090,0,0.0,6.0,90,9.748649201883467
replicate_A,P091,P091,0,0.0,6.0,91,9.662793217305778
replicate_A,P092,P092,0,0.0,6.0,92,9.777449221416319
replicate_A,P093,P093,0,0.0,6.0,93,8.845486050957319
replicate_A,P094,P094,0,0.0,6.0,94,9.465543595122432
replicate_A,P095,P095,0,0.0,6.0,95,10.655430443235
replicate_A,P000,P000,21798,21600.0,12.0,0,13.04012761071534
replicate_A,P001,P001,21798,21600.0,12.0,1,14.27231774788206
replicate_A,P002,P002,21798,21600.0,12.0,2,11.31568794911195
replicate_A,P003,P003,21798,21600.0,12.0,3,11.77153117895881
replicate_A,P004,P004,21798,21600.0,12.0,4,16.13014318843653
replicate_A,P005,P005,21798,21600.0,12.0,5,16.18612646391671
replicate_A,P006,P006,21798,21600.0,12.0,6,5.024520167546873
replicate_A,P007,P007,21798,21600.0,12.0,7,12.23317346405932
replicate_A,P008,P008,21798,21600.0,12.0,8,15.6271139288627
replicate_A,P009,P009,21798,21600.0,12.0,9,13.94984844252406
replicate_A,P010,P010,21798,21600.0,12.0,10,15.04325866497221
replicate_A,P011,P011,21798,21600.0,12.0,11,16.29622142179696
replicate_A,P012,P012,21798,21600.0,12.0,12,11.01197987965892
replicate_A,P013,P013,21798,21600.0,12.0,13,12.56559850082166
replicate_A,P014,P014,21798,21600.0,12.0,14,15.58791592315118
replicate_A,P015,P015,21798,21600.0,12.0,15,15.99612491039702
replicate_A,P016,P016,21798,21600.0,12.0,16,14.00294442022139
replicate_A,P017,P017,21798,21600.0,12.0,17,13.53735644896157
replicate_A,P018,P018,21798,21600.0,12.0,18,14.42650359400218
replicate_A,P019,P019,21798,21600.0,12.0,19,13.4219315390946
replicate_A,P020,P020,21798,21600.0,12.0,20,17.18539317387829
replicate_A,P021,P021,21798,21600.0,12.0,21,13.61089589030821
replicate_A,P022,P022,21798,21600.0,12.0,22,16.95020434287413
replicate_A,P023,P023,21798,21600.0,12.0,23,16.85530913521114
replicate_A,P024,P024,21798,21600.0,12.0,24,15.45490920342106
replicate_A,P025,P025,21798,21600.0,12.0,25,14.77117850669579
replicate_A,P026,P026,21798,21600.0,12.0,26,15.54414984528066
replicate_A,P000,P000,43596,43200.0,18.0,0,12.89145609885051
replicate_A,P001,P001,43596,43200.0,18.0,1,17.25233821513843
replicate_A,P002,P002,43596,43200.0,18.0,2,18.12682862519321
replicate_A,P003,P003,43596,43200.0,18.0,3,18.2797330195475
replicate_A,P004,P004,43596,43200.0,18.0,4,10.7806147777685
replicate_A,P005,P005,43596,43200.0,18.0,5,15.09499858362107
replicate_A,P006,P006,43596,43200.0,18.0,6,19.01065593560116
replicate_A,P007,P007,43596,43200.0,18.0,7,17.43478555910524
replicate_A,P008,P008,43596,43200.0,18.0,8,21.6105753790709
replicate_A,P009,P009,43596,43200.0,18.0,9,11.76449417350401
replicate_A,P010,P010,43596,43200.0,18.0,10,19.81184751715277
replicate_A,P011,P011,43596,43200.0,18.0,11,10.46094843741676
replicate_A,P012,P012,43596,43200.0,18.0,12,18.91776219860006
replicate_A,P013,P013,43596,43200.0,18.0,13,20.75073357572249
replicate_A,P014,P014,43596,43200.0,18.0,14,14.35106661791327
replicate_A,P015,P015,43596,43200.0,18.0,15,12.17484990866395
replicate_A,P016,P016,43596,43200.0,18.0,16,18.16440429834728
replicate_A,P000,P000,65393,64800.0,24.0,0,15.62235511616307
replicate_A,P001,P001,65393,64800.0,24.0,1,18.84792366721261
replicate_A,P002,P002,65393,64800.0,24.0,2,20.14320265358687
replicate_A,P003,P003,65393,64800.0,24.0,3,20.43582447195472
replicate_A,P004,P004,65393,64800.0,24.0,4,17.30329138322313
replicate_A,P005,P005,65393,64800.0,24.0,5,23.53935125497829
replicate_A,P006,P006,65393,64800.0,24.0,6,21.3873889466192
replicate_A,P007,P007,65393,64800.0,24.0,7,19.85209218924698
replicate_A,P008,P008,65393,64800.0,24.0,8,23.10905460823221
replicate_A,P009,P009,65393,64800.0,24.0,9,20.39780983271146
replicate_A,P000,P000,108989,108000.0,36.0,0,15.12977512456796
replicate_A,P001,P001,108989,108000.0,36.0,1,21.19351133086537
replicate_A,P002,P002,108989,108000.0,36.0,2,22.07809078884153
replicate_A,P003,P003,108989,108000.0,36.0,3,26.47318279581438
replicate_A,P004,P004,108989,108000.0,36.0,4,21.38410113232555
replicate_A,P005,P005,108989,108000.0,36.0,5,18.19557857190338
replicate_A,P006,P006,108989,108000.0,36.0,6,25.7292901694233
replicate_A,P007,P007,108989,108000.0,36.0,7,20.90115338425776
replicate_A,P000,P000,152585,151200.0,48.0,0,21.78617737597937
replicate_A,P001,P001,152585,151200.0,48.0,1,22.3045889902182
replicate_A,P002,P002,152585,151200.0,48.0,2,29.15843662379705
replicate_A,P003,P003,152585,151200.0,48.0,3,19.19582307264242
replicate_A,P004,P004,152585,151200.0,48.0,4,28.40231651822006
