case,dt_code,dt_physical_s,macro_steps,equal_time_code,equal_time_physical_s,wall_seconds,physical_s_per_GPU_hour,macro_hard_rejects,internal_trial_rejects,retry_fraction,fallback_macros,fallback_fraction,retry_wall_overhead_fraction,max_consecutive_fallback_macros,max_accepted_subcycle_depth,accepted_iteration_p99,nonlinear_iteration_budget,accepted_state_gates_pass,energy_all_finite,rollback_bitwise,rejected_retry_rows,persistent_interface_cell_rejection,persistent_interface_cells,bounded_retry_frequency_gate_pass,Ctot_field_relative_L2_error,Ctot_increment_relative_L2_error,phi_field_relative_L2_error,phi_increment_relative_L2_error,hvolume,hvolume_reference,hvolume_increment_relative_error,interface_position_dx,interface_reference_dx,interface_error_dx,interface_direction_same,cumulative_transfer,cumulative_transfer_reference,matrix_profile_capacity_weighted_relative_error,final_mass_difference_from_reference_abs,equal_time_accuracy_pass,full_bounded_retry_contract_pass
dt4,0.00078125,0.03213248861293341,2000,1.5625,64.26497722586683,184.92069673538208,1251.0980225441372,0,15,0.0075,14,0.007,0.09856759343338262,5,4,121.0,500,True,True,True,15,True,244;266;267,False,1.9410685326339263e-05,0.00013647492781687604,4.893543632650471e-05,0.0004418627013024288,34.26211509355033,34.262324785193655,9.268856739832509e-05,272.659460620464,272.65954451769744,8.389723342361322e-05,True,1.9901784035156633,1.9903764146199578,9.72102959193956e-05,2.93638890980219e-10,True,False
dt8,0.000390625,0.016066244306466707,4000,1.5625,64.26497722586683,200.99616312980652,1151.0364895060636,0,18,0.0045,18,0.0045,0.15387649629778052,2,2,69.0,500,True,True,True,18,True,244;267,False,1.3265139091866704e-05,9.32660990380782e-05,1.1980926196330952e-05,0.0001081818169126756,34.26219914225786,34.262324785193655,5.5537090259456505e-05,272.6594887268785,272.65954451769744,5.579081891937676e-05,True,1.99025167452788,1.9903764146199578,7.583376951970608e-05,2.2156854129207204e-10,True,False
dt16,0.0001953125,0.008033122153233353,8000,1.5625,64.26497722586683,254.47282910346985,909.1497855712171,0,0,0.0,0,0.0,0.0,0,0,44.0,500,True,True,True,0,False,,True,4.2249668052540605e-08,2.9705393193579167e-07,6.023382855709791e-07,5.438815752749553e-06,34.26232511314903,34.262324785193655,1.449638772744185e-07,272.65954461163057,272.65954451769744,9.393312438987778e-08,True,1.990376744566873,1.9903764146199578,1.5869330933221594e-07,1.0594192190183094e-10,True,True
fine_dt32,9.765625e-05,0.004016561076616677,16000,1.5625,64.26497722586683,451.4025843143463,512.5223604214261,0,0,0.0,0,0.0,0.0,0,0,32.0,500,True,True,True,0,False,,True,0.0,0.0,0.0,0.0,34.262324785193655,34.262324785193655,0.0,272.65954451769744,272.65954451769744,0.0,True,1.9903764146199578,1.9903764146199578,0.0,0.0,True,True
