step,stable_particle_id,equivalent_radius_nm,lineage_member_ids,component_label
0,0,8.9999320962046774,0,0
0,1,10.499959696903618,1,1
0,2,10.249941941448572,2,2
0,3,8.9999405508130792,3,3
0,4,8.4999343182531995,4,4
0,5,8.7499321439858537,5,5
0,6,8.2499297009472556,6,6
0,7,9.7499351901615405,7,7
0,8,9.2499388275457459,8,8
0,9,9.999943136685463,9,9
0,10,8.7499334345887814,10,10
0,11,8.4999327015611374,11,11
0,12,10.999942454090975,12,12
0,13,8.2499286001025744,13,13
0,14,10.749940068978697,14,14
0,15,10.749953610762049,15,15
0,16,10.749939832424706,16,16
0,17,9.499937764485793,17,17
0,18,9.249934179379327,18,18
0,19,10.499940953478109,19,19
0,20,9.499937207971735,20,20
0,21,9.9999375899167955,21,21
0,22,9.2499451437286275,22,22
0,23,9.7499338893034881,23,23
0,24,8.9999595819661753,24,24
0,25,9.4999371528895331,25,25
0,26,9.4999377253948403,26,26
0,27,8.9999329636009477,27,27
0,28,8.2499284953575778,28,28
0,29,8.7499501858452344,29,29
0,30,9.2499331743367197,30,30
0,31,8.4999715387713248,31,31
0,32,8.749930729881644,32,32
0,33,10.249963987768531,33,33
0,34,8.7499326576646048,34,34
0,35,10.49995480421679,35,35
0,36,9.999937084419722,36,36
0,37,9.4999377057932239,37,37
0,38,10.999943360340277,38,38
0,39,9.2499460351014626,39,39
0,40,8.4999433581318247,40,40
0,41,9.7499477223376463,41,41
0,42,8.999932846914124,42,42
0,43,9.4999390311350478,43,43
0,44,8.7499468513633811,44,44
0,45,9.2499481693854353,45,45
0,46,8.9999466437326525,46,46
0,47,10.499939814460308,47,47
0,48,9.7499351355283004,48,48
0,49,9.4999367418846905,49,49
0,50,10.249945369787241,50,50
0,51,9.9999363779639889,51,51
0,52,9.9999402193818661,52,52
0,53,10.749950487066581,53,53
0,54,9.2499339686952151,54,54
0,55,8.7499308889578238,55,55
0,56,9.999943550861115,56,56
0,57,9.4999736785414886,57,57
0,58,10.499963945917623,58,58
0,59,10.24996409609747,59,59
0,60,9.7499360839270182,60,60
0,61,8.9999320295801191,61,61
0,62,9.7499414475001966,62,62
0,63,10.74994156005368,63,63
0,64,9.24993668102063,64,64
0,65,9.9999390277333227,65,65
0,66,9.7499348992607153,66,66
0,67,8.4999334303409757,67,67
0,68,9.2499417934135302,68,68
0,69,10.749945625978668,69,69
0,70,10.74994028795466,70,70
0,71,9.7499410277237075,71,71
0,72,9.9999379797513726,72,72
0,73,9.4999410853166992,73,73
0,74,8.9999315045329844,74,74
0,75,8.7499434221366226,75,75
0,76,10.499944177080518,76,76
0,77,10.499939246312888,77,77
0,78,10.249941277822884,78,78
0,79,8.4999370787757069,79,79
0,80,8.999943560268127,80,80
0,81,8.7499815001780892,81,81
0,82,8.499938825460374,82,82
0,83,10.499957148354433,83,83
0,84,8.499959435625259,84,84
0,85,10.249939078951909,85,85
0,86,10.24993937460456,86,86
0,87,8.7499393470009981,87,87
0,88,9.4999651847004056,88,88
0,89,10.749939316177352,89,89
0,90,9.9999513126840149,90,90
0,91,8.4999665606400434,91,91
0,92,10.499940849490478,92,92
0,93,8.2499279204384806,93,93
0,94,8.4999370275349193,94,94
0,95,8.9999355512137846,95,95
21798,1,15.375829917761473,1,0
21798,12,16.791078352535898,12,1
21798,14,15.897633257434155,14,2
21798,15,14.766671858974899,15,3
21798,16,15.548781644529942,16,4
21798,19,15.007361425931318,19,5
21798,23,11.940703860964398,23,6
21798,33,18.561128955258273,33+35,7
21798,36,13.559159007939384,36,8
21798,38,15.590611403389662,38,9
21798,47,12.440974179640147,47,10
21798,50,15.805569853240602,50,11
21798,53,14.455748905891449,53,12
21798,58,11.100239587770503,58,13
21798,59,10.328600848519672,59,14
21798,63,17.66298684318085,63,15
21798,69,17.318015201178881,69,16
21798,70,14.334855914456075,70,17
21798,76,14.022058260621582,76,18
21798,77,13.103911403165158,77,19
21798,83,15.052904200049367,83,20
21798,85,8.1990841126338907,85,22
21798,86,14.828438960537055,86,21
21798,89,17.770967980720208,89,23
21798,90,6.07477643448021,90,24
21798,92,13.464356799284241,92,25
43596,1,16.841796060673904,1,0
43596,12,18.925616926926768,12,1
43596,14,15.253996829380869,14,2
43596,16,15.623357461140012,16,3
43596,19,13.458658330295357,19,4
43596,33,22.348749752547217,33+35,5
43596,38,17.066602311689593,38,6
43596,50,18.648845572249556,50,7
43596,53,8.0241453766676205,53,8
43596,63,22.670949478404072,63,9
43596,69,20.460178297985038,69,10
43596,70,9.8617315052477768,70,11
43596,76,8.5475903671101889,76,12
43596,83,15.377275719071777,83,13
43596,86,13.921545845906749,86,14
43596,89,21.341300509126661,89,15
43596,92,9.2598254839960603,92,16
65393,1,16.577286105326252,1,0
65393,12,20.0440177127624,12,1
65393,16,12.565082143599399,16,2
65393,33,25.276460175416791,33+35,3
65393,38,16.109643522568234,38,4
65393,50,19.315797476480903,50,5
65393,63,25.485793930195271,63,6
65393,69,22.161466122280711,69,7
65393,83,10.763047714998221,83,8
65393,89,23.646442251812193,89,9
108989,12,16.609983675868015,12,0
108989,33,28.034740149773373,33+35,1
108989,50,16.135308168215811,50,2
108989,63,33.452310156800877,63+69,3
108989,89,25.375108567768347,89,4
152585,33,28.809075311045614,33+35,0
152585,63,35.755168757315403,63+69,1
152585,89,24.865976231330105,89,2
