replicate,step,elapsed_physical_time_s,experimental_age_h,particle_count,number_density_m3,mean_radius_nm,Sv_nm_inv,M6_nm3,beta_volume_fraction,far_field_matrix_xAg,far_field_matrix_xB
replicate_A,0,0.0,6.0,96,6.448607020276032e+21,9.54047257978136,0.007425294979835234,5.362605436068244,0.02392954496679758,0.006200715773943168,0.0062200000000001325
replicate_A,21798,21600.0,12.0,27,1.813670724452634e+21,14.141202427509677,0.004697022729246428,19.58784243904166,0.023251655515650897,0.0068855226246174695,0.0069093097288467015
replicate_A,43596,43200.0,18.0,17,1.141940826507214e+21,16.286946642424535,0.003980858096882629,35.7570014558626,0.023440124884222934,0.006695177704069287,0.0067176656868342295
replicate_A,65393,64800.0,24.0,10,6.7172989794542e+20,20.063829412392856,0.0034421584629990114,52.2077905166305,0.023600226852405093,0.006533480869022269,0.006554894006316638
replicate_A,108989,108000.0,36.0,8,5.373839183563361e+20,21.385585412249906,0.003168457608368886,71.74380206786937,0.02370980501032634,0.0064224033545653685,0.006443093426984991
replicate_A,152585,151200.0,48.0,6,4.03037938767252e+20,23.517365399327755,0.0028766432711762723,100.00219993212735,0.023783312693749684,0.006348132582575448,0.006368346135374995
