family,region,u_nm,phi_mean,phi_std,xB_mean,xB_std,sample_count
-1-1-1,face,-5.500966,9.9999998912e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.450966,9.9999998715e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.400966,9.9999998482e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.350966,9.9999998207e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.300966,9.9999997881e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.250966,9.9999997497e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.200966,9.9999997043e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.150966,9.9999996507e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.100966,9.9999995873e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.050966,9.9999995125e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.000966,9.9999994241e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.950966,9.9999993196e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.900966,9.9999991962e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.850966,9.9999990505e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.800966,9.9999988783e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.750966,9.9999986748e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.700966,9.9999984345e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.650966,9.9999981506e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.600966,9.9999978152e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.550966,9.9999974189e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.500966,9.9999969508e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.450966,9.9999963978e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.400966,9.9999957445e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.350966,9.9999949727e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.300966,9.9999940610e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.250966,9.9999929839e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.200966,9.9999917115e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.150966,9.9999902082e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.100966,9.9999884324e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.050966,9.9999863345e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.000966,9.9999838561e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.950966,9.9999809283e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.900966,9.9999774694e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.850966,9.9999733833e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.800966,9.9999685561e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.750966,9.9999628534e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.700966,9.9999561165e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.650966,9.9999481578e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.600966,9.9999387558e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.550966,9.9999276486e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.500966,9.9999145270e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.450966,9.9998990257e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.400966,9.9998807132e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.350966,9.9998590796e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.300966,9.9998335227e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.250966,9.9998033309e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.200966,9.9997676637e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.150966,9.9997255283e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.100966,9.9996757516e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.050966,9.9996169480e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.000966,9.9995474807e-01,0.0,1.2000000000e-02,0.0,1
