step,time,y_rhs_prev_time_level_enabled,mean_xBtot_old,mean_xBtot_before_step,mean_xBtot_after_phi_update,mean_xBtot_after_Y_update,mean_xBtot_after_Y_to_xB,mean_xBtot_before_clipping,mean_xBtot_after_clipping,mean_xBtot_end_step,mean_elastic_energy,max_elastic_energy,stress_hydro_min,stress_hydro_max,delta_mass_phi_update,delta_mass_Y_update,delta_mass_Y_to_xB,delta_mass_clipping,total_delta_mass_step,delta_M_phi,delta_M_Y_actual,delta_M_Y_required,Y_compensation_ratio,mean_h_before_phi_update,mean_h_after_phi_update,delta_mean_h_phi_update,mean_xB_before_phi_update,mean_xB_after_Y_update,mean_xB_after_clipping,mean_h_old_for_Y_rhs,mean_h_new_for_Y_rhs,mean_h_alpha_q_for_Y_rhs,min_h_alpha_for_Y_rhs,min_h_alpha_q_for_Y_rhs,max_h_alpha_q_for_Y_rhs,mean_gamma_local,mean_term_h,mean_term_lap,mean_term_gamma,mean_divJ,mean_divJ_effective,mean_lapY,mean_Y_rhs_total,k0_divJ_re,k0_divJ_im,k0_term_h_re,k0_term_h_im,k0_term_lap_re,k0_term_lap_im,k0_term_gamma_re,k0_term_gamma_im,k0_Y_rhs_total_re,k0_Y_rhs_total_im,l1_divJ,l1_term_h,l1_term_lap,l1_term_gamma,l1_Y_rhs_total,l2_divJ,l2_term_h,l2_term_lap,l2_term_gamma,l2_Y_rhs_total,maxabs_divJ,maxabs_term_h,maxabs_term_lap,maxabs_term_gamma,maxabs_Y_rhs_total,max_abs_fY,max_abs_lagged_dYdt,divJ_k0_real_before_update,divJ_k0_imag_before_update,Y_rhs_picard_enabled,Y_rhs_picard_iters,Y_rhs_picard_omega,picard_rms_dYdt_change_final,picard_maxabs_dYdt_change_final,picard_mean_xBtot_after_iter_0,picard_mean_xBtot_after_final,picard_Y_compensation_ratio_final,conservative_residual_plus,conservative_residual_minus,conservative_balance_residual,predicted_delta_M_from_plus_divJ,predicted_delta_M_from_minus_divJ,predicted_delta_xBtot_from_phi_change,mean_phi_before,mean_phi_after,Y_k0_before_re,Y_k0_before_im,Y_rhs_k0_re,Y_rhs_k0_im,Y_k0_after_re,Y_k0_after_im,delta_Y_k0_re,delta_Y_k0_im,phi_clip_count_low,phi_clip_count_high,Y_clip_count_low,Y_clip_count_high,xB_clip_count_low,xB_clip_count_high,mean_xBtot_before_phi_clip,mean_xBtot_after_phi_clip,mean_xBtot_before_Y_clip,mean_xBtot_after_Y_clip,mean_xBtot_before_xB_clip,mean_xBtot_after_xB_clip,delta_mass_phi_clip,delta_mass_Y_clip,delta_mass_xB_clip
2816,5.6320000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,2.9999972698e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0600686665e-03,3.8325092534e-02,-3.0680713058e+00,2.9610469341e+00,-2.7302402096e-08,2.7302396812e-08,-1.4918621893e-16,3.6533276404e-15,-1.7798262864e-15,-2.7302402096e-08,2.7302396812e-08,2.7302402096e-08,9.9999980647e-01,2.2405245894e-02,2.2405215699e-02,-3.0194975589e-08,7.7649254081e-03,7.7649516465e-03,7.7649516465e-03,2.2405245894e-02,2.2405215699e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9246428027e-01,-1.6742343193e-06,-1.3025158377e-18,-2.1756534567e-04,6.2608866619e-19,6.2608866619e-19,-4.4377476556e-19,2.1923957998e-04,9.3205419039e-12,0.0000000000e+00,-2.4924219160e+01,0.0000000000e+00,-1.9390469915e-11,0.0000000000e+00,-3.2388813767e+03,0.0000000000e+00,3.2638055959e+03,0.0000000000e+00,1.8775868537e-04,1.5128121564e-04,9.5439335607e-04,9.6198857740e-04,1.7007100401e-03,2.6531559615e-03,1.9962287318e-03,4.1450571261e-03,4.7529402906e-03,6.4163967780e-03,2.0459326243e+00,1.2412340182e+00,9.3746795528e-01,2.7200366421e+00,2.5872672929e+00,2.5872672929e+00,0.0000000000e+00,3.6210008210e+03,4.6220804961e-12,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,9.9999980647e-01,-5.2839802296e-15,-5.2839551861e-15,-5.2839551861e-15,1.2521773324e-20,-1.2521773324e-20,-2.7302402096e-08,2.4137388388e-02,2.4137071536e-02,-7.2211195264e+07,0.0000000000e+00,3.2638055959e+03,0.0000000000e+00,-7.2208797525e+07,5.2029491826e-12,2.3977390086e+03,5.2029491826e-12,2.5924010000e+06,5.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9999972698e-02,2.9999972698e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.1694451791e-14,-1.4918621893e-16,1.7347234760e-16
3072,6.1440000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,2.9999924885e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0592305374e-03,3.8526799656e-02,-3.0890209675e+00,2.9868718386e+00,-7.5115024797e-08,7.5115024648e-08,-4.5102810375e-17,1.9081958236e-16,-3.4694469520e-18,-7.5115024797e-08,7.5115024648e-08,7.5115024797e-08,9.9999999801e-01,2.2404104392e-02,2.2404024296e-02,-8.0095875255e-08,7.7654104176e-03,7.7654869489e-03,7.7654869489e-03,2.2404104392e-02,2.2404024296e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9246316247e-01,-3.9882888222e-06,9.9509423379e-19,-4.5976166088e-04,1.0697218171e-19,1.0697218171e-19,5.2525856133e-19,4.6374994970e-04,1.5924880230e-12,0.0000000000e+00,-5.9373400445e+01,0.0000000000e+00,1.4813904172e-11,0.0000000000e+00,-6.8444424207e+03,0.0000000000e+00,6.9038158211e+03,0.0000000000e+00,2.4770248333e-04,1.6690975755e-04,9.8280866883e-04,2.5382293727e-03,3.2506029740e-03,3.2302675219e-03,3.2183667377e-03,4.3297271908e-03,5.4723955668e-03,7.2625595426e-03,1.2810518697e+00,1.2509258932e+00,9.8178863934e-01,3.8097893754e-01,1.3216270101e+00,1.3216270101e+00,0.0000000000e+00,4.1212985629e+03,3.0946356588e-12,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,9.9999999801e-01,-1.4918835838e-16,-1.4918407949e-16,-1.4918407949e-16,2.1394436343e-21,-2.1394436343e-21,-7.5115024801e-08,2.4106883995e-02,2.4106608796e-02,-7.2211034252e+07,0.0000000000e+00,6.9038158211e+03,0.0000000000e+00,-7.2194439258e+07,2.2906121444e-11,1.6594994353e+04,2.2906121444e-11,2.5898680000e+06,3.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9999924885e-02,2.9999924885e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.1357915436e-14,-4.5102810375e-17,3.4694469520e-17
3328,6.6560000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,3.0000090454e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0594325241e-03,3.8215001157e-02,-3.1029809117e+00,3.0199356675e+00,9.0454482092e-08,-9.0454482730e-08,3.8163916471e-17,6.3143934526e-16,3.1225022568e-17,9.0454482092e-08,-9.0454482730e-08,-9.0454482092e-08,1.0000000071e+00,2.2419549683e-02,2.2419636477e-02,8.6794849349e-08,7.7493046511e-03,7.7492152832e-03,7.7492152832e-03,2.2419549683e-02,2.2419636477e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9247837207e-01,4.3660246266e-06,4.7992740487e-19,5.9671595089e-04,-1.5034635360e-18,-1.5034635360e-18,5.4609899880e-19,-6.0108197552e-04,-2.2381965439e-11,0.0000000000e+00,6.4996729190e+01,0.0000000000e+00,7.1446485609e-12,0.0000000000e+00,8.8832721711e+03,0.0000000000e+00,-8.9482689003e+03,0.0000000000e+00,3.0200630096e-04,1.6105440519e-04,1.0090280001e-03,3.4233656384e-03,4.1162620735e-03,3.1532953890e-03,3.0555437882e-03,4.3546977735e-03,1.1867152703e-02,1.2831418045e-02,6.9867243213e-01,6.9471160021e-01,7.7845108949e-01,1.3007644857e+00,1.2747604971e+00,1.2747604971e+00,0.0000000000e+00,5.8316744550e+03,-3.3715252812e-12,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,1.0000000071e+00,-6.3834816989e-16,-6.3840830843e-16,-6.3840830843e-16,-3.0069270720e-20,3.0069270720e-20,9.0454482095e-08,2.4077768705e-02,2.4077680178e-02,-7.2242535220e+07,0.0000000000e+00,-8.9482689003e+03,0.0000000000e+00,-7.2322767696e+07,-5.8761884247e-11,-8.0232476587e+04,-5.8761884247e-11,2.5926030000e+06,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000090454e-02,3.0000090454e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.0553003743e-14,3.8163916471e-17,1.0408340856e-17
3584,7.1680000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,2.9999996383e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0614508384e-03,3.6701645493e-02,-3.1112833023e+00,3.0396917164e+00,-3.6171729778e-09,3.6171717704e-09,2.7755575616e-17,1.1657341759e-15,-1.3877787808e-17,-3.6171729778e-09,3.6171717704e-09,3.6171729778e-09,9.9999966621e-01,2.2468696621e-02,2.2468689025e-02,-7.5958257670e-09,7.7001164825e-03,7.7001227437e-03,7.7001227437e-03,2.2468696621e-02,2.2468689025e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9252676296e-01,-3.6922526395e-07,-1.4745830818e-18,-1.2799206693e-06,8.3298440294e-19,8.3298440294e-19,-1.7226275137e-20,1.6491459331e-06,1.2400585496e-11,0.0000000000e+00,-5.4966328740e+00,0.0000000000e+00,-2.1952023966e-11,0.0000000000e+00,-1.9054097089e+01,0.0000000000e+00,2.4550729960e+01,0.0000000000e+00,2.9563155922e-04,1.4553370748e-04,9.8526953541e-04,4.2421485088e-03,4.8726391356e-03,3.0394863367e-03,3.0427926528e-03,4.1860326792e-03,6.8609302513e-03,8.2788852210e-03,1.0584032087e+00,1.0499962753e+00,9.3802514371e-01,3.7523957992e-01,1.3369961659e+00,1.3369961659e+00,0.0000000000e+00,2.7781864810e+03,1.9007018182e-12,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,9.9999966621e-01,-1.2073841990e-15,-1.2073508796e-15,-1.2073508796e-15,1.6659688059e-20,-1.6659688059e-20,-3.6171729793e-09,2.4092987717e-02,2.4092817055e-02,-7.2338199483e+07,0.0000000000e+00,2.4550729962e+01,0.0000000000e+00,-7.2278753537e+07,-3.1029401271e-11,5.9445946818e+04,-3.1029401271e-11,2.5919140000e+06,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9999996383e-02,2.9999996383e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.0341367479e-14,2.7755575616e-17,-2.7755575616e-17
3840,7.6800000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,3.0000145789e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0626176953e-03,3.6812860683e-02,-3.1125397682e+00,3.0503154397e+00,1.4578922504e-07,-1.4578922666e-07,-1.2490009027e-16,1.7451318168e-15,0.0000000000e+00,1.4578922504e-07,-1.4578922666e-07,-1.4578922504e-07,1.0000000111e+00,2.2493882229e-02,2.2494025850e-02,1.4362080396e-07,7.6745192939e-03,7.6743735534e-03,7.6743735534e-03,2.2493882229e-02,2.2494025850e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9255156080e-01,7.0537581750e-06,4.8356935518e-19,9.4404273357e-04,1.1342560117e-19,1.1342560117e-19,2.3146140372e-20,-9.5109649174e-04,1.6885596654e-12,0.0000000000e+00,1.0500884651e+02,0.0000000000e+00,7.1988660421e-12,0.0000000000e+00,1.4053903756e+04,0.0000000000e+00,-1.4158912602e+04,0.0000000000e+00,2.8766145198e-04,1.3178259729e-04,9.7868201211e-04,3.7094401549e-03,4.3568799443e-03,3.0921097180e-03,2.9626484209e-03,4.1210127964e-03,1.1894340270e-02,1.2683390528e-02,1.4642728426e+00,1.3959510193e+00,1.0317827356e+00,6.2154399259e-01,1.3136434541e+00,1.3136434541e+00,0.0000000000e+00,4.7197206177e+03,-3.9879211045e-13,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,1.0000000111e+00,-1.6202339951e-15,-1.6202294581e-15,-1.6202294581e-15,2.2685120234e-21,-2.2685120234e-21,1.4578922503e-07,2.4077640165e-02,2.4077618888e-02,-7.2387892383e+07,0.0000000000e+00,-1.4158912602e+04,0.0000000000e+00,-7.2283007661e+07,1.2930101434e-11,1.0488472191e+05,1.2930101434e-11,2.5784390000e+06,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000145789e-02,3.0000145789e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.9973606102e-14,-1.2490009027e-16,1.2490009027e-16
4096,8.1920000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,3.0000044796e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0646611682e-03,3.6901572881e-02,-3.1099721193e+00,3.0550957322e+00,4.4795564501e-08,-4.4795562180e-08,-9.0205620751e-17,-2.2308543901e-15,0.0000000000e+00,4.4795564501e-08,-4.4795562180e-08,-4.4795564501e-08,9.9999994819e-01,2.2543624157e-02,2.2543666843e-02,4.2685839703e-08,7.6248100139e-03,7.6247674250e-03,7.6247674250e-03,2.2543624157e-02,2.2543666843e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9260053585e-01,2.1898484044e-06,-5.6076960652e-20,3.0514201423e-04,-1.0412181277e-18,-1.0412181277e-18,4.6143921491e-20,-3.0733186263e-04,-1.5500547630e-11,0.0000000000e+00,3.2600133046e+01,0.0000000000e+00,-8.3481412430e-13,0.0000000000e+00,4.5426296367e+03,0.0000000000e+00,-4.5752297698e+03,0.0000000000e+00,2.5389714161e-04,1.2399052374e-04,9.3157046811e-04,3.5730437153e-03,4.1813248094e-03,1.9643973665e-03,1.9650517850e-03,3.8515418642e-03,5.5991594671e-03,6.9275653456e-03,4.0046009862e-01,4.0768319788e-01,5.8499982381e-01,2.0825114272e-01,8.4606630037e-01,8.4606630037e-01,0.0000000000e+00,2.4347065251e+03,-1.2818190953e-11,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,9.9999994819e-01,2.3210808352e-15,2.3210391865e-15,2.3210391865e-15,-2.0824362555e-20,2.0824362555e-20,4.4795564505e-08,2.4105826577e-02,2.4105789963e-02,-7.2484453720e+07,0.0000000000e+00,-4.5752297698e+03,0.0000000000e+00,-7.2428042757e+07,1.1185985471e-10,5.6410963022e+04,1.1185985471e-10,2.5726330000e+06,7.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000044796e-02,3.0000044796e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.0754231667e-14,-9.0205620751e-17,-6.9388939039e-18
4352,8.7040000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,3.0000107896e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0644616119e-03,3.6966279497e-02,-3.1144644618e+00,3.0868153572e+00,1.0789607295e-07,-1.0789607030e-07,2.7755575616e-17,-4.6455894687e-15,-1.9671764218e-15,1.0789607295e-07,-1.0789607030e-07,-1.0789607295e-07,9.9999997543e-01,2.2546220645e-02,2.2546326890e-02,1.0624481782e-07,7.6217563865e-03,7.6216472379e-03,7.6216472379e-03,2.2546220645e-02,2.2546326890e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9260309976e-01,5.0894048763e-06,-8.0012624471e-20,6.6473723603e-04,-8.4746909798e-19,-8.4746909798e-19,-1.5925002503e-19,-6.6982664091e-04,-1.2616218224e-11,0.0000000000e+00,7.5765644671e+01,0.0000000000e+00,-1.1911428197e-12,0.0000000000e+00,9.8959006896e+03,0.0000000000e+00,-9.9716663343e+03,0.0000000000e+00,2.2602433736e-04,1.1799378014e-04,9.1675098469e-04,2.5860850395e-03,3.2209449860e-03,2.7679203177e-03,2.1639731603e-03,3.9771584933e-03,1.0263123602e-02,1.1141362430e-02,1.7559964743e+00,9.7266352475e-01,8.0525246505e-01,2.9331623218e+00,2.9112428063e+00,2.9112428063e+00,0.0000000000e+00,3.0961614196e+03,-1.6452617047e-11,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,9.9999997543e-01,2.6506744207e-15,2.6506405219e-15,2.6506405219e-15,-1.6949381960e-20,1.6949381960e-20,1.0789607295e-07,2.4076158824e-02,2.4075975243e-02,-7.2491206460e+07,0.0000000000e+00,-9.9716663343e+03,0.0000000000e+00,-7.2278335311e+07,-5.0718540479e-11,2.1287114953e+05,-5.0718540479e-11,2.5710480000e+06,7.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000107896e-02,3.0000107896e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.9560741915e-14,2.7755575616e-17,-6.9388939039e-17
4608,9.2160000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,3.0000119551e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0660446565e-03,3.7196767693e-02,-3.1270502210e+00,3.1020665467e+00,1.1955104906e-07,-1.1955104398e-07,-1.0755285551e-16,-4.9786563761e-15,-6.9388939039e-18,1.1955104906e-07,-1.1955104398e-07,-1.1955104906e-07,9.9999995751e-01,2.2584976650e-02,2.2585095476e-02,1.1882647690e-07,7.5828933318e-03,7.5827750216e-03,7.5827750216e-03,2.2584976650e-02,2.2585095476e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9264125860e-01,5.9569899090e-06,-1.4210389462e-18,7.7095347188e-04,1.4716494180e-19,1.4716494180e-19,-2.1107415397e-19,-7.7691046179e-04,2.1908350700e-12,0.0000000000e+00,8.8681327528e+01,0.0000000000e+00,-2.1154915845e-11,0.0000000000e+00,1.1477134995e+04,0.0000000000e+00,-1.1565816322e+04,0.0000000000e+00,2.4340961350e-04,1.1003391251e-04,9.1642711235e-04,3.3759516593e-03,3.9889781356e-03,1.5149522947e-03,1.4383933397e-03,3.6867205448e-03,8.8088934995e-03,9.5814252620e-03,1.9828394227e-01,2.0478024215e-01,2.6393936909e-01,2.2244342382e-01,3.5075791946e-01,3.5075791946e-01,0.0000000000e+00,2.6939531502e+03,1.0921930027e-11,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,9.9999995751e-01,5.0792673944e-15,5.0792732810e-15,5.0792732810e-15,2.9432988360e-21,-2.9432988360e-21,1.1955104906e-07,2.4092091495e-02,2.4092165214e-02,-7.2566801546e+07,0.0000000000e+00,-1.1565816322e+04,0.0000000000e+00,-7.2664114175e+07,1.0324185951e-11,-9.7312628233e+04,1.0324185951e-11,2.5708510000e+06,1.1000000000e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000119551e-02,3.0000119551e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.0233814624e-14,-1.0755285551e-16,1.1449174941e-16
4864,9.7280000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,3.0000007384e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0665979710e-03,3.6993134315e-02,-3.1285625100e+00,3.1020373702e+00,7.3841024892e-09,-7.3840991724e-09,-2.1857515797e-16,-3.1051550220e-15,-6.9388939039e-18,7.3841024892e-09,-7.3840991724e-09,-7.3841024892e-09,9.9999955082e-01,2.2601643377e-02,2.2601648325e-02,4.9473247894e-09,7.5660906064e-03,7.5660842064e-03,7.5660842064e-03,2.2601643377e-02,2.2601648325e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9265767335e-01,2.9055248572e-07,8.1829384505e-19,6.8290621161e-05,1.8147399795e-18,1.8147399795e-18,-2.4516689019e-19,-6.8581173646e-05,2.7015917932e-11,0.0000000000e+00,4.3254362596e+00,0.0000000000e+00,1.2181888101e-11,0.0000000000e+00,1.0166381066e+03,0.0000000000e+00,-1.0209635429e+03,0.0000000000e+00,2.0785027279e-04,1.1460157928e-04,8.8405255280e-04,2.5693419632e-03,3.1892508457e-03,2.1839734960e-03,2.1910976984e-03,3.8104401713e-03,5.8402130710e-03,7.1466039465e-03,6.0222436864e-01,5.9336370059e-01,7.0711647097e-01,2.8468612704e-01,1.0608412161e+00,1.0608412161e+00,0.0000000000e+00,2.6633528769e+03,2.2009061240e-12,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,9.9999955082e-01,3.3167549913e-15,3.3168275809e-15,3.3168275809e-15,3.6294799590e-20,-3.6294799590e-20,7.3841024881e-09,2.4089614282e-02,2.4089528125e-02,-7.2599993609e+07,0.0000000000e+00,-1.0209635429e+03,0.0000000000e+00,-7.2599092910e+07,-5.6783022728e-11,9.0069843519e+02,-5.6783022728e-11,2.5598880000e+06,3.0000000000e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000007384e-02,3.0000007384e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.9571150256e-14,-2.1857515797e-16,-4.1633363423e-17
5120,1.0240000000e+02,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,3.0000084729e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0674046060e-03,3.7332462810e-02,-3.1285833716e+00,3.0972196162e+00,8.4728937252e-08,-8.4728942459e-08,-1.7347234760e-16,5.3811122225e-15,0.0000000000e+00,8.4728937252e-08,-8.4728942459e-08,-8.4728937252e-08,1.0000000615e+00,2.2624831134e-02,2.2624914802e-02,8.3668081907e-08,7.5426752703e-03,7.5425913449e-03,7.5425913449e-03,2.2624831134e-02,2.2624914802e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9268050716e-01,4.2142884937e-06,-1.3405022212e-19,5.6458429919e-04,-2.9892417887e-19,-2.9892417887e-19,-8.9550994821e-20,-5.6879858768e-04,-4.4500651197e-12,0.0000000000e+00,6.2737843091e+01,0.0000000000e+00,-1.9955970775e-12,0.0000000000e+00,8.4049303286e+03,0.0000000000e+00,-8.4676681717e+03,0.0000000000e+00,2.0651357243e-04,1.0889354662e-04,8.8036345154e-04,2.6859145908e-03,3.3062204794e-03,1.4991881027e-03,1.4821312090e-03,3.6331159260e-03,6.0464548496e-03,7.1144189886e-03,1.7338058744e-01,1.7861351175e-01,2.3230020608e-01,7.7340142268e-02,2.9427553547e-01,2.9427553547e-01,0.0000000000e+00,2.2585205048e+03,-1.8864909634e-12,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,1.0000000615e+00,-5.2076338964e-15,-5.2076458534e-15,-5.2076458534e-15,-5.9784835775e-21,5.9784835775e-21,8.4728937254e-08,2.4092140367e-02,2.4092177007e-02,-7.2645944572e+07,0.0000000000e+00,-8.4676681717e+03,0.0000000000e+00,-7.2610830362e+07,-4.7766235411e-12,3.5114209186e+04,-4.7766235411e-12,2.5565670000e+06,5.0000000000e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000084729e-02,3.0000084729e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.9581558597e-14,-1.7347234760e-16,1.1796119637e-16
5376,1.0752000000e+02,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,3.0000145730e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0679276179e-03,3.7149683031e-02,-3.1265568733e+00,3.0900582969e+00,1.4573006778e-07,-1.4573006988e-07,7.2858385991e-17,2.0261570199e-15,0.0000000000e+00,1.4573006778e-07,-1.4573006988e-07,-1.4573006778e-07,1.0000000144e+00,2.2642411821e-02,2.2642557326e-02,1.4550584129e-07,7.5248628862e-03,7.5247173126e-03,7.5247173126e-03,2.2642411821e-02,2.2642557326e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9269782621e-01,7.2733608655e-06,2.2101243865e-19,9.4768273173e-04,6.5386313236e-21,6.5386313236e-21,-7.4529923172e-20,-9.5495609259e-04,9.7340186042e-14,0.0000000000e+00,1.0827805771e+02,0.0000000000e+00,3.2901980294e-12,0.0000000000e+00,1.4108092176e+04,0.0000000000e+00,-1.4216370233e+04,0.0000000000e+00,2.0613963989e-04,1.0147541283e-04,8.7674025793e-04,2.4338471671e-03,3.0492387336e-03,1.3019027351e-03,1.2358886058e-03,3.5625816508e-03,8.5513614172e-03,9.2840142375e-03,1.5753757217e-01,1.6150060234e-01,2.1308668495e-01,1.0466924266e-01,2.6119346517e-01,2.6119346517e-01,0.0000000000e+00,3.3109820861e+03,7.7804429566e-13,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,1.0000000144e+00,-2.0990155367e-15,-2.0990152752e-15,-2.0990152752e-15,1.3077262647e-22,-1.3077262647e-22,1.4573006777e-07,2.4087603473e-02,2.4087717668e-02,-7.2681741768e+07,0.0000000000e+00,-1.4216370233e+04,0.0000000000e+00,-7.2618502377e+07,-5.5386806252e-12,6.3239390902e+04,-5.5386806252e-12,2.5505360000e+06,6.9000000000e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000145730e-02,3.0000145730e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.9349105651e-14,7.2858385991e-17,-1.2836953722e-16
