base_case_tag,case_dir,reference_type,T_input,T_K,xB0,xB_out,mode,exx,eyy,ezz,exy,exz,eyz,Nx,Ny,Nz,dx_nm,dy_nm,dz_nm,V_box_m3,gamma_Jm2,lambda_sm_m,w_phys_J_m3,F_surf_ref_hat,F_chem_ref_hat,F_el_ref_hat,F_total_ref_hat,F_total_ref_J,mean_phi,mean_h,mean_xB,voxel_count,status,warnings,_reference_path
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0075_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx_eyy,-0.0075,-0.0075,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.00139600445,0.00139600445,3.573771392000002e-16,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0075_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx_eyy,-0.005,-0.005,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.000632435716,0.000632435716,1.619035432960001e-16,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx_eyy,-0.0025,-0.0025,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.000167304504,0.000167304504,4.2829953024000024e-17,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx_eyy,0.0025,0.0025,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.000132354487,0.000132354487,3.388274867200002e-17,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx_eyy,0.005,0.005,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.000562535722,0.000562535722,1.440091448320001e-16,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx_eyy,0.0075,0.0075,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.00129115441,0.00129115441,3.305355289600002e-16,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx_eyy,0.01,0.01,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.00231821062,0.00231821062,5.934619187200003e-16,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_eyy_sm0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p01_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,eyy,0.0,-0.01,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.0009230607,0.0009230607,2.3630353920000015e-16,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p01_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_eyy_sm0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p0075_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,eyy,0.0,-0.0075,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.000526041968,0.000526041968,1.3466674380800008e-16,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p0075_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_eyy_sm0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p005_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,eyy,0.0,-0.005,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.000239960758,0.000239960758,6.142995404800004e-17,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p005_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p0025_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,eyy,0.0,-0.0025,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,6.48169988e-05,6.48169988e-05,1.659315169280001e-17,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p0025_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p0025_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,eyy,0.0,0.0025,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,4.73419985e-05,4.73419985e-05,1.2119551616000008e-17,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p0025_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p005_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,eyy,0.0,0.005,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.000205010724,0.000205010724,5.2482745344000026e-17,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p005_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p0075_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,eyy,0.0,0.0075,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.000473616978,0.000473616978,1.2124594636800007e-16,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p0075_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p01_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,eyy,0.0,0.01,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.000853160708,0.000853160708,2.1840914124800013e-16,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p01_ref_matrix_only/reference_energy.csv
