case_dir,T_input,T_K,xB0,mode,exx,eyy,ezz,exy,Nx,Ny,Nz,dx_nm,V_box_m3,w_phys_J_m3,F_CNT_peak_hat_current,F_CNT_peak_definition_inferred,F_saddle_hat,F_reference_hat_same_strain,F_reference_source,F_reference_hat_unstrained_if_available,DeltaF_hat_current,DeltaF_hat_corrected_same_strain,DeltaF_hat_using_unstrained_reference_if_available,barrier_J_current,barrier_kBT_current,barrier_eV_current,barrier_J_corrected_same_strain,barrier_kBT_corrected_same_strain,barrier_eV_corrected_same_strain,barrier_J_unstrained_reference_if_available,barrier_kBT_unstrained_reference_if_available,background_elastic_hat_same_strain,background_elastic_J_same_strain,background_fraction_of_current_barrier,recommended_barrier,recommended_barrier_kBT,recommended_reference,confidence,warnings
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p005_ref_matrix_only,400.0,673.15,0.05,exx,0.005,0.0,0.0,0.0,400,400,400,0.10000000000000002,6.400000000000003e-23,4000000000.0000005,0.00033101062,absolute peak of last-row F_total_CNT_hat across sibling radius cases; no same-strain reference subtraction detected in summarize_cnt_scan_from_guide.py,0.00033101062,0.000320635738,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,1.15343181e-05,0.00033101062,1.0374882000000005e-05,0.00031947630189999997,8.473871872000005e-17,9117.730687899582,528.8974818490584,2.655969792000003e-18,285.7774774559712,16.577259558261684,8.178593328640004e-17,8800.016391891902,0.000320635738,8.208274892800005e-17,0.9686569512482711,2.655969792000003e-18,285.7774774559712,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,high,r_eff_star reconstructed from thresholded voxel_count volume; this approximates V_h with phi>0.5 geometry | same-strain reference approximated by smallest-volume sibling; explicit matrix-only reference not found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0075_ref_matrix_only,400.0,673.15,0.05,exx,0.0075,0.0,0.0,0.0,400,400,400,0.10000000000000002,6.400000000000003e-23,4000000000.0000005,0.000743358442,absolute peak of last-row F_total_CNT_hat across sibling radius cases; no same-strain reference subtraction detected in summarize_cnt_scan_from_guide.py,0.000743358442,0.000733773199,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,1.15343181e-05,0.000743358442,9.585243000000002e-06,0.0007318241239,1.9029976115200013e-16,20475.905210330176,1187.7576860979245,2.453822208000002e-18,264.0267682410754,15.315553578345357,1.8734697571840012e-16,20158.1909143225,0.000733776419,1.8784676326400008e-16,0.9871098215092309,2.453822208000002e-18,264.0267682410754,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,high,r_eff_star reconstructed from thresholded voxel_count volume; this approximates V_h with phi>0.5 geometry | same-strain reference approximated by smallest-volume sibling; explicit matrix-only reference not found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p01_ref_matrix_only,400.0,673.15,0.05,exx,0.01,0.0,0.0,0.0,400,400,400,0.10000000000000002,6.400000000000003e-23,4000000000.0000005,0.00132448492,absolute peak of last-row F_total_CNT_hat across sibling radius cases; no same-strain reference subtraction detected in summarize_cnt_scan_from_guide.py,0.00132448492,0.00131566059,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,1.15343181e-05,0.00132448492,8.824329999999924e-06,0.0013129506019,3.390681395200002e-16,36483.10981908745,2116.2968696746093,2.259028479999982e-18,243.0673204417195,14.099746757385192,3.361153540864002e-16,36165.395523079766,0.00131566059,3.368091110400002e-16,0.9933375383390549,2.259028479999982e-18,243.0673204417195,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,high,r_eff_star reconstructed from thresholded voxel_count volume; this approximates V_h with phi>0.5 geometry | same-strain reference approximated by smallest-volume sibling; explicit matrix-only reference not found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0025_ref_matrix_only,400.0,673.15,0.05,exx,-0.0025,0.0,0.0,0.0,400,400,400,0.10000000000000002,6.400000000000003e-23,4000000000.0000005,0.000106619777,absolute peak of last-row F_total_CNT_hat across sibling radius cases; no same-strain reference subtraction detected in summarize_cnt_scan_from_guide.py,0.000106619777,9.37232532e-05,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,1.15343181e-05,0.000106619777,1.2896523800000003e-05,9.50854589e-05,2.7294662912000016e-17,2936.8556594646725,170.35988624959575,3.301510092800003e-18,355.2364296302257,20.606405203635013,2.4341877478400014e-17,2619.1413634569926,9.37232532e-05,2.3993152819200013e-17,0.8790419173358428,3.301510092800003e-18,355.2364296302257,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,high,r_eff_star reconstructed from thresholded voxel_count volume; this approximates V_h with phi>0.5 geometry | same-strain reference approximated by smallest-volume sibling; explicit matrix-only reference not found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p005_ref_matrix_only,400.0,673.15,0.05,exx,-0.005,0.0,0.0,0.0,400,400,400,0.10000000000000002,6.400000000000003e-23,4000000000.0000005,0.000369351177,absolute peak of last-row F_total_CNT_hat across sibling radius cases; no same-strain reference subtraction detected in summarize_cnt_scan_from_guide.py,0.000369351177,0.000355585743,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,1.15343181e-05,0.000369351177,1.3765434000000002e-05,0.0003578168589,9.455390131200007e-17,10173.826329634774,590.1590330645159,3.523951104000003e-18,379.1706743851793,21.994772793572043,9.160111587840005e-17,9856.112033627092,0.000355585743,9.102995020800006e-17,0.9627307699089855,3.523951104000003e-18,379.1706743851793,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,high,r_eff_star reconstructed from thresholded voxel_count volume; this approximates V_h with phi>0.5 geometry | same-strain reference approximated by smallest-volume sibling; explicit matrix-only reference not found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0075_ref_matrix_only,400.0,673.15,0.05,exx,-0.0075,0.0,0.0,0.0,400,400,400,0.10000000000000002,6.400000000000003e-23,4000000000.0000005,0.000800821865,absolute peak of last-row F_total_CNT_hat across sibling radius cases; no same-strain reference subtraction detected in summarize_cnt_scan_from_guide.py,0.000800821865,0.000786198209,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,1.15343181e-05,0.000800821865,1.4623655999999939e-05,0.0007892875469,2.0501039744000013e-16,22058.742689438415,1279.5742559805683,3.743655935999987e-18,402.81051127751226,23.36606249620282,2.0205761200640013e-16,21741.028393430734,0.000786198209,2.0126674150400013e-16,0.9817391899008653,3.743655935999987e-18,402.81051127751226,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,high,r_eff_star reconstructed from thresholded voxel_count volume; this approximates V_h with phi>0.5 geometry | same-strain reference approximated by smallest-volume sibling; explicit matrix-only reference not found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p01_ref_matrix_only,400.0,673.15,0.05,exx,-0.01,0.0,0.0,0.0,400,400,400,0.10000000000000002,6.400000000000003e-23,4000000000.0000005,0.001401018,absolute peak of last-row F_total_CNT_hat across sibling radius cases; no same-strain reference subtraction detected in summarize_cnt_scan_from_guide.py,0.001401018,0.00138556081,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,1.15343181e-05,0.001401018,1.5457189999999862e-05,0.0013894836819,3.5866060800000024e-16,38591.22348672589,2238.583439483616,3.957040639999967e-18,425.7703139908118,24.69790506256982,3.557078225664002e-16,38273.50919071821,0.00138556081,3.5470356736000024e-16,0.9889671724417531,3.957040639999967e-18,425.7703139908118,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,high,r_eff_star reconstructed from thresholded voxel_count volume; this approximates V_h with phi>0.5 geometry | same-strain reference approximated by smallest-volume sibling; explicit matrix-only reference not found
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p0025_ref_matrix_only,400.0,673.15,0.05,eyy,0.0,0.0025,0.0,0.0,400,400,400,0.10000000000000002,6.400000000000003e-23,4000000000.0000005,5.97919417e-05,absolute peak of last-row F_total_CNT_hat across sibling radius cases; no same-strain reference subtraction detected in summarize_cnt_scan_from_guide.py,5.97919417e-05,4.73419985e-05,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,,5.97919417e-05,1.2449943199999998e-05,,1.530673707520001e-17,1646.976830311948,95.53713835524586,3.1871854592000015e-18,342.93530877422216,19.892846965586205,,,4.73419985e-05,1.2119551616000008e-17,0.7917789112374654,3.1871854592000015e-18,342.93530877422216,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,high,missing unstrained reference case for comparison | r_eff_star reconstructed from thresholded voxel_count volume; this approximates V_h with phi>0.5 geometry
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p005_ref_matrix_only,400.0,673.15,0.05,eyy,0.0,0.005,0.0,0.0,400,400,400,0.10000000000000002,6.400000000000003e-23,4000000000.0000005,0.000217897009,absolute peak of last-row F_total_CNT_hat across sibling radius cases; no same-strain reference subtraction detected in summarize_cnt_scan_from_guide.py,0.000217897009,0.000205010724,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,,0.000217897009,1.2886285000000011e-05,,5.578163430400003e-17,6002.001524183217,348.161576696668,3.298888960000005e-18,354.95440054920346,20.59004537947846,,,0.000205010724,5.2482745344000026e-17,0.9408606613778714,3.298888960000005e-18,354.95440054920346,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,high,missing unstrained reference case for comparison | r_eff_star reconstructed from thresholded voxel_count volume; this approximates V_h with phi>0.5 geometry
/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p0075_ref_matrix_only,400.0,673.15,0.05,eyy,0.0,0.0075,0.0,0.0,400,400,400,0.10000000000000002,6.400000000000003e-23,4000000000.0000005,0.000486967787,absolute peak of last-row F_total_CNT_hat across sibling radius cases; no same-strain reference subtraction detected in summarize_cnt_scan_from_guide.py,0.000486967787,0.000473616978,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,,0.000486967787,1.3350808999999992e-05,,1.2466375347200007e-16,13413.591187945714,778.0899485518279,3.4178071040000002e-18,367.7497746978205,21.332274054372462,,,0.000473616978,1.2124594636800007e-16,0.9725837943362772,3.4178071040000002e-18,367.7497746978205,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/cnt_scan/current_results_master_table_fitted.csv:F_ref_hat_same_strain,high,missing unstrained reference case for comparison | r_eff_star reconstructed from thresholded voxel_count volume; this approximates V_h with phi>0.5 geometry
