case,particle_id,centroid_x_nm,centroid_y_nm,centroid_z_nm,h_volume_voxel_units,equivalent_radius_nm,voxel_count_phi_ge_0p5,centroid_distance_nm
A,small,20,20,20,1874.969436413729,7.649537790447089,2103,0
A,medium,68,20,20,3763.6116872639655,9.649513092956147,4139,0
A,large,20,68,20,6598.697021259157,11.635628845845527,7123,0
B,small,20,20,20,1836.8416927914877,7.5973308530211865,2103,0
B,medium,68,20,20,3772.5282976026274,9.657127506653655,4169,0
B,large,20,68,20,6690.473565964645,11.689324544052173,7249,0
C,small,20,20,20,1831.897522408312,7.590508227211753,2103,0
C,medium,68,20,20,3750.51256852804,9.638305149080155,4139,0
C,large,20,68,20,6651.5576951635085,11.666616380832814,7191,0
