particle_id,radius_nm,R2_nm2,R3_nm3
0,8.167822574685,66.713325611535,544.902606962212
1,8.192711243273,67.120517515657,549.899018504850
2,8.217659915928,67.529934493848,554.938035815329
3,8.242669043355,67.941592958280,560.020065033431
4,8.267739079074,68.355509479648,565.145516994898
5,8.292870479461,68.771700789114,570.314807296362
6,8.318063703789,69.190183780292,575.528356361337
7,8.343319214273,69.610975511251,580.786589507282
8,8.368637476110,70.034093206555,586.089937013764
9,8.394018957527,70.459554259329,591.438834191735
10,8.419464129822,70.887376233358,596.833721453950
11,8.444973467407,71.317576865216,602.275044386545
12,8.470547447859,71.750174066427,607.763253821795
13,8.496186551957,72.185185925656,613.298805912076
14,8.521891263736,72.622630710938,618.882162205057
15,8.547662070528,73.062526871935,624.513789720143
16,8.573499463010,73.504893042232,630.194161026186
17,8.599403935254,73.949748041662,635.923754320505
18,8.625375984771,74.397110878668,641.703053509228
19,8.651416112563,74.847000752709,647.532548288975
20,8.677524823167,75.299437056686,653.412734229928
21,8.703702624712,75.754439379424,659.344112860302
22,8.729950028962,76.212027508175,665.327191752245
23,8.756267551370,76.672221431170,671.362484609188
24,8.782655711128,77.135041340210,677.450511354698
25,8.809115031221,77.600507633291,683.591798222836
26,8.835646038478,78.068640917272,689.786877850059
27,8.862249263623,78.539462010590,696.036289368709
28,8.888925241333,79.012991946007,702.340578502099
29,8.915674510289,79.489251973410,708.700297661244
30,8.942497613231,79.968263562650,715.116006043262
31,8.969395097019,80.450048406423,721.588269731481
32,8.996367512680,80.934628423200,728.117661797288
33,9.023415415474,81.422025760207,734.704762403748
34,9.050539364946,81.912262796443,741.350158911034
35,9.077739924990,82.405362145751,748.054445983708
36,9.105017663900,82.901346659939,754.818225699882
37,9.132373154441,83.400239431952,761.642107662302
38,9.159806973899,83.902063799087,768.526709111393
39,9.187319704150,84.406843346269,775.472655040308
40,9.214911931721,84.914601909373,782.480578312014
41,9.242584247850,85.425363578605,789.551119778468
42,9.270337248554,85.939152701933,796.684928401918
43,9.298171534693,86.455993888577,803.882661378368
44,9.326087712034,86.975912012556,811.144984263274
45,9.354086391321,87.498932216290,818.472571099483
46,9.382168188338,88.025079914262,825.866104547497
47,9.410333723984,88.554380796743,833.326276018083
48,9.438583624336,89.086860833579,840.853785807292
49,9.466918520724,89.622546278030,848.449343233942
50,9.495339049802,90.161463670690,856.113666779591
51,9.523845853617,90.703639843458,863.847484231091
52,9.552439579688,91.249101923580,871.651532825749
53,9.581120881075,91.797877337762,879.526559399150
54,9.609890416459,92.349993816346,887.473320535725
55,9.638748850217,92.905479397560,895.492582722087
56,9.667696852500,93.464362431840,903.585122503225
57,9.696735099312,94.026671586224,911.751726641598
58,9.725864272589,94.592435848821,919.993192279197
59,9.755085060283,95.161684533352,928.310327102647
60,9.784398156442,95.734447283781,936.703949511394
61,9.813804261295,96.310754079007,945.174888789071
62,9.843304081336,96.890635237655,953.723985278093
63,9.872898329413,97.474121422936,962.352090557552
64,9.902587724812,98.061243647598,971.060067624499
65,9.932372993347,98.652033278960,979.848791078671
66,9.962254867450,99.246522044039,988.719147310747
67,9.992234086267,99.844742034755,997.672034694210
68,10.022311395743,100.446725713241,1006.708363780894
69,10.052487548723,101.052505917236,1015.829057500297
70,10.082763305046,101.662115865577,1025.035051362748
71,10.113139431640,102.275589163789,1034.327293666508
72,10.143616702625,102.892959809771,1043.706745708900
73,10.174195899411,103.514262199586,1053.174382001550
74,10.204877810800,104.139531133353,1062.731190489841
75,10.235663233091,104.768801821244,1072.378172776670
76,10.266552970184,105.402109889590,1082.116344350606
77,10.297547833688,106.039491387094,1091.946734818554
78,10.328648643030,106.680982791161,1101.870388143013
79,10.359856225563,107.326621014339,1111.888362884057
80,10.391171416682,107.976443410877,1122.001732446128
81,10.422595059936,108.630487783404,1132.211585329759
82,10.454128007143,109.288792389732,1142.519025388339
83,10.485771118510,109.951395949778,1152.925172090042
84,10.517525262752,110.618337652621,1163.431160785036
85,10.549391317213,111.289657163680,1174.038142978089
86,10.581370167990,111.965394632037,1184.747286606716
87,10.613462710062,112.645590697887,1195.559776324980
88,10.645669847413,113.330286500124,1206.476813793083
89,10.677992493165,114.019523684085,1217.499617972897
90,10.710431569709,114.713344409420,1228.629425429557
91,10.742988008842,115.411791358122,1239.867490639271
92,10.775662751901,116.114907742706,1251.215086303501
93,10.808456749904,116.822737314545,1262.673503669653
94,10.841370963691,117.535324372357,1274.244052858437
95,10.874406364067,118.252713770863,1285.928063198072
