age_h,phi_sha256,xB_sha256,mean_C_B_tot,beta_volume_fraction,matrix_xB_h_lt_0p005,matrix_xAg_h_lt_0p005,matrix_xB_alpha_weighted,matrix_xAg_alpha_weighted,resolved_component_count_periodic,resolved_component_count_raw,mean_radius_nm,R3_moment_mean_nm3,interface_area_proxy_nm_inv
6.0,ca75e33e234c15caa23c9f32b6b9c76dbbbf11d098f9e9609e8905476df855dd,197bc5ecf7b48b3d55c8df51cd255d6318becbb5e6c846bac884df4e0b2faab0,0.03000070319710406,0.02392954496679758,0.0062200000000001325,0.006200715773943168,0.006220000000000005,0.006200715773943042,96,126,8.388382751067565,702.8394960749287,0.007549345746258189
7.0,fce2de477b4d3a5eff523cb1e83acf988919d8b002f923dd03100db8faaa43d3,55bbcd33457011632d48865ed1a4f9dfb1c067548d8ce9eaec9da1fb12f2115d,0.029999998007859536,0.02391263219261859,0.006237479723797404,0.006218087127607773,0.006236496871089832,0.006217110376385058,96,125,8.171406133395772,702.3448105163553,0.007304156669010516
8.0,a156d552e3ad7c448ffbc6c9a835ac82a7d0bd06efad142f6f8ed7160fe5cf1b,5cc9a429e08f3f629e4db34b27b43a22ddf57ca1b47174deb165c2f4b1eb20f7,0.03000000080625578,0.024091341449497795,0.0060553263088357605,0.0060370481605585904,0.006054520886753848,0.006036247593188559,70,90,9.16106843383111,972.9421523782981,0.006600345718453477
9.0,dc7d6d6577db17e9fbc18ee3dc9221b13c9d994223858594869e4c9d54944336,738f7153c613333c01fb15775008c4671e75949ecced398f5f8a90944977f23f,0.029999996829726438,0.024210088552736077,0.005934155602423986,0.005916600588160217,0.0059335602972191035,0.005916008799752997,56,73,9.601716232594887,1178.6476466648207,0.0061262384004096915
10.0,eb2dfe1c581fbe479c39958931ca758328eb0a30166bdf397a235b00fc06ec27,239d52122bee34c3ed9091e21021e07a88744c2ce3b5aafe7dbd585802adcdbc,0.02999999715319185,0.02425950697543713,0.005884118916236589,0.0058668582703728,0.005883214050039668,0.00586595870470543,48,64,9.866098388508979,1347.140766580617,0.005773991793024513
11.0,b86b18df48eeb59d5e7bb2889c4bc386a8b60259c1044c6e2e5892b6f1d9833a,3ba0f76aa8a35904c26e7eccc2da63ccc3a65de0c2624dab5954e531072018ce,0.030000000511286484,0.02431433790141922,0.005828200612408608,0.005811266000377473,0.005827350785946882,0.005810421104950573,42,57,10.464790719517273,1543.067045341432,0.005530265455533233
12.0,e64ccba69ba00a4008c1697b8d82a9c56aa2d27cea3e06b22c792614773e9f0d,1b3b3191820532314261d7eff0467cd695485bbdf9071e8857e8acb9f2554d8d,0.029999991777336123,0.024420811844146368,0.005719343542327725,0.005703034734886404,0.005718838614972993,0.005702532682917885,34,50,11.038404851865016,1808.1340629467632,0.005246316287734201
13.0,5777d4d48aea863194e3ce8afa7bf0f563c038a6343c1636b63b397df211f4ec,b4b8de4f07d7c88a813e062eaa38df7b73c5515a43f1fd6a970810c94d413c4e,0.029999995996440088,0.024497044109415046,0.005641234308482421,0.005625367300974384,0.005641143221345834,0.005625276725511678,30,46,11.543584694567919,2024.6838709537244,0.005087393502380975
14.0,f35d2e96c4b50e4ba331013b57abb46f5b6c5c0ac395146729720e34dbfaa7d7,f3cdc549f0c214ff561f1a28fdba22c85090592d5008cfc4de71f2096fcc4875,0.030000000634110045,0.024506707279272576,0.0056314135825871435,0.005615601694758014,0.005631297924680002,0.005615486685421161,29,45,11.563281014215304,2073.7084913645062,0.005016562357714269
15.0,22be1a1e6830446a39c87ddb1d83dc190b1daae039fefc8ac422ef70aa05fddf,7a9142cf3d18d70119cb3fbccbfdcfc00f64a3054803cc8d1bff691f987f3ca2,0.03000000325162349,0.024484606538247432,0.005654237219992922,0.005638297085374172,0.005653828479122085,0.005637890645774458,29,44,11.605940684784324,2122.370995889356,0.004922882873198928
16.0,a3dd702831bace0eb8de525c35c9e64792552898711c8f8faf54e4655904cce0,dd28775170904b4e0298b5d5658a8a7430665162b97ad7abe0867cf2dd72ea5a,0.030000003264996144,0.024558068629747704,0.0055790391746877565,0.005563519627711682,0.005578942692779104,0.005563423681830811,25,40,12.107640302694145,2358.87292670622,0.004774637482976669
17.0,8a2521711866c3203ca50b7a112baa6945cde3b00d63c90ebeece9506c06f757,4cde5dbb8dc19efe36a2bd7aaf2a975be6fba7ab3c4cd939fe6c356b04261b4d,0.030000006032641247,0.024541510626111374,0.005596148046380653,0.005580533301115254,0.005595825415424386,0.0055802124680483,25,40,11.84843624722489,2357.2815575941877,0.004690932993426471
18.0,78a8ba45011e0aef44e99f18a936b4bc7949e66d53087f773f5f282104f297fe,39468af3d8d155a7cb3bf90791b03620ac560e8ad36a74e45ed761304bcc5085,0.03000000604010006,0.024574050683704635,0.005563037153493919,0.005547606383282338,0.005562652254841658,0.005547223616861436,22,37,12.206645169830654,2568.6763204056,0.004561957464318733
19.0,30ad56fea731f734cc58f5a699e321563883b5e19094f49417225242a37e039f,2dc533f91c937acec4d54470c475ee513bfeb45d3a8ba8c9b4c5940c6f604fc2,0.029999989612345523,0.024601851482596488,0.005534542088845277,0.005519268776174584,0.00553429195857526,0.005519020024504843,21,36,11.786854994100054,2571.589142397006,0.004483479615298617
