particle_id,center_x_nm,center_y_nm,center_z_nm,radius_nm,h_volume_nm3,equivalent_radius_nm
0,217.203923837202,25.476535083069,151.338485953816,8.167822574685,2363.554516715879,8.263404358708
1,115.645880834872,180.287429273349,128.875873515172,8.192711243273,2384.730592339781,8.288009456345
2,1.624595660980,178.625603324283,158.451348565449,8.217659915928,2406.085732162344,8.312675540533
3,168.772575533935,67.831734237103,180.594616332174,8.242669043355,2427.621639023465,8.337403051133
4,29.802882914246,76.968066902358,27.073333044099,8.267739079074,2449.340035432284,8.362192430939
5,110.823900482670,231.977866969985,37.051787033896,8.292870479461,2471.242663910372,8.387044125795
6,84.361855593419,6.146391560707,169.224826519170,8.318063703789,2493.331287340250,8.411958584719
7,26.620289934167,127.234644280899,92.253378537686,8.343319214273,2515.607689317593,8.436936260018
8,114.316927126145,209.465799325020,202.551482094313,8.368637476110,2538.073674505411,8.461977607395
9,69.076718372470,168.747481357074,20.831139432501,8.394018957527,2560.731068988480,8.487083086057
10,54.380432357601,242.771237668017,140.966681319508,8.419464129822,2583.581720626376,8.512253158810
11,69.025426967938,111.914360234687,210.269679000020,8.444973467407,2606.627499403494,8.537488292142
12,109.643383033864,77.549328251068,74.391496820343,8.470547447859,2629.870297774658,8.562788956296
13,2.187714163088,205.397195889695,35.430872766150,8.496186551957,2653.312031005021,8.588155625336
14,74.098478980145,10.174356843225,21.554641741399,8.521891263736,2676.954637503251,8.613588777187
15,20.221107198203,189.439091605483,92.580036050264,8.547662070528,2700.800079147206,8.639088893680
16,35.171688045040,43.027240176289,79.250073205588,8.573499463010,2724.850341601641,8.664656460565
17,85.219345415818,60.557394678376,110.303981350764,8.599403935254,2749.107434627798,8.690291967519
18,112.301503259713,120.545287721019,149.445428104383,8.625375984771,2773.573392385090,8.715995908150
19,10.265298883075,16.637990522916,163.707216926894,8.651416112563,2798.250273725411,8.741768779970
20,162.167481241686,26.859834973624,174.094916836126,8.677524823167,2823.140162481054,8.767611084377
21,242.831146098789,80.840384049062,240.895275006478,8.703702624712,2848.245167747510,8.793523326618
22,213.222051955535,120.037026991407,173.444344423066,8.729950028962,2873.567424162789,8.819506015748
23,19.519946807903,9.295426264660,227.978794502950,8.756267551370,2899.109092185215,8.845559664585
24,168.448492157975,118.607455061241,54.075926785101,8.782655711128,2924.872358372016,8.871684789665
25,176.182967345241,230.429994772014,101.256936536314,8.809115031221,2950.859435661132,8.897881911196
26,185.051474437008,140.846768442715,140.591132052014,8.835646038478,2977.072563658982,8.924151553016
27,112.683093049587,158.394345815908,189.124679762654,8.862249263623,3003.514008937016,8.950494242557
28,209.877247671461,13.874482228407,11.760988715685,8.888925241333,3030.186065339889,8.976910510816
29,59.680853937013,84.958460514780,172.691454516683,8.915674510289,3057.091054308171,9.003400892344
30,205.898549279978,186.793715825369,152.667011864442,8.942497613231,3084.231325218354,9.029965925238
31,66.238974539527,43.431107678618,186.368131002623,8.969395097019,3111.609255742717,9.056606151156
32,213.806088342251,145.248463220060,104.183316446979,8.996367512680,3139.227252231481,9.083322115348
33,0.155767095944,223.225690374413,140.750469925492,9.023415415474,3167.087750123810,9.110114366707
34,13.016204649461,82.817373669789,195.256082613707,9.050539364946,3195.193214361891,9.136983457815
35,53.606314316267,123.710421552272,54.083475771838,9.077739924990,3223.546139876933,9.163929945060
36,199.071657673716,217.395877230813,187.614799205567,9.105017663900,3252.149052058623,9.190954388718
37,79.058039429422,126.095285094551,108.905750420611,9.132373154441,3281.004507274060,9.218057353081
38,129.484646458532,138.290600800979,90.952143062813,9.159806973899,3310.115093409614,9.245239406600
39,59.681857110126,162.080814926018,154.074835956905,9.187319704150,3339.483430438863,9.272501122029
40,100.202211665986,80.294425969210,0.894275096176,9.214911931721,3369.112171014925,9.299843076599
41,165.822937093597,161.442562114617,44.681535570332,9.242584247850,3399.004001084882,9.327265852190
42,42.065045415037,197.330094461615,185.732879189234,9.270337248554,3429.161640523559,9.354770035512
43,36.634328889927,52.594538986754,142.045278730076,9.298171534693,3459.587843783325,9.382356218293
44,173.809425262384,240.621328045968,32.840066534032,9.326087712034,3490.285400556426,9.410024997459
45,91.986994046614,209.071642106389,88.944560918810,9.354086391321,3521.257136445831,9.437776975316
46,23.745606845165,161.440626565566,231.371244900988,9.382168188338,3552.505913640636,9.465612759725
47,15.230833931809,107.330341194301,133.443583496917,9.410333723984,3584.034631591906,9.493532964260
48,224.942363890843,74.821406538758,83.669172983220,9.438583624336,3615.846227685034,9.521538208355
49,187.399021722921,60.233109038851,217.333701468255,9.466918520724,3647.943677904831,9.549629117434
50,33.817496743472,8.458901910579,107.015687295647,9.495339049802,3680.329997490060,9.577806323021
51,133.692254144188,136.806152083845,5.837727127760,9.523845853617,3713.008241574586,9.606070462828
52,223.392776006427,50.836180369072,32.479094474136,9.552439579688,3745.981505813015,9.634422180819
53,33.364896017458,201.152888527044,226.004965717888,9.581120881075,3779.252926989372,9.662862127255
54,75.126204439475,187.726566231038,123.881483147181,9.609890416459,3812.825683608355,9.691390958711
55,188.226506366400,125.011620854573,209.533411996778,9.638748850217,3846.702996469542,9.720009338075
56,138.686987399277,46.561291922208,225.122507369524,9.667696852500,3880.888129225921,9.748717934529
57,180.120735398891,11.820384070787,227.945050371285,9.696735099312,3915.384388929174,9.777517423507
58,24.987788003977,131.817983873139,16.316848137903,9.725864272589,3950.195126564989,9.806408486646
