case,dt_code,dt_physical_s,steps,wall_seconds,particle_count,identity_exact,beta_volume_fraction,mean_radius_nm,Sv_nm_inv,M6_nm3,matrix_xAg,mean_elastic_energy,canonical_inventory_code,beta_vf_rel_error,mean_radius_rel_error,Sv_rel_error,M6_rel_error,matrix_xAg_abs_error,elastic_energy_rel_error,mass_rel_error,phi_full_field_MAE,xB_full_field_MAE_diagnostic
dt0p02,0.02,0.9909260953431841,256,16.331,6,true,0.02247350518507854,9.11166518443254,0.007184208631063731,4.765864618473878,0.007668470725204154,0.0010952507471,26542.080000004265,0.0005257889203284054,0.000230220338210778,0.0004034312540569377,0.0006638210273781,0.000011907963588274513,0.0006518515346238771,1.6050261257235285e-13,0.00003923269655396004,0.00005388818592324488
dt0p01,0.01,0.4954630476715921,512,32.275,6,true,0.022461643997142546,9.109504688174844,0.0071812538750476345,4.762989752043176,0.0076803903826007285,0.0010945680507,26542.080000000034,0.0000022739839431188265,0.000006947468565908636,0.000008019499786737655,0.000060200266448790426,0.000000011693808300156094,0.000028120924528514386,1.0965165675310185e-15,0.000009843077127412562,0.000032772691346593184
dt0p005,0.005,0.2477315238357960,1024,64.344,6,true,0.02246169507467648,9.109567976612011,0.007181311465573401,4.76270303605139,0.007680378688792428,0.0010945372713,26542.080000000034,0,0,0,0,0,0,1.0965165675310185e-15,0,0
