step,elapsed_physical_time_s,experimental_age_h,particle_count,beta_volume_fraction,mean_radius_nm,Sv_nm_inv,M6_nm3,far_field_matrix_xB,far_field_matrix_xAg,far4_matrix_xB,far4_matrix_xAg,far3_fraction,far4_fraction,far3_far4_xAg_delta,broad_matrix_xB,broad_matrix_xAg,canonical_inventory_code,mass_relative_error,phi_normalized_l1_from_initial,xB_mean_absolute_from_initial,phi_min,phi_max,xB_min,xB_max,finite,bounds
0,0,6,96,0.02392960975909118,9.5416094639143836,0.0074261690314816643,5.3578260165703337,0.0062223069064392339,0.006203008315588036,0.0062236156644369187,0.0062043089879447082,0.74253963340743856,0.58282026603728265,1.3006723566721598e-06,0.0062197257568180437,0.0062004429984478613,446608.08000004623,1.0361453923136947e-13,0,0,0,0.99959300657396544,0.0059970154899824622,0.0063855082535736072,1,1
3633,3600.0345043817879,7.0000095845504964,85,0.022464857437152434,9.400362282262023,0.006634229268268013,6.3710865091365028,0.0077208527203709151,0.007691146078945524,0.0077272195982763785,0.0076974647476947457,0.77113168216750583,0.6279466103703274,6.3186687492217466e-06,0.0077105455450540887,0.007680913960059526,446608.07999997854,4.7441122365054722e-14,0.3458752823737935,0.00148469802127721,-9.9999999999999995e-07,1.0000009999999999,0.006913513644075062,0.015499544529282178,1,1
7266,7200.0690087635758,8.0000191691009928,61,0.022764745030450645,10.593892082114653,0.006010427886722635,9.0588980473208576,0.0074078571086864673,0.0073805153529494872,0.0074089836042422735,0.0073816343637481069,0.80502609804999492,0.68848613307667872,1.1190107986197573e-06,0.0074047189710392146,0.0073773975394463634,446608.07999997225,6.1517059770070963e-14,0.67829010252244204,0.0011825611552043569,-9.9999999999999995e-07,1.0000009999999999,0.0067656202222278437,0.010569986605848635,1,1
10899,10800.103513145363,9.00002875365149,49,0.022875862324521257,11.193285311704189,0.0055236950742713611,12.048478303782231,0.0072967600761607229,0.0072702283939443989,0.0072986461684430206,0.0072721020499717046,0.82658835908208383,0.72612376381546884,1.8736560273057215e-06,0.0072922115816065189,0.0072657087936494266,446608.07999995182,1.0726385633637372e-13,0.9363630794381903,0.001068589240371464,-9.9999999999999995e-07,1.0000009999999999,0.0066425927337683092,0.014198910379490609,1,1
14532,14400.138017527152,10.000038338201986,37,0.023075413772433148,12.649657017302067,0.0051606900814325559,15.0000876185323,0.0070917566679025781,0.0070666959836979968,0.0070931724271305003,0.0070681022147995173,0.84457171039090917,0.75886152798668582,1.4062311015205359e-06,0.007088794307909976,0.007063752921919313,446608.07999999111,1.9289247555022252e-14,1.1020718327185577,0.00086770131410526363,-9.9999999999999995e-07,1.0000009999999999,0.0065358419896212241,0.0089624475028514897,1,1
18165,18000.172521908939,11.000047922752483,33,0.023156531166415265,13.096196340475634,0.0049571177653076875,17.537418714586678,0.007006657211737397,0.0069821933843130643,0.007006132336320089,0.0069816726308738614,0.8526393208112133,0.77355373866052757,5.2075343920290201e-07,0.007006076133777509,0.006981614827303864,446608.08000002586,5.8519406433817501e-14,1.1957135353616484,0.00078558807406602115,-9.9999999999999995e-07,1.0000009999999999,0.0064652222759668601,0.0093576782004916575,1,1
21798,21600.207026290725,12.00005750730298,31,0.023155118796488197,13.027173999960983,0.0047565634737017307,20.50380474142818,0.0070099989987237677,0.0069855095023743262,0.007009946634483866,0.0069854584732517546,0.85899811754413402,0.78393686921203931,5.1029122571585872e-08,0.0070079901868945419,0.0069835118076670187,446608.0800001187,2.6640014866530732e-13,1.2873397002697775,0.00078551130722131276,-9.9999999999999995e-07,1.0000009999999999,0.0064131363249934764,0.014458353780725958,1,1
25431,25200.241530672516,13.000067091853477,27,0.023203847776354713,13.468937432225955,0.0045012070233184853,24.43460677402599,0.0069621495507189201,0.0069379930449437093,0.0069629631904882449,0.0069388019838251252,0.86827625241352557,0.79968725599411461,8.089388814159007e-07,0.0069586493666806666,0.0069345141906758398,446608.07999994908,1.1338949576263079e-13,1.4019824310322773,0.00073549840992980214,-9.9999999999999995e-07,1.0000009999999999,0.0063645316851479519,0.010966980829258162,1,1
29064,28800.276035054303,14.000076676403973,22,0.023308506205909418,14.750672942695273,0.0042851364322066326,28.295499010761546,0.0068553025006848666,0.0068318822625362706,0.006856608411840515,0.0068331797223210632,0.87724270461027032,0.81626205687993825,1.2974597847926345e-06,0.0068519749799664156,0.0068285758663376318,446608.08000004647,1.0465720126137072e-13,1.490070500443712,0.00063005840214525499,-9.9999999999999995e-07,1.0000009999999999,0.0063247444903676894,0.0086865661166975697,1,1
32697,32400.31053943609,15.00008626095447,19,0.023392905366125354,15.627657887354994,0.0041172768334691561,31.956988037551042,0.0067677137687702201,0.0067448879252799392,0.0067680786197679716,0.0067452506711365061,0.88330076786788092,0.82697420073546368,3.6274585656689146e-07,0.0067658476773063006,0.0067430331853128448,446608.08000001602,3.6493171050042093e-14,1.5536923655432755,0.00054510140149930221,-9.9999999999999995e-07,1.0000009999999999,0.0062938629619892234,0.0084960127554989003,1,1
