merge_group_id,member_particle_ids,threshold_name,h_threshold,previous_step,step,stable_particle_ids,child_stable_id,overlap_detail,contact_end_step,group_classification
MG_P075_P081,P075+P081,low,0.0001,3633,7266,P075+P081,33,parent_id:overlap_voxels:parent_fraction:child_fraction=33:13339:1:0.39323722767607089+35:15009:1:0.44246926682586007,,PERSISTENT_STRONG_CORE_MERGE
MG_P075_P081,P075+P081,medium,0.001,7266,10899,P075+P081,33,parent_id:overlap_voxels:parent_fraction:child_fraction=33:12968:0.99946050096339112:0.39463193451203554+35:16172:1:0.49213353215057365,,PERSISTENT_STRONG_CORE_MERGE
MG_P075_P081,P075+P081,strong,0.005,7266,10899,P075+P081,33,parent_id:overlap_voxels:parent_fraction:child_fraction=33:11464:0.99947689625108982:0.38938894738629803+35:14435:1:0.49030263917665839,,PERSISTENT_STRONG_CORE_MERGE
MG_P090_P092,P090+P092,low,0.0001,65394,69027,P090+P092,63,parent_id:overlap_voxels:parent_fraction:child_fraction=63:108276:1:0.57250419030598487+69:75148:0.99863124742528342:0.39734146896001099,,PERSISTENT_STRONG_CORE_MERGE
MG_P090_P092,P090+P092,medium,0.001,69027,72660,P090+P092,63,parent_id:overlap_voxels:parent_fraction:child_fraction=63:103201:1:0.58157135450713437+69:69397:0.99784318518412007:0.39107476951513648,,PERSISTENT_STRONG_CORE_MERGE
MG_P090_P092,P090+P092,strong,0.005,72660,76293,P090+P092,63,parent_id:overlap_voxels:parent_fraction:child_fraction=63:100244:1:0.59105435077416535+69:65295:0.99615543045448307:0.38498956380231364,,PERSISTENT_STRONG_CORE_MERGE
