dissolution_group_id,member_particle_ids,member_count,interval_start_step,interval_end_step,interval_start_age_h,interval_end_age_h,interval_width_s,strong_first_absent_step,medium_first_absent_step,low_first_absent_step,last_medium_h_volume_nm3,last_medium_equivalent_radius_nm,legacy_temporal_qualified,qualification_class,exact_event_time_claimed
DG_P030,P030,1,3633,7266,7.000009584550496,8.000019169100993,3600.034504381788,7266,7266,7266,1930.7619279815308,7.724671845566627,0,NESTED_SAME_INTERVAL_FULL_SUPPORT_EXTINCTION,0
DG_P031,P031,1,3633,7266,7.000009584550496,8.000019169100993,3600.034504381788,7266,7266,7266,2313.0358807646694,8.20410582088381,0,NESTED_SAME_INTERVAL_FULL_SUPPORT_EXTINCTION,0
DG_P032,P032,1,3633,7266,7.000009584550496,8.000019169100993,3600.034504381788,7266,7266,7266,2191.10152971698,8.05733271605793,0,NESTED_SAME_INTERVAL_FULL_SUPPORT_EXTINCTION,0
DG_P033,P033,1,3633,7266,7.000009584550496,8.000019169100993,3600.034504381788,7266,7266,7266,1403.4178581464653,6.945435189030498,0,NESTED_SAME_INTERVAL_FULL_SUPPORT_EXTINCTION,0
DG_P041,P041,1,3633,7266,7.000009584550496,8.000019169100993,3600.034504381788,7266,7266,7266,2331.0578662691096,8.225358110933982,0,NESTED_SAME_INTERVAL_FULL_SUPPORT_EXTINCTION,0
DG_P042,P042,1,3633,7266,7.000009584550496,8.000019169100993,3600.034504381788,7266,7266,7266,2283.878530453589,8.16948721686814,0,NESTED_SAME_INTERVAL_FULL_SUPPORT_EXTINCTION,0
DG_P026,P026,1,7266,10899,8.000019169100993,9.00002875365149,3600.034504381788,10899,10899,10899,409.98446385114283,4.608500052657448,1,TEMPORAL_DECAY_AND_FULL_SUPPORT_EXTINCTION,0
DG_P034,P034,1,7266,10899,8.000019169100993,9.00002875365149,3600.034504381788,10899,10899,10899,1498.7108870144305,7.099205550869519,1,TEMPORAL_DECAY_AND_FULL_SUPPORT_EXTINCTION,0
DG_P035,P035,1,7266,10899,8.000019169100993,9.00002875365149,3600.034504381788,10899,10899,10899,138.59057433707594,3.210320276061264,1,TEMPORAL_DECAY_AND_FULL_SUPPORT_EXTINCTION,0
DG_P036,P036,1,7266,10899,8.000019169100993,9.00002875365149,3600.034504381788,10899,10899,10899,459.85382361063415,4.788252721832759,1,TEMPORAL_DECAY_AND_FULL_SUPPORT_EXTINCTION,0
DG_P037,P037,1,7266,10899,8.000019169100993,9.00002875365149,3600.034504381788,10899,10899,10899,1401.9421661615831,6.94299996337441,1,TEMPORAL_DECAY_AND_FULL_SUPPORT_EXTINCTION,0
DG_P038,P038,1,7266,10899,8.000019169100993,9.00002875365149,3600.034504381788,10899,10899,10899,2126.9864404357277,7.977963358347168,0,NESTED_SAME_INTERVAL_FULL_SUPPORT_EXTINCTION,0
DG_P039,P039,1,7266,10899,8.000019169100993,9.00002875365149,3600.034504381788,10899,10899,10899,742.5526691722947,5.617540576360293,1,TEMPORAL_DECAY_AND_FULL_SUPPORT_EXTINCTION,0
DG_P040,P040,1,7266,10899,8.000019169100993,9.00002875365149,3600.034504381788,10899,10899,10899,2661.2709145662543,8.596734073755286,0,NESTED_SAME_INTERVAL_FULL_SUPPORT_EXTINCTION,0
DG_P045,P045,1,7266,10899,8.000019169100993,9.00002875365149,3600.034504381788,10899,10899,10899,2776.346773452763,8.718900070885994,0,NESTED_SAME_INTERVAL_FULL_SUPPORT_EXTINCTION,0
