case,f_eta,gp_L_eta,L_eta_diff_ref_code,ratio_current_to_diff_ref,max_dphi_abs_max,max_deta_abs_max,mean_dphi_abs_mean,mean_deta_abs_mean,max_deta_over_dphi_abs_max,max_dxB_abs_max,max_xBtot_rel_delta,first_step_xB_clip,first_step_eta_far_gt_0p05,max_eta_far_field,recommendation
gp_eta_kinetic_scan_f1em5,1e-05,0.00047495061735,47.495061735,9.999999999999999e-06,0.00036940874255,0.0013142704674,1.3533700005896e-07,5.228818798967e-07,6.0272262047,8.1858069797e-05,9.4639310978e-06,-1,-1,0.00073646002972,baseline_candidate_if_xB_range_remains_stable
gp_eta_kinetic_scan_f1em4,0.0001,0.0047495061735,47.495061735,9.999999999999999e-05,0.00036940874255,0.0020978651964,1.1210220293081999e-07,3.6062943331596003e-06,95.969451388,0.00031813787904,3.9276408093e-05,-1,-1,0.0051942066448,aggressive_compare_against_baseline
gp_eta_kinetic_scan_f1em3,0.001,0.047495061735,47.495061735,0.001,0.00036940874255,0.019952761747,1.667390403371e-07,6.80202114736e-05,620.95613903,0.0012016783448,0.00056924546207,-1,-1,0.015593892281,needs_review
