step,V_h_nm3,R_eff_h_nm,eta_integral_nm3,xB_center_mean,xB_shell_mean,depletion_depth,center_shell_contrast
20,4.188774549590295,0.999998754197526,4.501949050000002,0.04536292,0.04244988750983007,0.00755011249016993,0.0029130324901699284
40,4.188775097380109,0.9999987977893612,4.5019581600000045,0.047638280000000005,0.048729127773788766,0.0012708722262112365,-0.0010908477737887612
60,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05514268,0.05010714569015625,-0.00010714569015624759,0.005035534309843749
80,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05743606,0.0494571672308271,0.000542832769172906,0.0079788927691729
100,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05670418,0.048861896604779964,0.0011381033952200387,0.007842283395220036
120,4.188775097386663,0.9999987977898827,4.5019586400000025,0.055581759999999994,0.04856971586829418,0.0014302841317058237,0.007012044131705815
140,4.188775097386663,0.9999987977898827,4.5019586400000025,0.054797759999999994,0.04854299928197764,0.0014570007180223637,0.006254760718022355
160,4.188775097386663,0.9999987977898827,4.5019586400000025,0.054458799999999995,0.048567563510787434,0.0014324364892125685,0.0058912364892125604
180,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05431496,0.048549997264676716,0.0014500027353232872,0.005764962735323287
200,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05417772,0.04853279994529353,0.0014672000547064704,0.005644920054706466
220,4.188775097386663,0.9999987977898827,4.5019586400000025,0.0540519,0.048541838479160264,0.0014581615208397389,0.005510061520839736
240,4.188775097386663,0.9999987977898827,4.5019586400000025,0.053963859999999995,0.048560469107942705,0.0014395308920572975,0.00540339089205729
260,4.188775097386663,0.9999987977898827,4.5019586400000025,0.053901,0.04857463945020002,0.0014253605497999838,0.005326360549799979
280,4.188775097386663,0.9999987977898827,4.5019586400000025,0.05384404,0.04858038089376688,0.0014196191062331234,0.005263659106233123
300,4.188775097386663,0.9999987977898827,4.5019586400000025,0.0537838,0.048575709645433715,0.0014242903545662877,0.005208090354566285
