case,gp_L_eta,step,eta_max,eta_integral,V_h_nm3,R_eff_h_nm,xB_min,xB_max,max_abs_delta_eta_vs_prev_sample,eta_rhs_chem_interface_mean,eta_rhs_elastic_interface_mean,eta_rhs_grad_interface_mean,eta_rhs_net_interface_mean,eta_evolution_drive_interface_mean,gp_minus_delta_mu_r_mean,gp_minus_delta_mu_r_min,gp_minus_delta_mu_r_max,xB_clip_count_high,xB_clip_count_low,gp_closure_error,dt_divJ_min,dt_divJ_max
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,750,1.0,71.92648932000002,35.10395764602866,2.0312146687277317,0.03701,0.04358,1.0,0.010652897615248819,0.0,0.0,0.010650805937915179,-0.010650805937915179,0.094178515482,-0.4096064734,166.22363369,0,0,-1.9688676558e-10,-7.6935248031e-05,6.4244480729e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,750,-0.0,0.0,0.0,0.0,0.03701,0.04358,1.0,nan,nan,nan,nan,nan,0.094178515482,-0.4096064734,166.22363369,0,0,-1.9688676558e-10,-7.6935248031e-05,6.4244480729e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,750,0.48901,4.24727779,0.18535153982419414,0.353700654139027,0.03701,0.04358,4.73633,0.12650505874880913,0.0,0.0,0.12650291203556685,-0.12650291203556685,0.094178515482,-0.4096064734,166.22363369,0,0,-1.9688676558e-10,-7.6935248031e-05,6.4244480729e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,750,0.48901,4.24727779,0.18535153982419414,0.353700654139027,0.03701,0.04358,0.0,0.12650505874880913,0.0,0.0,0.12650291203556685,-0.12650291203556685,0.094178515482,-0.4096064734,166.22363369,0,0,-1.9688676558e-10,-7.6935248031e-05,6.4244480729e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,750,0.0,0.0,0.0,0.0,0.03701,0.04358,4.73633,nan,nan,nan,nan,nan,0.094178515482,-0.4096064734,166.22363369,0,0,-1.9688676558e-10,-7.6935248031e-05,6.4244480729e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,750,0.48901,4.247695210000002,0.1853671345894161,0.35371057353143787,0.03701,0.04358,4.73633,0.12650505874880913,0.0,0.0,0.12650291203556685,-0.12650291203556685,0.094178515482,-0.4096064734,166.22363369,0,0,-1.9688676558e-10,-7.6935248031e-05,6.4244480729e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1000,-0.0,0.0,0.0,0.0,0.03701,0.04355,4.73633,nan,nan,nan,nan,nan,0.086955132587,-0.37854761869,165.49408233,0,0,1.5285917329e-10,-5.6105328406e-05,6.6978791583e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1000,0.44423,4.244172490000003,0.18585081124794425,0.35401795085864574,0.03701,0.04355,4.55128,0.1246841190990435,0.0,0.0,0.1246816599814872,-0.1246816599814872,0.086955132587,-0.37854761869,165.49408233,0,0,1.5285917329e-10,-5.6105328406e-05,6.6978791583e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1000,0.0,0.0,0.0,0.0,0.03701,0.04355,4.55128,nan,nan,nan,nan,nan,0.086955132587,-0.37854761869,165.49408233,0,0,1.5285917329e-10,-5.6105328406e-05,6.6978791583e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1000,1.0,70.94265886000002,35.10427562594618,2.031220801782862,0.03701,0.04355,1.0,0.010564517991281126,0.0,0.0,0.01056253322742255,-0.01056253322742255,0.086955132587,-0.37854761869,165.49408233,0,0,1.5285917329e-10,-5.6105328406e-05,6.6978791583e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1000,0.44423,4.24378248,0.1858354271722706,0.35400818246934884,0.03701,0.04355,5.52003,0.1246841190990435,0.0,0.0,0.1246816599814872,-0.1246816599814872,0.086955132587,-0.37854761869,165.49408233,0,0,1.5285917329e-10,-5.6105328406e-05,6.6978791583e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1000,0.0,0.0,0.0,0.0,0.03701,0.04355,4.55128,nan,nan,nan,nan,nan,0.086955132587,-0.37854761869,165.49408233,0,0,1.5285917329e-10,-5.6105328406e-05,6.6978791583e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1000,0.44423,4.24378248,0.1858354271722706,0.35400818246934884,0.03701,0.04355,4.55128,0.1246841190990435,0.0,0.0,0.1246816599814872,-0.1246816599814872,0.086955132587,-0.37854761869,165.49408233,0,0,1.5285917329e-10,-5.6105328406e-05,6.6978791583e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1250,0.0,0.0,0.0,0.0,0.03701,0.04358,4.55128,nan,nan,nan,nan,nan,0.08080959562,-0.38624108236,166.20374826,0,0,1.5311964487e-11,-4.4396277294e-05,6.2012566585e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1250,1.0,70.03509034000002,35.10460638643661,2.031227181304696,0.03701,0.04358,1.0,0.010629235525866127,0.0,0.0,0.010627162947248962,-0.010627162947248962,0.08080959562,-0.38624108236,166.20374826,0,0,1.5311964487e-11,-4.4396277294e-05,6.2012566585e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1250,0.42149,4.246855860000002,0.1904561094598699,0.35691825943062605,0.03701,0.04358,5.25125,0.12335691456145331,0.0,0.0,0.12335430598921374,-0.12335430598921374,0.08080959562,-0.38624108236,166.20374826,0,0,1.5311964487e-11,-4.4396277294e-05,6.2012566585e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1250,0.42149,4.246460340000001,0.19043961987763977,0.3569079585396655,0.03701,0.04358,1.0000000000065512e-05,0.12335691456145331,0.0,0.0,0.12335430598921374,-0.12335430598921374,0.08080959562,-0.38624108236,166.20374826,0,0,1.5311964487e-11,-4.4396277294e-05,6.2012566585e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1250,-0.0,0.0,0.0,0.0,0.03701,0.04358,4.28147,nan,nan,nan,nan,nan,0.08080959562,-0.38624108236,166.20374826,0,0,1.5311964487e-11,-4.4396277294e-05,6.2012566585e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,1250,0.42149,4.246460340000001,0.19043961987763977,0.3569079585396655,0.03701,0.04358,4.28147,0.12335691456145331,0.0,0.0,0.12335430598921374,-0.12335430598921374,0.08080959562,-0.38624108236,166.20374826,0,0,1.5311964487e-11,-4.4396277294e-05,6.2012566585e-05
