step,time_code,eta_max,eta_integral,V_h_nm3,R_eff_h_nm,dV_h_dt,dR_eff_h_dt,xB_min,xB_max,xB_clip_count_high,xB_clip_count_low,total_relative_drift,gp_closure_error,max_abs_dt_divJ,gp_minus_delta_mu_r_mean,gp_minus_delta_mu_r_min,gp_minus_delta_mu_r_max,eta_evolution_drive_interface_mean,eta_rhs_chem_interface_mean,eta_rhs_elastic_interface_mean,eta_rhs_grad_interface_mean,eta_rhs_net_interface_mean,depletion_depth,center_shell_contrast,NaN_or_Inf
1000,10.0,0.40024,1.1480254500000002,0.5472545620462744,0.5074192360418619,2.365758811295138e-05,7.419809530293031e-06,0.00411,0.01204,0,0,-3.146782752000127e-05,-1.1287599768e-06,0.00076695377532,-0.10702952392578122,-0.11507,0.01583,nan,nan,nan,0.0,nan,0.021773210927616506,-0.004071129072383494,0
5000,50.0,0.40024,1.1480385900000005,0.5472545174405796,0.5074192222555975,-1.115142370111677e-11,-3.4465660880833583e-12,0.00359,0.00749,0,0,-0.029134440632683643,4.5466397541e-11,2.8341230995e-06,-0.05555630685311777,-0.05873,0.0331,nan,nan,nan,0.0,nan,0.02280487981673334,-0.0035151001832666594,0
10000,100.0,0.40024,1.148058330000001,0.5472549699742818,0.5074193621199743,9.050674043553641e-11,2.79728753493913e-11,0.00384,0.0075,0,0,-0.029132073241524215,7.0582677207e-12,5.2691003112e-07,-0.05561127974898726,-0.05878,0.02462,nan,nan,nan,0.0,nan,0.022769303176394157,-0.0033132168236058405,0
