r_nm_lo,r_nm_hi,count,eta,xB,eta_rhs_chem,eta_rhs_dw,eta_rhs_elastic,eta_rhs_grad,eta_rhs_net_explicit,eta_rhs_full_variational,eta_evolution_drive
0.0,0.05,1,0.99902,0.05384,-0.01001,0.0,0.0,0.0,-0.01001,-0.01001,0.01001
0.05,0.1,3,0.99924,0.0535,-0.006009999999999999,0.0,0.0,0.0,-0.006009999999999999,-0.006009999999999999,0.006009999999999999
0.1,0.15000000000000002,15,0.9995040000000001,0.053244,-0.002697999999999999,0.0,0.0,0.0,-0.002697999999999999,-0.002697999999999999,0.002697999999999999
0.15000000000000002,0.2,11,0.9997190909090908,0.052925454545454546,-0.0029072727272727267,0.0,0.0,0.0,-0.0029072727272727267,-0.0029072727272727267,0.0029072727272727267
0.2,0.25,51,0.9996805882352942,0.05261058823529412,-0.001996470588235294,0.0,0.0,0.0,-0.001996470588235294,-0.001996470588235294,0.001996470588235294
0.25,0.30000000000000004,33,0.9993809090909092,0.052289999999999996,-0.007142727272727273,0.0,0.0,0.0,-0.007142727272727273,-0.007142727272727273,0.007142727272727273
0.30000000000000004,0.35000000000000003,65,0.9986635384615384,0.052176153846153844,-0.019842923076923077,0.0,0.0,0.0,-0.019842923076923077,-0.019842923076923077,0.019842923076923077
0.35000000000000003,0.4,75,0.9977844000000001,0.0518048,-0.0474672,0.0,0.0,0.0,-0.0474672,-0.0474672,0.0474672
0.4,0.45,135,0.9962633333333336,0.051220444444444437,-0.133248,0.0,0.0,0.0,-0.133248,-0.133248,0.133248
0.45,0.5,102,0.9946035294117647,0.05063941176470588,-0.26714058823529413,0.0,0.0,0.0,-0.26714058823529413,-0.26714058823529413,0.26714058823529413
0.5,0.55,248,0.9906871774193546,0.04983137096774194,-0.7465763709677419,0.0,0.0,0.0,-0.7465763709677419,-0.7465763709677419,0.7465763709677419
0.55,0.6000000000000001,177,0.9836777966101695,0.04915372881355931,-2.142578192090395,0.0,0.0,0.0,-2.142578192090395,-2.142578192090395,2.142578192090395
