xB,mu_A_raw,mu_B_raw,mu_GP0_raw,minus_Delta_mu_r_GP_raw,mu_B_minus_mu_A_raw
0.01,-152722.60640923295,-151293.93344191517,-150351.39498393127,-1871.1758867404424,1428.672967317776
0.01049049049049049,-152725.00191682618,-151062.46275926064,-150351.39498393127,-1791.7182277469547,1662.5391575655376
0.010980980980980982,-152727.38460127934,-150842.8627183366,-150351.39498393127,-1716.4069583181117,1884.5218829427322
0.011471471471471472,-152729.7544639162,-150634.09427084823,-150351.39498393127,-1644.8784124111407,2095.6601930679753
0.011961961961961962,-152732.11150606268,-150435.24894140445,-150351.39498393127,-1576.814624501043,2296.8625646582223
0.012452452452452453,-152734.45572904646,-150245.5278262155,-150351.39498393127,-1511.9359791243623,2488.9279028309684
0.012942942942942943,-152736.78713419737,-150064.22465138257,-150351.39498393127,-1449.9952812809206,2672.5624828147993
0.013433433433433433,-152739.10572284705,-149890.71198405296,-150351.39498393127,-1390.7729303378437,2848.3937387940823
0.013923923923923925,-152741.4114963293,-149724.429917533,-150351.39498393127,-1334.072959819343,3016.981578796287
0.014414414414414415,-152743.7044559798,-149564.87671611452,-150351.39498393127,-1279.7197630956944,3178.8277398652863
0.014904904904904905,-152745.98460313628,-149411.60102591172,-150351.39498393127,-1227.555367176421,3334.3835772245657
0.015395395395395396,-152748.25193913846,-149264.19534730248,-150351.39498393127,-1177.4371480646078,3484.056591835979
0.015885885885885888,-152750.50646532798,-149122.29053143834,-150351.39498393127,-1129.2359045353369,3628.2159338896454
0.016376376376376376,-152752.74818304868,-148985.5511138829,-150351.39498393127,-1082.8342249093694,3767.1970691657916
0.016866866866866868,-152754.9770936462,-148853.67133707734,-150351.39498393127,-1038.1250949158275,3901.3057565688505
0.017357357357357356,-152757.19319846825,-148726.37174310625,-150351.39498393127,-995.0107051602681,4030.821455361991
0.017847847847847848,-152759.39649886466,-148603.3962413693,-150351.39498393127,-953.4014248100284,4156.000257495354
0.01833833833833834,-152761.58699618722,-148484.50957387604,-150351.39498393127,-913.2149144470459,4277.07742231118
0.01882882882882883,-152763.76469178972,-148369.49511516807,-150351.39498393127,-874.375356040895,4394.269576621649
0.019319319319319322,-152765.929587028,-148258.15295521638,-150351.39498393127,-836.8127819626534,4507.776631811605
0.01980980980980981,-152768.0816832599,-148150.2982227119,-150351.39498393127,-800.4624881368363,4617.783460548002
0.0203003003003003,-152770.2209818454,-148045.75961345944,-150351.39498393127,-765.2645189790346,4724.461368385964
0.02079079079079079,-152772.34748414642,-147944.3780944857,-150351.39498393127,-731.1632138338755,4827.9693896607205
0.021281281281281282,-152774.461191527,-147846.0057592704,-150351.39498393127,-698.1068063059065,4928.455432256596
0.021771771771771774,-152776.56210535316,-147750.50481343342,-150351.39498393127,-666.0470692499948,5026.057291919744
0.022262262262262262,-152778.650226993,-147657.74667343515,-150351.39498393127,-634.9389993164805,5120.903553557844
0.022752752752752754,-152780.72555781677,-147567.6111635082,-150351.39498393127,-604.7405358774995,5213.114394308563
0.023243243243243242,-152782.78809919662,-147479.9857982472,-150351.39498393127,-575.4123099330463,5302.802300949435
0.023733733733733733,-152784.8378525069,-147394.76514012134,-150351.39498393127,-546.9174192406936,5390.072712385561
0.024224224224224225,-152786.87481912397,-147311.85022271168,-150351.39498393127,-519.2212264483969,5475.024596412288
0.024714714714714717,-152788.8990004263,-147231.148031767,-150351.39498393127,-492.2911774642416,5557.750968659297
0.025205205205205205,-152790.91039779442,-147152.57103725875,-150351.39498393127,-466.0966376756551,5638.339360535669
0.025695695695695693,-152792.9090126109,-147076.03677053726,-150351.39498393127,-440.6087439538678,5716.872242073645
0.026186186186186185,-152794.8948462605,-147001.46744147077,-150351.39498393127,-415.8002706528059,5793.42740478972
0.026676676676676676,-152796.86790013,-146928.7895911149,-150351.39498393127,-391.6455080434389,5868.07830901508
0.027167167167167168,-152798.82817560827,-146857.93377602767,-150351.39498393127,-368.120151823794,5940.894399580604
0.02765765765765766,-152800.77567408636,-146788.83428083223,-150351.39498393127,-345.201202516153,6011.941393254121
0.028148148148148144,-152802.71039695732,-146721.4288560468,-150351.39498393127,-322.86687370736036,6081.28154091051
0.028638638638638643,-152804.6323456164,-146655.65847856324,-150351.39498393127,-301.0965082165203,6148.973867053166
0.029129129129129128,-152806.5415214609,-146591.4671324656,-150351.39498393127,-279.8705013812869,6215.074388995301
0.02961961961961962,-152808.43792589026,-146528.80160815077,-150351.39498393127,-259.17023075016914,6279.636317739496
0.03011011011011011,-152810.3215603061,-146467.61131794722,-150351.39498393127,-238.97799154921086,6342.71024235888
0.030600600600600596,-152812.19242611201,-146407.84812663234,-150351.39498393127,-219.27693736285437,6404.344299479679
0.031091091091091094,-152814.0505247139,-146349.46619542647,-150351.39498393127,-200.0510255320405,6464.584329287434
0.03158158158158158,-152815.89585751973,-146292.42183819786,-150351.39498393127,-181.28496682579862,6523.474019321875
0.03207207207207207,-152817.7284259396,-146236.67338874933,-150351.39498393127,-162.96417899173684,6581.055037190265
0.03256256256256256,-152819.54823138568,-146182.18107817738,-150351.39498393127,-145.0747438315011,6637.367153208295
0.033053053053053054,-152821.35527527245,-146128.9069213997,-150351.39498393127,-127.60336748571717,6692.448353872751
0.033543543543543546,-152823.14955901643,-146076.81461204166,-150351.39498393127,-110.53734364398406,6746.334946974763
0.03403403403403403,-152824.93108403627,-146025.86942495205,-150351.39498393127,-93.8645194255223,6799.0616590842255
0.03452452452452452,-152826.69985175293,-145976.03812569467,-150351.39498393127,-77.5732637012843,6850.661726058257
0.035015015015015014,-152828.45586358936,-145927.28888642424,-150351.39498393127,-61.65243765030755,6901.166977165121
0.035505505505505505,-152830.1991209708,-145879.59120761382,-150351.39498393127,-46.09136736457003,6950.607913356973
0.035995995995996,-152831.92962532464,-145832.91584515234,-150351.39498393127,-30.87981833308004,6999.013780172303
0.03648648648648649,-152833.64737808038,-145787.23474237585,-150351.39498393127,-16.00797165252152,7046.412635704532
0.03697697697697697,-152835.35238066982,-145742.52096663724,-150351.39498393127,-1.4664018271723762,7092.831414032582
0.037467467467467465,-152837.0446345269,-145698.7486500556,-150351.39498393127,12.753943969320972,7138.295984471275
0.037957957957957957,-152838.72414108767,-145655.8929341189,-150351.39498393127,26.661765282653505,7182.831206968782
0.03844844844844845,-152840.39090179047,-145613.92991784314,-150351.39498393127,40.265426522353664,7226.460983947327
0.03893893893893894,-152842.04491807584,-145572.83660921775,-150351.39498393127,53.572973955771886,7269.2083088580985
0.03942942942942943,-152843.6861913865,-145532.59087968993,-150351.39498393127,66.59215163855697,7311.095311696583
0.03991991991991992,-152845.3147231674,-145493.17142146282,-150351.39498393127,79.33041636049165,7352.143301704578
0.04041041041041041,-152846.93051486564,-145454.55770740117,-150351.39498393127,91.7949516781955,7392.372807464475
0.0409009009009009,-152848.53356793063,-145416.72995335585,-150351.39498393127,103.99268110180856,7431.803614574776
0.04139139139139139,-152850.12388381397,-145379.66908273406,-150351.39498393127,115.93028049526038,7470.454801079904
0.04188188188188188,-152851.70146396948,-145343.35669315647,-150351.39498393127,127.61418974635308,7508.344770813012
0.04237237237237237,-152853.2663098532,-145307.7750250558,-150351.39498393127,139.05062375715352,7545.491284797405
0.042862862862862866,-152854.81842292345,-145272.90693208226,-150351.39498393127,150.24558280222118,7581.911490841187
0.04335335335335336,-152856.35780464075,-145238.73585319295,-150351.39498393127,161.20486229725066,7617.6219514478
0.04384384384384385,-152857.88445646787,-145205.24578631134,-150351.39498393127,171.9340620181756,7652.638670156535
0.044334334334334334,-152859.3983798699,-145172.42126345186,-150351.39498393127,182.43859480769606,7686.977116418042
0.044824824824824826,-152860.89957631406,-145140.24732721335,-150351.39498393127,192.72369480246562,7720.652249100705
0.04531531531531532,-152862.38804726998,-145108.70950855128,-150351.39498393127,202.79442521283636,7753.678538718697
0.0458058058058058,-152863.8637942094,-145077.7938057469,-150351.39498393127,212.65568568374147,7786.069988462521
0.046296296296296294,-152865.3268186065,-145047.48666449625,-150351.39498393127,222.31221926334547,7817.84015411025
0.046786786786786785,-152866.77712193754,-145017.7749590485,-150351.39498393127,231.76861900489894,7849.002162889054
0.047277277277277284,-152868.21470568125,-144988.64597432775,-150351.39498393127,241.0293342237419,7879.568731353502
