case,gp_L_eta,steps_completed,eta_max_initial,eta_max_final,eta_integral_initial,eta_integral_final,V_h_initial_nm3,V_h_final_nm3,R_eff_h_initial_nm,R_eff_h_final_nm,relative_change_V_h,relative_change_R_eff_h,relative_change_eta_integral,max_abs_delta_eta_per_sample,xB_min_final,xB_max_final,xB_clip_count_high_total,xB_clip_count_low_total,total_relative_drift_final,gp_closure_error_final,max_abs_dt_divJ,gp_minus_delta_mu_r_mean_last,gp_minus_delta_mu_r_min_last,gp_minus_delta_mu_r_max_last,eta_rhs_chem_interface_mean_final,eta_rhs_elastic_interface_mean_final,eta_rhs_grad_interface_mean_final,eta_rhs_net_interface_mean_final,eta_evolution_drive_interface_mean_final,nan_or_inf_detected,classification
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,5000,0.99995,0.21642,4.500456730000002,3.3811030200000003,4.188790960736316,0.2288439577673147,1.0000000601565802,0.37944626322952985,-0.945367539246435,-0.6205537595966583,-0.24872002491178288,9.86648,0.037015090775,0.043332976505,0,0,nan,-2.1437223738e-10,0.14043681102,0.018356719574,-0.35001389612,160.75964495,0.1194212975508077,0.0,0.0,0.1194182490880667,-0.1194182490880667,0,unstable
step35_Leta1e-2_xB05_eta1_R1_dep2_N96,nan,5000,0.99995,0.21104,4.500456730000002,0.44139005000000026,4.188790960736316,0.2249572212921792,1.0000000601565802,0.3772857855267212,-0.946295429062749,-0.6227142371695,-0.9019232765737535,164.10496,0.037017048059,0.038450551366,0,0,nan,2.9907729417e-13,0.010483408381,-0.17636951202,-0.29272632604,40.325865053,0.12871571093082834,0.0,0.0,0.12871276579846283,-0.12871276579846283,0,relaxation/shrink
step35_Leta1e-3_xB05_eta1_R1_dep2_N96,nan,5000,0.99995,0.33539,4.500456730000002,0.06205453000000001,4.188790960736316,0.11520573971030822,1.0000000601565802,0.3018527724879395,-0.9724966605423401,-0.6981472456704899,-0.9862115039155148,396.85982,0.036967438754,0.038212473814,0,0,nan,-1.1740863794e-10,0.0086353899471,-0.1403554617,-1.7473672633,33.762460152,0.1220959289248763,0.0,0.0,0.12209288798920374,-0.12209288798920374,0,relaxation/shrink
step35_Leta1e-4_xB05_eta1_R1_dep2_N96,nan,5000,0.99995,-0.0,4.500456730000002,-1170.9420860199991,4.188790960736316,0.0,1.0000000601565802,0.0,-1.0,-1.0,-261.18294503633604,478.97664000000003,0.045983039888,0.04950189627,0,0,nan,1.7125372146e-10,0.0086131575459,220.49650049,216.17545962,280.70917218,nan,nan,nan,nan,nan,0,relaxation/shrink
