xB,mu_A_raw,mu_B_raw,mu_GP0_raw,minus_Delta_mu_r_raw,mu_B_minus_mu_A_raw,mu_A_code,mu_B_code,mu_GP0_code,minus_Delta_mu_r_code,mu_B_minus_mu_A_code,branch_label
0.0001,-152671.5122894917,-175723.08631887953,-150351.39498393127,-10388.168215846177,-23051.574029387848,-152671.5122894917,-175723.08631887953,-148913.72033267867,-11825.842867098778,-23051.574029387848,shared_regular_solution_region
0.00010042698167614354,-152671.51460596902,-175699.97317640678,-150351.39498393127,-10380.08012169096,-23028.458570437768,-152671.51460596902,-175699.97317640678,-148913.72033267867,-11817.754772943561,-23028.458570437768,shared_regular_solution_region
0.00010085578648580458,-152671.51693232747,-175676.8601411985,-150351.39498393127,-10371.992071501067,-23005.343208871025,-152671.51693232747,-175676.8601411985,-148913.72033267867,-11809.666722753667,-23005.343208871025,shared_regular_solution_region
0.00010128642221342941,-152671.51926860918,-175653.74721371272,-150351.39498393127,-10363.904065464158,-22982.227945103543,-152671.51926860918,-175653.74721371272,-148913.72033267867,-11801.578716716758,-22982.227945103543,shared_regular_solution_region
0.00010171889667670202,-152671.5216148564,-175630.63439440925,-150351.39498393127,-10355.816103768622,-22959.112779552845,-152671.5216148564,-175630.63439440925,-148913.72033267867,-11793.490755021223,-22959.112779552845,shared_regular_solution_region
0.00010215321772668692,-152671.5239711116,-175607.52168374992,-150351.39498393127,-10347.728186603752,-22935.997712638316,-152671.5239711116,-175607.52168374992,-148913.72033267867,-11785.402837856353,-22935.997712638316,shared_regular_solution_region
0.00010258939324797077,-152671.52633741748,-175584.40908219852,-150351.39498393127,-10339.640314159566,-22912.882744781033,-152671.52633741748,-175584.40908219852,-148913.72033267867,-11777.314965412166,-22912.882744781033,shared_regular_solution_region
0.00010302743115880644,-152671.52871381678,-175561.29659022082,-150351.39498393127,-10331.552486626926,-22889.767876404047,-152671.52871381678,-175561.29659022082,-148913.72033267867,-11769.227137879527,-22889.767876404047,shared_regular_solution_region
0.00010346733941125593,-152671.53110035256,-175538.1842082846,-150351.39498393127,-10323.464704197511,-22866.65310793204,-152671.53110035256,-175538.1842082846,-148913.72033267867,-11761.139355450112,-22866.65310793204,shared_regular_solution_region
0.00010390912599133512,-152671.53349706804,-175515.0719368596,-150351.39498393127,-10315.376967063814,-22843.538439791562,-152671.53349706804,-175515.0719368596,-148913.72033267867,-11753.051618316415,-22843.538439791562,shared_regular_solution_region
0.00010435279891915903,-152671.53590400654,-175491.95977641759,-150351.39498393127,-10307.289275419142,-22820.423872411047,-152671.53590400654,-175491.95977641759,-148913.72033267867,-11744.963926671742,-22820.423872411047,shared_regular_solution_region
0.00010479836624908662,-152671.53832121164,-175468.84772743238,-150351.39498393127,-10299.201629457646,-22797.30940622074,-152671.53832121164,-175468.84772743238,-148913.72033267867,-11736.876280710247,-22797.30940622074,shared_regular_solution_region
0.00010524583606986801,-152671.5407487271,-175445.73579037972,-150351.39498393127,-10291.114029374236,-22774.195041652623,-152671.5407487271,-175445.73579037972,-148913.72033267867,-11728.788680626836,-22774.195041652623,shared_regular_solution_region
0.0001056952165047903,-152671.54318659683,-175422.6239657375,-150351.39498393127,-10283.026475364779,-22751.08077914067,-152671.54318659683,-175422.6239657375,-148913.72033267867,-11720.70112661738,-22751.08077914067,shared_regular_solution_region
0.000106146515711826,-152671.54563486497,-175399.51225398554,-150351.39498393127,-10274.938967625902,-22727.96661912056,-152671.54563486497,-175399.51225398554,-148913.72033267867,-11712.613618878502,-22727.96661912056,shared_regular_solution_region
0.00010659974188378031,-152671.5480935758,-175376.40065560577,-150351.39498393127,-10266.851506355015,-22704.852562029962,-152671.5480935758,-175376.40065560577,-148913.72033267867,-11704.526157607615,-22704.852562029962,shared_regular_solution_region
0.00010705490324844024,-152671.5505627739,-175353.28917108217,-150351.39498393127,-10258.76409175052,-22681.738608308282,-152671.5505627739,-175353.28917108217,-148913.72033267867,-11696.43874300312,-22681.738608308282,shared_regular_solution_region
0.00010751200806872426,-152671.55304250383,-175330.17780090077,-150351.39498393127,-10250.676724011486,-22658.624758396938,-152671.55304250383,-175330.17780090077,-148913.72033267867,-11688.351375264087,-22658.624758396938,shared_regular_solution_region
0.00010797106464283156,-152671.5555328105,-175307.06654554972,-150351.39498393127,-10242.589403337974,-22635.51101273921,-152671.5555328105,-175307.06654554972,-148913.72033267867,-11680.264054590574,-22635.51101273921,shared_regular_solution_region
0.00010843208130439355,-152671.55803373904,-175283.9554055192,-150351.39498393127,-10234.502129930828,-22612.397371780156,-152671.55803373904,-175283.9554055192,-148913.72033267867,-11672.176781183429,-22612.397371780156,shared_regular_solution_region
0.00010889506642262424,-152671.56054533462,-175260.8443813015,-150351.39498393127,-10226.41490399174,-22589.283835966868,-152671.56054533462,-175260.8443813015,-148913.72033267867,-11664.08955524434,-22589.283835966868,shared_regular_solution_region
0.00010936002840247319,-152671.56306764277,-175237.73347339098,-150351.39498393127,-10218.327725723357,-22566.170405748213,-152671.56306764277,-175237.73347339098,-148913.72033267867,-11656.002376975957,-22566.170405748213,shared_regular_solution_region
0.0001098269756847771,-152671.56560070906,-175214.62268228416,-150351.39498393127,-10210.240595329087,-22543.057081575098,-152671.56560070906,-175214.62268228416,-148913.72033267867,-11647.915246581688,-22543.057081575098,shared_regular_solution_region
