gamma_J_m2,l_eta_nm,W_eta_J_m3,kappa_eta_J_m,expected_interface_width_nm,expected_gamma_check_J_m2
0.05,1.0,659167373.2008659,6.826794199701281e-11,1.0,0.05000000000000001
0.10,1.0,1318334746.4017317,1.3653588399402561e-10,1.0,0.10000000000000002
0.20,1.0,2636669492.8034635,2.7307176798805123e-10,1.0,0.20000000000000004
