case,steps_completed,V_h_init_nm3,V_h_final_nm3,R_eff_h_init_nm,R_eff_h_final_nm,eta_max_init,eta_max_final,eta_integral_init,eta_integral_final,xB_min_final,xB_max_final,total_relative_drift_final,gp_closure_error_final,max_abs_dt_divJ_overall,gp_minus_delta_mu_r_mean_final,gp_minus_delta_mu_r_min_final,gp_minus_delta_mu_r_max_final,depletion_depth_final,center_shell_contrast_final,xB_clip_count_high_total,xB_clip_count_low_total,relative_reff_change_5000_to_10000,classification
A,10000,0.523596973933323,0.5472549699742818,0.49999942651156887,0.5074193621199743,0.3999,0.40024,1.0889466000000003,1.148058330000001,0.00384,0.0075,-0.00034489082119478615,7.0582677207e-12,0.00076695377532,-0.05561127974898726,-0.05878,0.02462,0.022769303176394157,-0.0033132168236058405,0,0,2.756387038812336e-07,embryo_not_matured
B,10000,4.188790960736316,45.59593567720144,1.0000000601565802,2.216218152082544,0.99995,1.0,4.500456730000002,51.58419334000002,0.00254,0.03327,0.0009221506125805539,-3.8941728747e-08,0.0010007804849,-0.013348107277199069,-0.21988,0.07772,0.022192290491332443,-0.005004949508667556,0,0,0.8338085859264706,growth_like_non_saturated
