metric,case_mean,case_min,case_max,range,range_percent_of_case_mean,status
final_mean_radius_nm,24.959684164246813,24.561093171114106,25.402071215458978,0.8409780443448724,3.3693456968879474,COMPLETE_CHECKPOINT_CONDITIONAL_ANALYSIS
final_Sv_m_inv,2612596.3641879857,2539656.6056934342,2665439.041558847,125782.43586541247,4.814461108097981,COMPLETE_CHECKPOINT_CONDITIONAL_ANALYSIS
final_M6_nm3,143.986004734678,126.18343465178994,168.74602198895803,42.5625873371681,29.56022525633507,COMPLETE_CHECKPOINT_CONDITIONAL_ANALYSIS
delta_kappa_MI_573p15K_W_mK,0.033747361115730956,0.03329902905729287,0.0344089969491,0.0011099678918071246,3.289050921642953,COMPLETE_CHECKPOINT_CONDITIONAL_ANALYSIS_WITHIN_FROZEN_V2
