replicate,step,elapsed_physical_time_s,experimental_age_h,particle_count,beta_volume_fraction,mean_radius_nm,Sv_nm_inv,M6_nm3,far_field_matrix_xB,far_field_matrix_xAg,far4_matrix_xB,far4_matrix_xAg,far3_fraction,far4_fraction,far3_far4_xAg_delta,broad_matrix_xB,broad_matrix_xAg,canonical_inventory_code,mass_relative_error,phi_normalized_l1_from_initial,xB_mean_absolute_from_initial,phi_min,phi_max,xB_min,xB_max,finite,bounds,mean_elastic_energy,max_elastic_energy,stress_hydro_min,stress_hydro_max
replicate_A,0,0,6,96,0.023350901241018841,9.4582763241804013,0.0073015567081069072,5.1275489055522465,0.0068110728566174285,0.0067879561475944188,0.0068123327953855612,0.006789207567810554,0.74554240039723418,0.58634362369798598,1.2514202161351823e-06,0.0068085716766665321,0.0067854717672894251,446608.08000004309,9.6576570528861353e-14,0,0,0,0.99959300668436757,0.0065861004106428055,0.0069726671256089235,1,1,,,,
replicate_A,256,253.67708040785513,6.0704658556688482,96,0.022577760228059809,9.3394361510351391,0.0071295442702620088,4.8481878825888165,0.0075822991432299997,0.0075536566596551549,0.0075745700455680373,0.0075459858965755185,0.74946913186165376,0.59128379405943576,7.6707630796363571e-06,0.0075921156484291081,0.0075633983665423909,446608.07999997074,6.4775378613824726e-14,0.035094567185143193,0.00078886076369316779,-9.9999999999999995e-07,0.99966802631305429,0.0071387409114772385,0.0087473971892699648,1,1,,,,
replicate_A,512,507.35416081571026,6.1409317113376973,96,0.022481110220049914,9.3138461164565509,0.007100111449645171,4.8551702529789145,0.0076932550728916636,0.0076637728276694357,0.0076940600669623445,0.0076645719483818316,0.75020145179639386,0.59229373996099666,7.9912071239592042e-07,0.0076920590686632333,0.0076625848240644123,446608.08000001381,3.167085916128654e-14,0.044535481743701116,0.00088311991506243622,-9.9999999999999995e-07,0.99972797408505099,0.0070022515387874688,0.0089434345898678526,1,1,0.0010612669942,0.040639810713,-3.0481965542,2.9001767933
replicate_A,1024,1014.7083216314205,6.2818634226753947,96,0.022471444610445149,9.2812031027077779,0.007075246821466011,4.9680987488116211,0.0077031922283242408,0.0076736337414216203,0.0077033245434777881,0.0076737654537260922,0.75104487585625412,0.59343648686338146,1.3171230447191901e-07,0.0077020300475236095,0.0076724789180927433,446608.07999992982,1.5639930450018042e-13,0.07383784704675328,0.0008929890629452154,-9.9999999999999995e-07,0.99987042653628611,0.0071208462737377106,0.0094100351335228097,1,1,0.0010604534453,0.041088986644,-3.0493377447,2.9238697588
replicate_A,1536,1522.0624824471308,6.422795134013092,96,0.022462911076211439,9.2322802434374918,0.007039875749993099,5.123422771577169,0.0077124335242624922,0.0076828034759114441,0.007712623136681326,0.007682992213401285,0.75200518091835689,0.59481306294324099,1.88737489840822e-07,0.0077108544332025915,0.0076812343587513822,446608.0799999031,2.1622203847149945e-13,0.11328166524000652,0.00090116625302311907,-9.9999999999999995e-07,0.99991071111144303,0.0070752331692485078,0.010624257328224418,1,1,0.0010593096787,0.040516930027,-3.0790493488,2.9379195869
replicate_A,2048,2029.416643262841,6.5637268453507893,95,0.022456915503906851,9.2135270329701946,0.0069793033085210473,5.3405210077523888,0.0077196059252130052,0.0076899196805157383,0.0077200903724376222,0.0076904011307959361,0.75421302274692392,0.5983563709819133,4.8145028019776909e-07,0.0077172110366835849,0.007687540545479263,446608.0799999928,1.5379264942517741e-14,0.16223090943587581,0.00090655044698191209,-9.9999999999999995e-07,0.99990904162899363,0.0070163551122194552,0.010622937319615283,1,1,0.0010580311026,0.039050041915,-3.1070729494,2.9393415153
replicate_A,2560,2536.7708040785515,6.7046585566884866,94,0.022449502167103841,9.1575106893057683,0.006898783082490016,5.6164952855302976,0.0077286629522147965,0.0076989043751468375,0.007729996824483343,0.0077002290742742459,0.75724326348954552,0.60336868513440245,1.3246991274083394e-06,0.0077250373903725422,0.0076953027323285001,446608.07999994728,1.1729947837513531e-13,0.21803658101846601,0.00091330200486094959,-9.9999999999999995e-07,0.9999949021305955,0.0069425167963609808,0.016404344463742775,1,1,0.0010569875772,0.038978237578,-3.107885778,2.9430951178
replicate_A,3072,3044.1249648942617,6.845590268026184,91,0.022441129584620557,9.1687567452672383,0.0067757393157711855,5.9690840451047036,0.0077408138685316208,0.0077109586402950639,0.0077439143663503183,0.0077140363061074012,0.76298097875882587,0.61298315516369517,3.0776658123373227e-06,0.0077341780027226905,0.007704368782118525,446608.0799999442,1.242071143238933e-13,0.28214848893664368,0.00092062063188696997,-9.9999999999999995e-07,1.0000009999999999,0.0069037206422015657,0.019823700786273171,1,1,0.0010559142711,0.037508854853,-3.1133192778,2.9398538172
replicate_A,3584,3551.4791257099719,6.9865219793638813,88,0.022472031729409047,9.2304494167436797,0.0066725769353346955,6.3541029234835955,0.0077086951328907121,0.0076790849280318702,0.0077113682608706104,0.0076817392152867215,0.76785552110924638,0.62116274295798679,2.6542872548513535e-06,0.0077026927202461827,0.0076731228637097783,446608.08000006404,1.4414802564766631e-13,0.34501968628945118,0.00088931648152340028,-9.9999999999999995e-07,1.0000009999999999,0.0068994191732764717,0.012837023901880937,1,1,0.0010568514027,0.038231554109,-3.1675956249,3.0138432086
replicate_A,4096,4058.8332865256821,7.1274536907015786,80,0.022507595522968209,9.5816512015652755,0.0065019321810137424,6.8132750864990568,0.0076768111115492954,0.0076474406515129661,0.0076824482161594078,0.0076530353227378337,0.77827331292349211,0.64046221465585662,5.5946712248676131e-06,0.0076671662462433413,0.007637865520079311,446608.0800000141,3.2322522930037291e-14,0.41448132071567456,0.00085240009950035122,-9.9999999999999995e-07,1.0000009999999999,0.0068784658268500453,0.014186488111521966,1,1,0.0010585082496,0.037279516034,-3.203117013,3.0093100369
replicate_A,4608,4566.1874473413927,7.268385402039276,74,0.022584352635338825,9.9004834314897661,0.0063814486301691136,7.2334312130046827,0.007598011493561309,0.0075692438870264443,0.007603702248641089,0.0075748926908994112,0.78582664693392923,0.65377798359581851,5.6488038729669149e-06,0.0075888808380402831,0.0075601784715233177,446608.08000002912,6.5948373397576085e-14,0.47217398034675934,0.00077534273661268799,-9.9999999999999995e-07,1.0000009999999999,0.0067881229127429365,0.015494433324428684,1,1,0.00106219942,0.038201132442,-3.2240304351,3.0599068701
replicate_A,5120,5073.5416081571029,7.4093171133769733,72,0.022651685830318801,9.9878217837073482,0.0063241842515912089,7.5800657553518471,0.0075224791216753316,0.0074942849311913189,0.0075230618869733543,0.0074948643426642706,0.78878131806303187,0.65921570429267651,5.7941147295174911e-07,0.0075196423954341689,0.0074914659329624444,446608.07999994454,1.2342511780139238e-13,0.5172434850733495,0.00070829260188883078,-9.9999999999999995e-07,1.0000009999999999,0.0068511173461538889,0.012259656098140528,1,1,0.0010650611929,0.037147648485,-3.2328922749,3.1047887206
