replicate,particle_id,lineage_member_particle_ids,step,elapsed_physical_time_s,experimental_age_h,stable_particle_id,lineage_member_ids,lineage_group_size,component_label,threshold_voxel_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm
replicate_C,P033,P033,0,0,6,0,0,1,0,8631,3053.5589456666908,8.9999320996440879,242.00000031551522,244.99999987572605,68.000001925580264
replicate_C,P085,P085,0,0,6,1,1,1,1,12177,4848.9920267310981,10.499959410579795,4.9999988376225941,236.99999480039247,135.99995518329655
replicate_C,P060,P060,0,0,6,2,2,1,2,10911,4188.7140614098707,9.9999394066590597,7.0000054306030526,38.000000856054712,222.00000688358693
replicate_C,P039,P039,0,0,6,3,3,1,3,8632,3053.5664064188927,8.999939429474594,244.99999930669142,54.000017949622716,118.99998200699056
replicate_C,P022,P022,0,0,6,4,4,1,4,7649,2572.380931791045,8.4999340766043847,243.99999959598395,114.00000163651222,41.000002151064201
replicate_C,P008,P008,0,0,6,5,5,1,5,7649,2572.3810855976794,8.499934246012451,4.0000002963980812,117.99999822640446,162.00000422758043
replicate_C,P001,P001,0,0,6,6,6,1,6,6727,2144.6073783733586,7.9999338426258504,245.0000010210712,143.00000004088645,243.00000199806297
replicate_C,P044,P044,0,0,6,7,7,1,7,9745,3591.2939767616358,9.499938255357316,244.00000128717744,178.99999940981701,26.000002345198006
replicate_C,P026,P026,0,0,6,8,8,1,8,8631,3053.563046980219,8.999936128989015,237.00000185005004,200.9999992640368,142.99999809937808
replicate_C,P067,P067,0,0,6,9,9,1,9,10911,4188.718577284867,9.9999430003204584,245.99999409316865,213.00001462168626,195.99999561969082
replicate_C,P013,P013,0,0,6,10,10,1,10,7649,2572.3796569233082,8.4999326724197282,11.999999881227422,40.999999640902509,67.00000210128907
replicate_C,P009,P009,0,0,6,11,11,1,11,7651,2572.3822299762187,8.4999355064712212,11.999999725818162,173.99999945071059,237.00000233399322
replicate_C,P092,P092,0,0,6,12,12,1,12,13523,5575.1917515267496,10.999942117907453,15.999996201854026,77.999999723958879,239.99999674478633
replicate_C,P003,P003,0,0,6,13,13,1,13,6727,2144.6063487505203,7.9999325623735018,15.000003084320635,168.99999931267169,138.00000701781184
replicate_C,P077,P077,0,0,6,14,14,1,14,12177,4848.9642409691023,10.499939354870017,17.000000626121224,234.0000010507845,36.000000180502724
replicate_C,P094,P094,0,0,6,15,15,1,15,13523,5575.2086590361305,10.999953237491306,24.000012941367295,165.00000291966379,191.99998844415848
replicate_C,P081,P081,0,0,6,16,16,1,16,12177,4848.9639148190417,10.499939119455075,26.000000182172897,197.00000080817065,112.00000196320462
replicate_C,P056,P056,0,0,6,17,17,1,17,9745,3591.293370149378,9.4999377204731079,26.000000344752422,231.00000178614755,225.00000327934254
replicate_C,P028,P028,0,0,6,18,18,1,18,8631,3053.5586770654559,8.9999318357560583,29.000000657299061,70.000000032501219,104.00000184318355
replicate_C,P082,P082,0,0,6,19,19,1,19,12177,4848.9664191849306,10.499940927104799,31.999998432775687,140.00000069333132,48.999995094019496
replicate_C,P054,P054,0,0,6,20,20,1,20,9745,3591.2925997631801,9.4999370411801021,33.000000185396722,74.000002102284142,169.0000025619446
replicate_C,P068,P068,0,0,6,21,21,1,21,10911,4188.711643494873,9.9999374825197531,34.999999891682037,45.999999976202254,2.9999997131916327
replicate_C,P027,P027,0,0,6,22,22,1,22,8632,3053.5707332538823,8.9999436803765729,33.999974835061366,129.00000023125119,187.00001017776287
replicate_C,P047,P047,0,0,6,23,23,1,23,9745,3591.2928243869173,9.4999372392435415,36.999999573112987,245.99999959807752,187.00000232919962
replicate_C,P036,P036,0,0,6,24,24,1,24,8632,3053.5868813123411,8.9999595450121284,41.99999840321891,236.00000757596513,127.00006479940191
replicate_C,P057,P057,0,0,6,25,25,1,25,9745,3591.2927621425779,9.4999371843591938,44.999999934836062,16.999999692361072,87.000001484161814
replicate_C,P052,P052,0,0,6,26,26,1,26,9746,3591.2932660104202,9.4999376286479151,48.00000094825301,104.99999957420093,100.99999913392095
replicate_C,P031,P031,0,0,6,27,27,1,27,8631,3053.5598223652451,8.9999329609589065,52.999998556240278,97.000002178536704,44.00000728107095
replicate_C,P000,P000,0,0,6,28,28,1,28,6727,2144.6062563709706,7.9999324475070139,56.00000243140385,17.000000277425634,214.0000031805647
