replicate,particle_id,lineage_member_particle_ids,step,elapsed_physical_time_s,experimental_age_h,stable_particle_id,component_label,threshold_voxel_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm
replicate_A,P063,P063,0,0,6,0,0,10911,4188.7104813915794,9.9999365577356869,235.00000012245826,31.000000674423838,57.000000985231424
replicate_A,P064,P064,0,0,6,1,1,10911,4188.7106888561284,9.9999367228328229,2.6684422623327965e-07,61.000000736462674,194.00000147187029
replicate_A,P041,P041,0,0,6,2,2,8631,3053.5587341697533,8.9999318918583349,235.00000146363283,138.00000215874988,90.000000405419229
replicate_A,P059,P059,0,0,6,3,3,10911,4188.7340283623471,9.9999552960222964,10.999988077254896,154.00002362941453,237.99995719038193
replicate_A,P036,P036,0,0,6,4,4,8631,3053.5741525476828,8.9999470396612526,242.00002098033178,178.00003152925203,41.000007445323142
replicate_A,P079,P079,0,0,6,5,5,12177,4848.9959852657812,10.499962267836311,0.99997525983808155,188.99999933209753,81.000011779845011
replicate_A,P082,P082,0,0,6,6,6,12178,4848.9749444610989,10.499947080639107,8.0000063690701531,196.99998844585571,226.00001838536923
replicate_A,P073,P073,0,0,6,7,7,10911,4188.7122511499765,9.999937966082344,235.00000043789308,203.000002518927,148.00000152821912
replicate_A,P027,P027,0,0,6,8,8,8631,3053.557840593086,8.9999310139613602,236.00000023257965,224.00000061325673,207.00000249336722
replicate_A,P061,P061,0,0,6,9,9,10912,4188.7409350455091,9.999960792232244,13.000023373482181,74.00005725991295,48.999993182430217
replicate_A,P016,P016,0,0,6,10,10,7649,2572.3797306892052,8.4999327536681246,11.000000333629794,105.99999975084386,138.0000010772153
replicate_A,P053,P053,0,0,6,11,11,9745,3591.2946213715336,9.4999388237461204,11.999999799508505,218.0000029764831,102.00000339221448
replicate_A,P056,P056,0,0,6,12,12,9745,3591.2973714679629,9.4999412486600612,12.000007505187499,238.00000153767073,146.00000139289659
replicate_A,P071,P071,0,0,6,13,13,10911,4188.7109852870699,9.9999369587280498,15.000000574848958,14.000000521801372,240.99999997661635
replicate_A,P013,P013,0,0,6,14,14,7653,2572.3985472187537,8.4999534788153408,13.00001964984386,125.0000014784561,203.00005082726358
replicate_A,P068,P068,0,0,6,15,15,10912,4188.7500452811009,9.9999680419789723,16.999988670926204,83.99998338765252,8.9999984283022219
replicate_A,P007,P007,0,0,6,16,16,7651,2572.4088909778266,8.4999648717302225,19.999962743924353,93.999952665587756,213.99999061156498
replicate_A,P034,P034,0,0,6,17,17,8631,3053.5588083089315,8.9999319646965752,25.000001231271611,1.9999999574863629,77.000002352403712
replicate_A,P091,P091,0,0,6,18,18,12177,4848.9630527565287,10.499938497218748,26.000000439238189,175.00000048717996,180.00000144698217
replicate_A,P047,P047,0,0,6,19,19,9745,3591.2945802865243,9.4999387875191594,32.000002416973551,82.000001413787047,172.0000011293082
replicate_A,P052,P052,0,0,6,20,20,9745,3591.2924446270781,9.4999369043878303,32.999999712407295,214.00000055591724,43.000001943093466
replicate_A,P023,P023,0,0,6,21,21,8631,3053.5664117439333,8.999939434706187,35.000013828324789,118.00001702017356,73.000005507525259
replicate_A,P066,P066,0,0,6,22,22,10911,4188.7114885047877,9.9999373591810183,38.000000187840385,54.00000015634285,235.00000132717975
replicate_A,P024,P024,0,0,6,23,23,8632,3053.5724801659007,8.999945396630336,38.000009701258655,178.99997628169319,111.00000038792419
replicate_A,P004,P004,0,0,6,24,24,7650,2572.3981630767821,8.4999530557096961,40.999979083681133,129.00000551259262,114.9999904112093
replicate_A,P072,P072,0,0,6,25,25,10911,4188.7157940849656,9.9999407854946121,45.999996054312447,83.00000086739152,133.99999640706437
replicate_A,P083,P083,0,0,6,26,26,12177,4848.9652996214418,10.499940119004652,48.000000650178222,238.00000046087533,228.00000211121528
replicate_A,P075,P075,0,0,6,27,27,10911,4188.7124943011186,9.9999381595782708,48.000000296171841,243.00000118766718,103.00000101671517
replicate_A,P014,P014,0,0,6,28,28,7650,2572.3821853009958,8.4999354572643675,48.000001750223262,53.000001523227745,78.999997505781636
replicate_A,P001,P001,0,0,6,29,29,6727,2144.6161789700491,7.9999447854361287,53.000002297184707,125.99999166575371,214.99996469648065
replicate_A,P058,P058,0,0,6,30,30,9745,3591.3127818975631,9.4999548368754319,59.000003751427464,40.000008897199564,32.000018410194855
replicate_A,P039,P039,0,0,6,31,31,8632,3053.5658681397531,8.999938900641606,58.999996574282775,87.999983769076863,50.999995299495133
replicate_A,P000,P000,0,0,6,32,32,6727,2144.6077006324808,7.9999342433288021,59.999996236658859,74.000006397337771,208.00000619087618
replicate_A,P002,P002,0,0,6,33,33,6727,2144.6092049701938,7.9999361138496079,62.000006410871109,191.00001513891803,150.00000102208043
replicate_A,P050,P050,0,0,6,34,34,9745,3591.2991028279275,9.4999427752964092,66.999990211198238,244.99998678837164,148.00000220029989
replicate_A,P078,P078,0,0,6,35,35,12177,4848.9645090882677,10.499939548398284,67.9999996834364,114.00000068261835,1.3165483399472551e-06
replicate_A,P046,P046,0,0,6,36,36,9745,3591.295943751762,9.499939989762936,70.000000113928692,177.00000213359806,94.000012187632265
replicate_A,P095,P095,0,0,6,37,37,13522,5575.1890883371607,10.999940366402017,71.999999889414752,23.999999999558643,228.00000189321645
replicate_A,P044,P044,0,0,6,38,38,9745,3591.2942672104218,9.4999385114623589,75.000001307649427,119.00000150586126,168.00000355983548
replicate_A,P030,P030,0,0,6,39,39,8632,3053.5641116782931,8.9999371750035024,77.000000979522696,60.000006564814072,63.000011532200446
replicate_A,P089,P089,0,0,6,40,40,12177,4848.9688107536676,10.499942653337026,78.00000009617375,75.999994930373845,111.99999842879718
replicate_A,P035,P035,0,0,6,41,41,8632,3053.5683222131242,8.9999413116484348,78.000023299089534,232.00000537546165,59.999998479002933
replicate_A,P005,P005,0,0,6,42,42,7649,2572.3812839960328,8.4999344645354036,77.999998777058806,144.99999982806173,192.00000015144667
replicate_A,P021,P021,0,0,6,43,43,7649,2572.3806929880038,8.4999338135782612,80.000003247910371,196.00000015998111,2.0000045369281314
replicate_A,P048,P048,0,0,6,44,44,9745,3591.2978764306936,9.4999416939138275,86.000010161201871,229.9999974287949,175.99999210962099
replicate_A,P017,P017,0,0,6,45,45,7651,2572.3940388915926,8.4999485132040871,86.999971375249544,235.00000020696831,19.000006431356894
replicate_A,P012,P012,0,0,6,46,46,7649,2572.3797976335645,8.4999328274030308,89.000000394129955,138.99999850333955,52.00000308173157
replicate_A,P086,P086,0,0,6,47,47,12177,4848.9649174477254,10.499939843151902,93.000001030290804,18.999999244887771,88.000000258204238
replicate_A,P077,P077,0,0,6,48,48,12177,4848.968883981157,10.499942706192556,93.000006247507201,45.000005563365519,183.00000123037287
replicate_A,P080,P080,0,0,6,49,49,12177,4848.965318829898,10.499940132869304,98.000001004365089,71.000000863163805,6.0000014296352058
replicate_A,P062,P062,0,0,6,50,50,10911,4188.7119875469762,9.9999377563111338,97.999999830270454,86.999999127485182,78.000000767491926
replicate_A,P003,P003,0,0,6,51,51,6727,2144.632847557446,7.999965511356641,97.99999437630548,40.999988311385671,33.999976625652678
replicate_A,P019,P019,0,0,6,52,52,7650,2572.3811246821056,8.499934289061418,98.999997629636695,13.000001591360036,203.99999916748692
replicate_A,P011,P011,0,0,6,53,53,7649,2572.398131352692,8.4999530207678156,98.999999363554394,60.000023711307875,137.00003999424501
replicate_A,P040,P040,0,0,6,54,54,8631,3053.5587394420108,8.9999318970380795,106.00000069195411,136.00000073998444,234.00000323926668
replicate_A,P038,P038,0,0,6,55,55,8631,3053.559199168169,8.9999323486973015,108.00000072450912,150.9999998169952,169.00000225517286
replicate_A,P022,P022,0,0,6,56,56,7649,2572.3805227895446,8.4999336261156415,110.99999964639946,185.00000127323196,206.00000313760074
replicate_A,P018,P018,0,0,6,57,57,7649,2572.379911010783,8.4999329522807461,112.00000036048168,215.00000087219712,79.000002117066018
replicate_A,P070,P070,0,0,6,58,58,10911,4188.7114532485621,9.9999373311246558,118.00000005619756,77.000000303570673,48.000002199993808
replicate_A,P049,P049,0,0,6,59,59,9745,3591.300228588304,9.4999437679416623,129.00001124456409,0.99999574760985488,30.00000386937602
replicate_A,P020,P020,0,0,6,60,60,7649,2572.3804329671707,8.4999335271820904,131.00000016447191,125.00000166763989,64.000000663549883
replicate_A,P084,P084,0,0,6,61,61,12178,4848.9929386482663,10.499960068798563,136.00003256763586,67.999993816688061,104.00003027085029
replicate_A,P074,P074,0,0,6,62,62,10912,4188.7445668043401,9.9999636823159221,139.00001107885271,168.00002919384161,6.0000373086798264
replicate_A,P029,P029,0,0,6,63,63,8631,3053.5739889715537,8.9999468789559653,138.00001640335904,227.00000826313007,167.00000846876895
replicate_A,P042,P042,0,0,6,64,64,9745,3591.2979066036855,9.4999417205190362,138.99999048398053,1.000001465496021,77.999996800207924
replicate_A,P088,P088,0,0,6,65,65,12179,4849.0152002520799,10.499976137124252,140.99996762480964,66.999977342974546,145.99994036728538
replicate_A,P032,P032,0,0,6,66,66,8631,3053.5578230440883,8.9999309967202965,143.9999998065303,187.00000045907339,124.00000220454146
replicate_A,P093,P093,0,0,6,67,67,13523,5575.1879444373153,10.999939614090854,146.0000002857777,66.000001454478266,220.00000166945475
replicate_A,P076,P076,0,0,6,68,68,12178,4848.980223818332,10.499950891269332,146.99997655856922,23.999994046641451,166.9999959714678
replicate_A,P094,P094,0,0,6,69,69,13523,5575.1943558573394,10.999943830702431,146.99999351297924,115.00000801165945,2.0000021281610461
replicate_A,P010,P010,0,0,6,70,70,7649,2572.3800485059419,8.4999331037228156,155.00000015059646,195.99999884786425,221.00000039903611
replicate_A,P069,P069,0,0,6,71,71,10912,4188.7498175495939,9.9999678607548361,162.00005931526493,153.99996983523562,64.000004717009546
replicate_A,P045,P045,0,0,6,72,72,9745,3591.2918015072469,9.499936337312672,168.00000044414057,113.00000030197373,173.00000164138152
replicate_A,P028,P028,0,0,6,73,73,8632,3053.5846278725944,8.9999573311270247,168.99995623452344,148.00002877386743,101.99999552963966
replicate_A,P043,P043,0,0,6,74,74,9745,3591.2972812785247,9.499941169135008,171.00000428781343,218.99999585098314,242.0000140080526
replicate_A,P067,P067,0,0,6,75,75,10911,4188.7121588468699,9.9999378926289513,174.99999897819157,200.99999868275626,54.00000200647235
replicate_A,P015,P015,0,0,6,76,76,7649,2572.4107394755224,8.4999669077157343,173.99998959274666,173.99996089532124,11.999942508676595
replicate_A,P092,P092,0,0,6,77,77,13522,5575.1879792884629,10.999939637011488,178.99999987257075,180.99999988635702,196.00000151614361
replicate_A,P054,P054,0,0,6,78,78,9745,3591.2963528082437,9.4999403504509186,183.00000211263358,101.9999974431243,103.00000114672434
replicate_A,P037,P037,0,0,6,79,79,8631,3053.5577607569721,8.9999309355261303,185.00000004623337,3.0000002282135587,107.00000166436047
replicate_A,P081,P081,0,0,6,80,80,12177,4848.9668738237851,10.499941255262769,189.00000467410865,20.000000581639018,21.000004397254191
replicate_A,P060,P060,0,0,6,81,81,10911,4188.7137700297271,9.9999391747832949,188.99999769814002,85.000004727023708,64.000001164179011
