base_case_tag,case_dir_saddle,T_input,T_K,xB0,xB_out_if_available,xB_reference_used,mode,exx,eyy,ezz,exy,exz,eyz,Nx,Ny,Nz,dx_nm,V_box_m3,w_phys_J_m3,r_eff_star_nm,voxel_count_saddle,mean_h_saddle,F_surf_saddle_hat,F_chem_saddle_hat,F_el_saddle_hat,F_total_saddle_hat,F_surf_ref_hat,F_chem_ref_hat,F_el_ref_hat,F_total_ref_hat,DeltaF_surf_hat,DeltaF_chem_hat,DeltaF_el_hat,DeltaF_total_hat,DeltaG_surf_J,DeltaG_chem_J,DeltaG_el_J,DeltaG_total_J,DeltaG_surf_kBT,DeltaG_chem_kBT,DeltaG_el_kBT,DeltaG_total_kBT,fraction_surf,fraction_chem,fraction_el,barrier_kBT_from_master_table,difference_vs_master_kBT,warnings
cntcon_T400_xB0p050_strictref_exx_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.795nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p005_r1p795370,400.0,673.15,0.05,0.05,xB_out,exx,0.005,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.7862385705000514,23873,0.000378765599,3.13134447e-05,-2.18485679e-05,0.000321545743,0.00033101062,0.0,-2.22044605e-16,0.000320635738,0.000320635738,3.13134447e-05,-2.1848567899777956e-05,9.100050000000509e-07,1.0374882000000005e-05,8.016241843200005e-18,-5.5932333823431596e-18,2.3296128000001317e-19,2.655969792000003e-18,862.5329171766047,-601.8216516027891,25.06620637924706,285.7774774559712,3.0181976720313526,-2.1059100141840594,0.08771232289678575,285.7774774559712,0.0,
cntcon_T400_xB0p050_strictref_exx_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.760nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0075_r1p760371,400.0,673.15,0.05,0.05,xB_out,exx,0.0075,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,,,1.7523796045343056,22541,0.000357043599,3.01109183e-05,-2.05955645e-05,0.000733843088,0.000743358442,0.0,-2.22044605e-16,0.000733773199,0.000733773199,3.01109183e-05,-2.0595564499777955e-05,6.98889999999194e-08,9.585243000000002e-06,,,,,,,,,,,,,,chemical_driving_force_not_negative_or_too_weak | reference_energy.csv missing; fell back to F_total_excess_hat from last energy row
cntcon_T400_xB0p050_strictref_exx_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.629nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p01_r1p628669,400.0,673.15,0.05,0.05,xB_out,exx,0.01,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.620249851165779,17817,0.000282752938,2.5762899e-05,-1.63102108e-05,0.00131503223,0.00132448492,0.0,-2.22044605e-16,0.00131566059,0.00131566059,2.5762899e-05,-1.6310210799777954e-05,-6.283599999999927e-07,8.824329999999924e-06,6.595302144000004e-18,-4.1754139647431586e-18,-1.6086015999999824e-19,2.259028479999982e-18,709.6424121424185,-449.26688314485693,-17.308258130958205,243.0673204417195,2.919530321282207,-1.8483228528146718,-0.0712076724238552,243.0673204417195,0.0,
cntcon_T400_xB0p050_strictref_exx_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.023nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0025_r2p023406,400.0,673.15,0.05,0.05,xB_out,exx,-0.0025,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,2.0155295728177,34297,0.000542197781,3.9770134e-05,-3.12759266e-05,9.81255696e-05,0.000106619777,0.0,-2.22044605e-16,9.37232532e-05,9.37232532e-05,3.9770134e-05,-3.127592659977795e-05,4.402316400000007e-06,1.2896523800000003e-05,1.0181154304000005e-17,-8.00663720954316e-18,1.1269929984000025e-18,3.301510092800003e-18,1095.473526600683,-861.499476214057,121.26237924971616,355.2364296302257,3.083787120991471,-2.4251439445859,0.3413568236116469,355.2364296302257,0.0,
cntcon_T400_xB0p050_strictref_exx_sm0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.075nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p005_r2p075128,400.0,673.15,0.05,0.05,xB_out,exx,-0.005,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,2.0669033349777983,36987,0.000584848401,4.18245726e-05,-3.37361684e-05,0.000361262773,0.000369351177,0.0,-2.22044605e-16,0.000355585743,0.000355585743,4.18245726e-05,-3.373616839977796e-05,5.677029999999982e-06,1.3765434000000002e-05,1.0707090585600007e-17,-8.636459110343163e-18,1.4533196799999962e-18,3.523951104000003e-18,1152.063305712983,-929.267157382454,156.37453156979194,379.1706743851793,3.0383766033094193,-2.4507885766462545,0.4124119878821097,379.1706743851793,0.0,
cntcon_T400_xB0p050_strictref_exx_sm0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.132nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0075_r2p132232,400.0,673.15,0.05,0.05,xB_out,exx,-0.0075,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,2.1261028326610463,40257,0.000634471335,4.41547129e-05,-3.65985985e-05,0.000793265751,0.000800821865,0.0,-2.22044605e-16,0.000786198209,0.000786198209,4.41547129e-05,-3.6598598499777953e-05,7.067541999999927e-06,1.4623655999999939e-05,1.1303606502400007e-17,-9.369241215943163e-18,1.8092907519999823e-18,3.743655935999987e-18,1216.247324100132,-1008.1131677151056,194.67636591665405,402.81051127751226,3.019403143782935,-2.5026982650424836,0.48329514862767253,402.81051127751226,0.0,
cntcon_T400_xB0p050_strictref_exx_sm0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.195nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p01_r2p195377,400.0,673.15,0.05,0.05,xB_out,exx,-0.01,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,2.1889079233244235,43931,0.000692525812,4.68066771e-05,-3.99473905e-05,0.00139415872,0.001401018,0.0,-2.22044605e-16,0.00138556081,0.00138556081,4.68066771e-05,-3.9947390499777956e-05,8.597909999999995e-06,1.5457189999999862e-05,1.1982509337600008e-17,-1.0226531967943163e-17,2.20106496e-18,3.957040639999967e-18,1289.296023774937,-1100.3560799992874,236.83055201914263,425.7703139908118,3.0281491720034768,-2.5843889154353614,0.5562401704320171,425.7703139908118,0.0,
cntcon_T400_xB0p050_strictref_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.961nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p0025_r1p961050,400.0,673.15,0.05,0.05,xB_out,eyy,0.0,0.0025,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.9535438145329238,31229,0.000493599414,3.73538029e-05,-2.84725973e-05,5.09107361e-05,5.97919417e-05,0.0,-2.22044605e-16,4.73419985e-05,4.73419985e-05,3.73538029e-05,-2.8472597299777954e-05,3.568737599999996e-06,1.2449943199999998e-05,9.562573542400006e-18,-7.28898490874316e-18,9.135968255999995e-19,3.1871854592000015e-18,1028.9153713892395,-784.2814051234739,98.3013425145727,342.93530877422216,3.0003191420182547,-2.2869660401163885,0.2866468981159686,342.93530877422216,0.0,
cntcon_T400_xB0p050_strictref_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.991nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p005_r1p990869,400.0,673.15,0.05,0.05,xB_out,eyy,0.0,0.005,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.9833227019011341,32679,0.000516459996,3.84966775e-05,-2.97912782e-05,0.00020919161,0.000217897009,0.0,-2.22044605e-16,0.000205010724,0.000205010724,3.84966775e-05,-2.9791278199777956e-05,4.1808860000000145e-06,1.2886285000000011e-05,9.855149440000006e-18,-7.626567219143162e-18,1.0703068160000043e-18,3.298888960000005e-18,1060.396001264018,-820.6046424548836,115.16305000972436,354.95440054920346,2.987414720379067,-2.311859329494725,0.32444463241345434,354.95440054920346,0.0,
cntcon_T400_xB0p050_strictref_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.025nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p0075_r2p024702,400.0,673.15,0.05,0.05,xB_out,eyy,0.0,0.0075,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,2.0171737054634074,34381,0.000543240288,3.981531e-05,-3.13360622e-05,0.000478488539,0.000486967787,0.0,-2.22044605e-16,0.000473616978,0.000473616978,3.981531e-05,-3.1336062199777954e-05,4.871561000000023e-06,1.3350808999999992e-05,1.0192719360000006e-17,-8.022031923143161e-18,1.2471196160000066e-18,3.4178071040000002e-18,1096.7179054111168,-863.1559191570517,134.1877829408464,367.7497746978205,2.982239503239094,-2.347128342542985,0.3648888243401599,367.7497746978205,0.0,
cntcon_T400_xB0p050_strictref_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.063nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_s0p01_r2p062932,400.0,673.15,0.05,0.05,xB_out,eyy,0.0,0.01,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,2.0563060448634727,36421,0.000574597025,4.13329851e-05,-3.3144832e-05,0.000858818647,0.0008670068,0.0,-2.22044605e-16,0.000853160708,0.000853160708,4.13329851e-05,-3.314483199977796e-05,5.657938999999992e-06,1.3846091999999933e-05,1.0581244185600006e-17,-8.485076991943162e-18,1.4484323839999988e-18,3.544599551999985e-18,1138.5224639280946,-912.9787191409495,155.84866748554413,381.3924095120583,2.9851733687743947,-2.3938041145312416,0.4086307529951425,381.3924095120583,0.0,
cntcon_T400_xB0p050_strictref_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.912nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p0025_r1p912217,400.0,673.15,0.05,0.05,xB_out,eyy,0.0,-0.0025,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.905233890369405,28969,0.000457635978,3.55224042e-05,-2.63980963e-05,6.73440793e-05,7.64683872e-05,0.0,-2.22044605e-16,6.48169988e-05,6.48169988e-05,3.55224042e-05,-2.6398096299777957e-05,2.5270805000000016e-06,1.1651388400000002e-05,9.093735475200005e-18,-6.757912652743161e-18,6.4693260800000075e-19,2.9827554304000024e-18,978.4692554042919,-727.1390045872664,69.60876187489886,320.9390126858082,3.048770067608422,-2.2656610005188695,0.21689093292950398,320.9390126858082,0.0,
cntcon_T400_xB0p050_strictref_eyy_sm0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.893nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p005_r1p892707,400.0,673.15,0.05,0.05,xB_out,eyy,0.0,-0.005,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.8856537087898098,28085,0.00044377088,3.48054361e-05,-2.55983074e-05,0.000242037431,0.00025124456,0.0,-2.22044605e-16,0.000239960758,0.000239960758,3.48054361e-05,-2.5598307399777956e-05,2.0766729999999926e-06,1.1283802e-05,8.910191641600006e-18,-6.55316669434316e-18,5.316282879999984e-19,2.8886533120000017e-18,958.7202756053507,-705.1087150534397,57.202228559411246,310.8137973687451,3.0845486388364494,-2.268588849731496,0.1840401843279413,310.8137973687451,0.0,
cntcon_T400_xB0p050_strictref_eyy_sm0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.876nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p0075_r1p876203,400.0,673.15,0.05,0.05,xB_out,eyy,0.0,-0.0075,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.8683521219746924,27319,0.00043226305,3.420619e-05,-2.49344942e-05,0.000527704105,0.000536975801,0.0,-2.22044605e-16,0.000526041968,0.000526041968,3.420619e-05,-2.4934494199777955e-05,1.6621369999999256e-06,1.0933833000000004e-05,8.756784640000005e-18,-6.38323051514316e-18,4.2550707199998123e-19,2.7990612480000027e-18,942.2139636460117,-686.8238939057895,45.78378038865542,301.1738556317897,3.1284719640404224,-2.2804897605238663,0.15201777821189744,301.1738556317897,0.0,
cntcon_T400_xB0p050_strictref_eyy_sm0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.863nm_xB0.050/cntcon_T400_xB0p050_strictref_eyy_sm0p01_r1p862553,400.0,673.15,0.05,0.05,xB_out,eyy,0.0,-0.01,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.8525344308162957,26631,0.000422896951,3.37163433e-05,-2.43942238e-05,0.000924337308,0.000933659428,0.0,-2.22044605e-16,0.0009230607,0.0009230607,3.37163433e-05,-2.4394223799777955e-05,1.276607999999989e-06,1.0598728000000028e-05,8.631383884800006e-18,-6.244921292743161e-18,3.2681164799999733e-19,2.7132743680000085e-18,928.7210724241039,-671.9420752927076,35.16433381508427,291.9433447129304,3.1811688440348616,-2.3016180620710234,0.12044917088163652,291.9433447129304,0.0,
