step,time_code,dt,max_abs_dgbulk_idx,max_abs_dgbulk_i,max_abs_dgbulk_j,max_abs_dgbulk_k,max_abs_dgbulk_value,eta_before,phi_before,xB_before,Y_before,h_eta,hp_eta,mu_PbTe_raw,mu_Ag2Te_raw,gp_mu_reference_raw,drive_raw_formula_value,dgbulk_deta_raw_formula_value,energy_scale,mu_PbTe_dimless,mu_Ag2Te_dimless,gp_mu_reference_dimless,drive_dimless_formula_value,dgbulk_deta_dimless_formula_value,dgbulk_deta_kernel_used,eta_rhs_bulk,eta_rhs_double_well,eta_rhs_elastic,eta_rhs_total,dxB,deta,eta_rhs_bulk_absmax,eta_rhs_double_well_absmax,eta_rhs_elastic_absmax,eta_rhs_total_absmax,phi_rhs_chem_at_loc,phi_rhs_total_at_loc,phi_rhs_dw_at_loc,phi_rhs_elastic_at_loc,phi_chem_rhs_absmax,phi_double_well_absmax,phi_elastic_absmax,phi_rhs_total_absmax,eta_bulk_rhs_absmax_over_phi_chem_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax,gp_W_eta_kernel_used,gp_kappa_eta_kernel_used,gp_L_eta,S_eta_W,S_eta_grad,S_eta_total,W_phi,kappa_phi,L_phi,S_phi_W,S_phi_grad,S_phi_total,region_class,is_eta_interface,is_far_field_like,is_phi_nonzero,eta_peak_idx,eta_peak_i,eta_peak_j,eta_peak_k,eta_peak_value
11,1.1000000000e-03,1.0000000000e-04,447024,48,48,48,-6.0201779437e-28,1.6989986380e-14,6.2822738112e-01,5.3218250286e-02,-2.8786672137e+00,4.9043233044e-41,8.6597891159e-27,-1.5288461766e+05,-1.4467786005e+05,-1.5352923284e+05,3.5169803483e+03,-8.2203830919e-24,1.3779024000e+04,-1.1095460582e+01,-1.0499862694e+01,-1.1142242937e+01,2.5524161569e-01,-5.9658674605e-28,-6.0201779437e-28,-6.0201779437e-28,6.0678522786e-14,0.0000000000e+00,6.0678522786e-14,1.1207392894e-03,-1.6989986380e-14,6.0201779437e-28,6.0678522786e-14,0.0000000000e+00,6.0678522786e-14,-1.2405430556e+00,-1.3603370443e+00,-1.1979398871e-01,0.0000000000e+00,1.2910362167e+00,1.9245005925e-01,0.0000000000e+00,1.3777135255e+00,4.6630589180e-28,5.8223769856e-25,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,far_field,0,1,1,442416,48,0,48,3.1936219322e-18
12,1.2000000000e-03,1.0000000000e-04,442416,48,0,48,-6.4419555429e-35,3.1936219322e-18,7.8879642723e-02,2.9502791288e-02,-3.4933236477e+00,3.2572456025e-52,3.0597663138e-34,-1.5280798739e+05,-1.4654359201e+05,-1.5352923284e+05,2.9137838399e+03,-8.8767552276e-31,1.3779024000e+04,-1.1089899211e+01,-1.0635266475e+01,-1.1142242937e+01,2.1146518359e-01,-6.4422235041e-35,-6.4419555429e-35,-6.4419555429e-35,1.1405792615e-17,0.0000000000e+00,1.1405792615e-17,-7.1768549435e-05,-3.1936219322e-18,6.4419555429e-35,1.1405792615e-17,0.0000000000e+00,1.1405792615e-17,-9.8612136389e-02,2.3778316768e-02,1.2239045316e-01,0.0000000000e+00,1.2913631131e+00,1.9245007977e-01,0.0000000000e+00,1.3803938137e+00,4.9884927621e-35,6.2287193796e-32,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,far_field,0,1,1,447024,48,48,48,1.0651334960e-21
13,1.3000000000e-03,1.0000000000e-04,447024,48,48,48,-2.4108941418e-42,1.0651334960e-21,6.2531242400e-01,5.3758198469e-02,-2.8680019555e+00,1.2084039255e-62,3.4035280929e-41,-1.5288601604e+05,-1.4465311416e+05,-1.5352923284e+05,3.5247324604e+03,-3.2953596913e-38,1.3779024000e+04,-1.1095562069e+01,-1.0498066783e+01,-1.1142242937e+01,2.5580421809e-01,-2.3915770023e-42,-2.4108941418e-42,-2.4108941418e-42,3.8040482000e-21,0.0000000000e+00,3.8040482000e-21,-1.9807847367e-03,-1.0651334960e-21,2.4108941418e-42,3.8040482000e-21,0.0000000000e+00,3.8040482000e-21,-1.2513640886e+00,-1.3688052866e+00,-1.1744119796e-01,0.0000000000e+00,1.2871330933e+00,1.9245008910e-01,0.0000000000e+00,1.3763527509e+00,1.8730729202e-42,2.3387516338e-39,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,far_field,0,1,1,4656,0,48,48,1.8315074178e-25
14,1.4000000000e-03,1.0000000000e-04,4656,0,48,48,-2.1139679754e-49,1.8315074178e-25,7.9389822850e-02,2.9353817849e-02,-3.4985393990e+00,6.1436440526e-74,1.0063258264e-48,-1.5280741183e+05,-1.4656257441e+05,-1.5352923284e+05,2.9075141094e+03,-2.9129541625e-45,1.3779024000e+04,-1.1089857441e+01,-1.0636644106e+01,-1.1142242937e+01,2.1101016367e-01,-2.1140497052e-49,-2.1139679754e-49,-2.1139679754e-49,6.5410979207e-25,0.0000000000e+00,6.5410979207e-25,-8.2254889776e-05,-1.8315074178e-25,2.1139679754e-49,6.5410979207e-25,0.0000000000e+00,6.5410979207e-25,-9.9560483741e-02,2.3404193036e-02,1.2296467678e-01,0.0000000000e+00,1.2800768230e+00,1.9245008733e-01,0.0000000000e+00,1.3661772661e+00,1.6514383648e-49,2.0620148485e-46,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,far_field,0,1,1,447024,48,48,48,7.7839041758e-29
15,1.5000000000e-03,1.0000000000e-04,447024,48,48,48,-1.2786880601e-56,7.7839041758e-29,6.2268213976e-01,4.8921550598e-02,-2.9673785437e+00,4.7162024836e-84,1.8176749265e-55,-1.5287294115e+05,-1.4489509027e+05,-1.5352923284e+05,3.4485395006e+03,-1.7490919356e-52,1.3779024000e+04,-1.1094613171e+01,-1.0515627977e+01,-1.1142242937e+01,2.5027458408e-01,-1.2693873932e-56,-1.2786880601e-56,-1.2786880601e-56,2.7799657771e-28,0.0000000000e+00,2.7799657771e-28,-3.1970627610e-03,-7.7839041758e-29,1.2786880601e-56,2.7799657771e-28,0.0000000000e+00,2.7799657771e-28,-1.2292596279e+00,-1.3445558575e+00,-1.1529622965e-01,0.0000000000e+00,1.2735332926e+00,1.9245007434e-01,0.0000000000e+00,1.3512358444e+00,1.0040476111e-56,1.2536714218e-53,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,far_field,0,1,1,4656,0,48,48,1.2675126979e-32
16,1.6000000000e-03,1.0000000000e-04,4656,0,48,48,-1.0099063678e-63,1.2675126979e-32,7.9859967453e-02,2.9184790153e-02,-3.5044884527e+00,2.0363712473e-95,4.8197653183e-63,-1.5280675737e+05,-1.4658428004e+05,-1.5352923284e+05,2.9003425391e+03,-1.3916029499e-59,1.3779024000e+04,-1.1089809944e+01,-1.0638219372e+01,-1.1142242937e+01,2.1048969355e-01,-1.0099430481e-63,-1.0099063678e-63,-1.0099063678e-63,4.5268310641e-32,0.0000000000e+00,4.5268310641e-32,-9.0613737234e-05,-1.2675126979e-32,1.0099063678e-63,4.5268310641e-32,0.0000000000e+00,4.5268310641e-32,-1.0038511759e-01,2.3106395221e-02,1.2349151281e-01,0.0000000000e+00,1.2703573218e+00,1.9245006791e-01,0.0000000000e+00,1.3341866621e+00,7.9497819271e-64,9.9262368645e-61,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,far_field,0,1,1,447024,48,48,48,6.5656574415e-36
17,1.7000000000e-03,1.0000000000e-04,447024,48,48,48,-8.8848679342e-71,6.5656574415e-36,6.2026137049e-01,4.2593486899e-02,-3.1125267279e+00,2.8303142630e-105,1.2932357292e-69,-1.5285396758e+05,-1.4529196906e+05,-1.5352923284e+05,3.3219647442e+03,-1.2160303943e-66,1.3779024000e+04,-1.1093236182e+01,-1.0544431090e+01,-1.1142242937e+01,2.4108853749e-01,-8.8252287990e-71,-8.8848679342e-71,-8.8848679342e-71,2.3448776577e-35,0.0000000000e+00,2.3448776577e-35,-2.8166099892e-03,-6.5656574415e-36,8.8848679342e-71,2.3448776577e-35,0.0000000000e+00,2.3448776577e-35,-1.1874833667e+00,-1.3007874739e+00,-1.1330410722e-01,0.0000000000e+00,1.2697891750e+00,1.9245008444e-01,0.0000000000e+00,1.3189205126e+00,6.9971205529e-71,8.7367271976e-68,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,far_field,0,1,1,59952,6,48,48,9.9060700799e-40
18,1.8000000000e-03,1.0000000000e-04,32304,3,48,48,-6.1347569244e-78,9.9037096138e-40,8.8873343440e-02,2.8954518509e-02,-3.5126470355e+00,9.7139014650e-117,2.9425039234e-77,-1.5280586333e+05,-1.4661414112e+05,-1.5352923284e+05,2.8904722834e+03,-8.4531985944e-74,1.3779024000e+04,-1.1089745060e+01,-1.0640386512e+01,-1.1142242937e+01,2.0977336881e-01,-6.1348311712e-78,-6.1347569244e-78,-6.1347569244e-78,3.5370391478e-39,0.0000000000e+00,3.5370391478e-39,-9.2966983539e-05,-9.9037096138e-40,6.1347569244e-78,3.5378821714e-39,0.0000000000e+00,3.5378821714e-39,-1.2147372320e-01,1.1689990795e-02,1.3316371400e-01,0.0000000000e+00,1.2701582065e+00,1.9245008972e-01,0.0000000000e+00,1.3078402258e+00,4.8299155908e-78,6.0307171479e-75,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,far_field,0,1,1,447024,48,48,48,5.7163747470e-43
19,1.9000000000e-03,1.0000000000e-04,447024,48,48,48,-6.5474096415e-85,5.7163747470e-43,6.1800113643e-01,3.7392785632e-02,-3.2481676632e+00,1.8679363604e-126,9.8030820744e-84,-1.5283678780e+05,-1.4570535364e+05,-1.5352923284e+05,3.1884470029e+03,-8.9652075760e-81,1.3779024000e+04,-1.1091989374e+01,-1.0574432096e+01,-1.1142242937e+01,2.3139861015e-01,-6.5064169828e-85,-6.5474096415e-85,-6.5474096415e-85,2.0415624096e-42,0.0000000000e+00,2.0415624096e-42,-1.9188742061e-03,-5.7163747470e-43,6.5474096415e-85,2.0415624096e-42,0.0000000000e+00,2.0415624096e-42,-1.1427594079e+00,-1.2541882264e+00,-1.1142881854e-01,0.0000000000e+00,1.2704930276e+00,1.9245008363e-01,0.0000000000e+00,1.3002361196e+00,5.1534400419e-85,6.4346754404e-82,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,far_field,0,1,1,59952,6,48,48,8.2754369534e-47
20,2.0000000000e-03,1.0000000000e-04,32304,3,48,48,-4.2538200302e-92,8.2584914960e-47,8.8998020804e-02,2.8768468957e-02,-3.5192849264e+00,5.6325126756e-138,2.0460804537e-91,-1.5280513894e+05,-1.4663851593e+05,-1.5352923284e+05,2.8824119608e+03,-5.8614253697e-88,1.3779024000e+04,-1.1089692487e+01,-1.0642155491e+01,-1.1142242937e+01,2.0918839831e-01,-4.2538755791e-92,-4.2538200302e-92,-4.2538200302e-92,2.9494612486e-46,0.0000000000e+00,2.9494612486e-46,-9.2030575662e-05,-8.2584914960e-47,4.2538200302e-92,2.9555131976e-46,0.0000000000e+00,2.9555131976e-46,-1.2143259563e-01,1.1859247618e-02,1.3329184324e-01,0.0000000000e+00,1.2703458548e+00,1.9245006595e-01,0.0000000000e+00,1.2945965413e+00,3.3485526906e-92,4.1810615015e-89,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,far_field,0,1,1,447024,48,48,48,5.2491306818e-50
