record_kind,step,time_s,time_h,dt_s,size_cfl,positivity_utilization,roundoff_zeroed_bin_count,matrix_xB,matrix_inventory_mol_m3,particle_inventory_mol_m3,total_inventory_mol_m3,inventory_relative_residual,rmin_dissolution_flux_m3_s,rmax_outflow_flux_m3_s,gp_nucleation_rate_m3_s,beta_nucleation_rate_m3_s,beta_growth_sign_critical_radius_m,candidate_negative_population,candidate_negative_bin,candidate_before_density_per_m4,candidate_after_density_per_m4,candidate_dt_max_s,message
accepted,68,1414.343650282122,0.39287323618947834,0.09796694276842756,0.35,0.13951174930196145,0,0.006107838302852669,145.35862984952087,586.1881037943135,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,69,1414.430773775469,0.39289743715985254,0.087123493347004,0.35,0.14179187805914178,0,0.006107839867301667,145.35866731018166,586.1880663336527,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,70,1414.5178972745155,0.39292163813180986,0.08712349904641084,0.35,0.15253045390544676,0,0.0061078414318435645,145.35870477306707,586.1880288707673,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,71,1414.5953000684294,0.39294313890789706,0.07740279391391683,0.3499999999999999,0.15598146714876157,0,0.006107842821905942,145.3587380580483,586.1879955857861,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,72,1414.672702866567,0.39296463968515755,0.0774027981376902,0.35,0.16872940785831453,0,0.006107844212041645,145.3587713447854,586.187962299049,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,73,1414.7413970755013,0.3929837214098615,0.0686942089340729,0.35,0.17362811240775997,0,0.006107845445838208,145.35880088798888,586.1879327558455,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,74,1414.810091287556,0.3930028031354322,0.06869421205475988,0.35000000000000003,0.18898203101947936,0,0.006107846679692535,145.3588304325756,586.1879032112588,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,75,1414.8787855027315,0.39302188486186984,0.06869421517559324,0.35,0.2067676427439758,0,0.006107847913604639,145.35885997854587,586.1878736652885,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,76,1414.939683239913,0.39303880089997584,0.06089773718148769,0.35,0.21566894909790693,0,0.006107849007524555,145.35888617240948,586.1878474714249,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,77,1415.000580979393,0.39305571693872027,0.060897739479919694,0.35,0.23773567930091835,0,0.006107850101489882,145.35891236736052,586.1878212764739,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,78,1415.0545039495732,0.3930706955415481,0.05392297018026537,0.35,0.2496033478932722,0,0.006107851070200822,145.35893556310089,586.1877980807335,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,79,1415.1084269214407,0.39308567414484463,0.053922971867338694,0.35,0.27766806059883437,0,0.00610785203894736,145.35895875969368,586.1877748841407,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,80,1415.1561151088172,0.39309892086356035,0.04768818737647808,0.35,0.2968941596441222,0,0.0061078528957151145,145.35897927495955,586.1877543688748,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,81,1415.2038032974276,0.3931121675826188,0.047688188610445915,0.35,0.33470640322236894,0,0.006107853752510709,145.35899979089209,586.1877338529423,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,82,1415.2459228107305,0.3931238674474251,0.04211951330293504,0.35,0.36093326635649237,0,0.006107854509280612,145.35901791171386,586.1877157321205,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,83,1415.2880423249326,0.3931355673124813,0.042119514202150855,0.35,0.41494038962037516,0,0.006107855266072239,145.35903603305587,586.1876976107785,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,84,1415.330161840034,0.3931472671777872,0.0421195151013925,0.35,0.4850048701750312,0,0.006107856022885596,145.35905415491823,586.1876794889162,731.5467336438344,0.0,0.0,0.0,0.0,0.0,,,,,,,
accepted,85,1415.367312011963,0.3931575866699897,0.037150171929036004,0.35,0.6762827943678456,0,0.006107856690427779,145.35907013918631,586.1876635046481,731.5467336438344,0.0,0.0,1.8884621149024794e-271,0.0,0.0,,,,,,,
accepted,86,1415.4044621845446,0.3931679061623735,0.03715017258178365,0.35,1.2719210198574264,0,0.0061078573579868645,145.35908612385913,586.1876475199753,731.5467336438344,0.0,0.0,2.9657713128547777e-270,0.0,0.0,,,,,,,
accepted,87,1415.4371819917496,0.39317699499770825,0.032719807205079283,0.35,5.718526441390741,0,0.006107857945950683,145.3591002026268,586.1876334412076,731.5467336438344,0.0,0.0,2.541242335215528e-269,0.0,0.0,,,,,,,
rejected,88,1415.4699017994267,0.3931860838331741,0.032719807676965265,0.35,2.3364152361020905,,0.006107857945950683,145.3591002026268,586.1876334412076,731.5467336438344,0.0,,,0.0,0.0,9.298630205867348e-09,beta,18,0.12411698027314709,-0.12258148017758173,0.014004277652097781,SolverStateError: beta finite-volume update violated positivity or finiteness
