run_id,bins,max_dt_factor,time_h,beta_number_density_m3,beta_mean_radius_m,beta_mean_radius_cubed_m3,beta_specific_surface_area_m_inv,beta_volume_fraction,matrix_xB,inventory_relative_residual,minimum_bin_density_per_m4,roundoff_zeroed_bin_count
canonical_200,200,1.0,0.0,6.7817017790731e+21,9.33196361595836e-09,8.423333333333337e-25,7512561.451642847,0.02392826912049222,0.006220578557312318,0.0,0.0,0.0
canonical_200,200,1.0,0.1,6.781684177409921e+21,9.340928250318233e-09,8.496999853483687e-25,7542271.95510907,0.024137471884260152,0.0060075348185154856,0.0,1.4124403566218294e-61,0.0
canonical_200,200,1.0,1.0,6.237250161171395e+21,9.260885580236287e-09,9.19289479202233e-25,7102802.513519376,0.02401784634489424,0.0061293678708184115,0.0,3.0784198769748366e-57,0.0
canonical_200,200,1.0,3.0,4.392355625130273e+21,1.0566878589307704e-08,1.3169314150688922e-24,6408879.842899906,0.024229768369174325,0.005913514722806995,0.0,7.086596185792233e-49,0.0
canonical_200,200,1.0,6.0,2.7509715207220536e+21,1.2307886175091994e-08,2.1191124107762382e-24,5484494.496475042,0.024419046320532604,0.005720646409114965,0.0,3.8995959790011025e-38,0.0
canonical_200,200,1.0,12.0,1.615894472833827e+21,1.4556863893018593e-08,3.6338540019566605e-24,4564392.389638856,0.02459626023451636,0.0055400031240221284,0.0,8.780784659000654e-24,0.0
canonical_200,200,1.0,24.0,8.245443305370004e+20,1.8195008476102153e-08,7.175973200399733e-24,3653855.560367875,0.02478468635041036,0.005347858648847661,0.0,4.153767993800562e-10,0.0
canonical_200,200,1.0,48.0,4.167642658843149e+20,2.2858332888971688e-08,1.4282434839968e-23,2918994.4793669293,0.024933390298714265,0.0051961677806174784,0.0,69.43182928987684,0.0
dt_half_200,200,0.5,48.0,4.167641598493052e+20,2.2858334509739017e-08,1.4282438488055846e-23,2918994.19513255,0.02493339032365495,0.005196167755171946,0.0,69.4335647277458,0.0
grid_400,400,1.0,48.0,4.8291116889507935e+20,2.190405128824409e-08,1.2313165928720454e-23,3084093.0612803055,0.024907239180141455,0.0052228475325532655,0.0,6.48174987211973e-24,0.0
